Pixels #,Intensity (a.u.)
0.00000e+00,7.86444e-01
1.00000e+00,7.86448e-01
2.00000e+00,7.85681e-01
3.00000e+00,7.86522e-01
4.00000e+00,7.86677e-01
5.00000e+00,7.87227e-01
6.00000e+00,7.87062e-01
7.00000e+00,7.86827e-01
8.00000e+00,7.87601e-01
9.00000e+00,7.86978e-01
1.00000e+01,7.86935e-01
1.10000e+01,7.86474e-01
1.20000e+01,7.86320e-01
1.30000e+01,7.86365e-01
1.40000e+01,7.86534e-01
1.50000e+01,7.86734e-01
1.60000e+01,7.86750e-01
1.70000e+01,7.87271e-01
1.80000e+01,7.86900e-01
1.90000e+01,7.86426e-01
2.00000e+01,7.85349e-01
2.10000e+01,7.85785e-01
2.20000e+01,7.85386e-01
2.30000e+01,7.85025e-01
2.40000e+01,7.85073e-01
2.50000e+01,7.85366e-01
2.60000e+01,7.86069e-01
2.70000e+01,7.86856e-01
2.80000e+01,7.86934e-01
2.90000e+01,7.86362e-01
3.00000e+01,7.86535e-01
3.10000e+01,7.86559e-01
3.20000e+01,7.86395e-01
3.30000e+01,7.85594e-01
3.40000e+01,7.86370e-01
3.50000e+01,7.86448e-01
3.60000e+01,7.87046e-01
3.70000e+01,7.86667e-01
3.80000e+01,7.87220e-01
3.90000e+01,7.86862e-01
4.00000e+01,7.86977e-01
4.10000e+01,7.86522e-01
4.20000e+01,7.86245e-01
4.30000e+01,7.85973e-01
4.40000e+01,7.85976e-01
4.50000e+01,7.85971e-01
4.60000e+01,7.86227e-01
4.70000e+01,7.86841e-01
4.80000e+01,7.87366e-01
4.90000e+01,7.87229e-01
5.00000e+01,7.87224e-01
5.10000e+01,7.86164e-01
5.20000e+01,7.86331e-01
5.30000e+01,7.85802e-01
5.40000e+01,7.86309e-01
5.50000e+01,7.86149e-01
5.60000e+01,7.86381e-01
5.70000e+01,7.86336e-01
5.80000e+01,7.85465e-01
5.90000e+01,7.85734e-01
6.00000e+01,7.86061e-01
6.10000e+01,7.86126e-01
6.20000e+01,7.85944e-01
6.30000e+01,7.86523e-01
6.40000e+01,7.87624e-01
6.50000e+01,7.88314e-01
6.60000e+01,7.88093e-01
6.70000e+01,7.88289e-01
6.80000e+01,7.88037e-01
6.90000e+01,7.87882e-01
7.00000e+01,7.88183e-01
7.10000e+01,7.88703e-01
7.20000e+01,7.88943e-01
7.30000e+01,7.88065e-01
7.40000e+01,7.87745e-01
7.50000e+01,7.87878e-01
7.60000e+01,7.88260e-01
7.70000e+01,7.88638e-01
7.80000e+01,7.88513e-01
7.90000e+01,7.88908e-01
8.00000e+01,7.88600e-01
8.10000e+01,7.89223e-01
8.20000e+01,7.88806e-01
8.30000e+01,7.89120e-01
8.40000e+01,7.88699e-01
8.50000e+01,7.89573e-01
8.60000e+01,7.89771e-01
8.70000e+01,7.90088e-01
8.80000e+01,7.89523e-01
8.90000e+01,7.89219e-01
9.00000e+01,7.89510e-01
9.10000e+01,7.89648e-01
9.20000e+01,7.89613e-01
9.30000e+01,7.89205e-01
9.40000e+01,7.89593e-01
9.50000e+01,7.89885e-01
9.60000e+01,7.89956e-01
9.70000e+01,7.89369e-01
9.80000e+01,7.89546e-01
9.90000e+01,7.89041e-01
1.00000e+02,7.88934e-01
1.01000e+02,7.88288e-01
1.02000e+02,7.88793e-01
1.03000e+02,7.89037e-01
1.04000e+02,7.89622e-01
1.05000e+02,7.90387e-01
1.06000e+02,7.90124e-01
1.07000e+02,7.89814e-01
1.08000e+02,7.88928e-01
1.09000e+02,7.88642e-01
1.10000e+02,7.88421e-01
1.11000e+02,7.89135e-01
1.12000e+02,7.89510e-01
1.13000e+02,7.89297e-01
1.14000e+02,7.88721e-01
1.15000e+02,7.89209e-01
1.16000e+02,7.89229e-01
1.17000e+02,7.89196e-01
1.18000e+02,7.89041e-01
1.19000e+02,7.88872e-01
1.20000e+02,7.88871e-01
1.21000e+02,7.88229e-01
1.22000e+02,7.88502e-01
1.23000e+02,7.88547e-01
1.24000e+02,7.88850e-01
1.25000e+02,7.88472e-01
1.26000e+02,7.88975e-01
1.27000e+02,7.89607e-01
1.28000e+02,7.90083e-01
1.29000e+02,7.90167e-01
1.30000e+02,7.89973e-01
1.31000e+02,7.89003e-01
1.32000e+02,7.87285e-01
1.33000e+02,7.86905e-01
1.34000e+02,7.87079e-01
1.35000e+02,7.88081e-01
1.36000e+02,7.88022e-01
1.37000e+02,7.88005e-01
1.38000e+02,7.88345e-01
1.39000e+02,7.88950e-01
1.40000e+02,7.88943e-01
1.41000e+02,7.88971e-01
1.42000e+02,7.88747e-01
1.43000e+02,7.89194e-01
1.44000e+02,7.88832e-01
1.45000e+02,7.89230e-01
1.46000e+02,7.88474e-01
1.47000e+02,7.88736e-01
1.48000e+02,7.87764e-01
1.49000e+02,7.88888e-01
1.50000e+02,7.89131e-01
