Pixels #,Intensity (a.u.)
0.00000e+00,1.24378e-03
1.00000e+00,1.48644e-03
2.00000e+00,4.83747e-04
3.00000e+00,1.04760e-03
4.00000e+00,1.33029e-04
5.00000e+00,1.31890e-03
6.00000e+00,1.09318e-03
7.00000e+00,1.93030e-03
8.00000e+00,1.96532e-03
9.00000e+00,1.52800e-03
1.00000e+01,9.29756e-04
1.10000e+01,2.54802e-05
1.20000e+01,7.11080e-04
1.30000e+01,1.05835e-03
1.40000e+01,1.04797e-03
1.50000e+01,6.34691e-04
1.60000e+01,1.03694e-03
1.70000e+01,2.17076e-03
1.80000e+01,1.58160e-03
1.90000e+01,7.97441e-04
2.00000e+01,1.50589e-04
2.10000e+01,0.00000e+00
2.20000e+01,5.88445e-04
2.30000e+01,0.00000e+00
2.40000e+01,1.10717e-03
2.50000e+01,8.26116e-04
2.60000e+01,1.13283e-03
2.70000e+01,9.96377e-04
2.80000e+01,2.87191e-04
2.90000e+01,1.15547e-03
3.00000e+01,1.22963e-03
3.10000e+01,1.98653e-03
3.20000e+01,2.76514e-03
3.30000e+01,1.71877e-03
3.40000e+01,1.99222e-03
3.50000e+01,9.36531e-04
3.60000e+01,2.23163e-03
3.70000e+01,2.09784e-03
3.80000e+01,2.11581e-03
3.90000e+01,1.48487e-03
4.00000e+01,1.65991e-03
4.10000e+01,6.38443e-04
4.20000e+01,0.00000e+00
4.30000e+01,2.95745e-04
4.40000e+01,9.29876e-04
4.50000e+01,8.73247e-04
4.60000e+01,9.17419e-04
4.70000e+01,1.54545e-03
4.80000e+01,1.99348e-03
4.90000e+01,1.89398e-03
5.00000e+01,1.30095e-03
5.10000e+01,2.59611e-06
5.20000e+01,9.61318e-06
5.30000e+01,0.00000e+00
5.40000e+01,1.25029e-04
5.50000e+01,0.00000e+00
5.60000e+01,5.77340e-04
5.70000e+01,1.43681e-03
5.80000e+01,1.30743e-03
5.90000e+01,1.56147e-03
6.00000e+01,2.10998e-03
6.10000e+01,1.32586e-03
6.20000e+01,3.79967e-04
6.30000e+01,0.00000e+00
6.40000e+01,8.24220e-04
6.50000e+01,1.40043e-03
6.60000e+01,7.92769e-04
6.70000e+01,1.16910e-03
6.80000e+01,9.65862e-04
6.90000e+01,1.79233e-03
7.00000e+01,2.21638e-03
7.10000e+01,3.48994e-03
7.20000e+01,3.68555e-03
7.30000e+01,2.80316e-03
7.40000e+01,2.68873e-03
7.50000e+01,1.76526e-03
7.60000e+01,2.10473e-03
7.70000e+01,1.61269e-03
7.80000e+01,1.18048e-03
7.90000e+01,1.93940e-03
8.00000e+01,2.61101e-03
8.10000e+01,4.13601e-03
8.20000e+01,3.42358e-03
8.30000e+01,3.24171e-03
8.40000e+01,2.92216e-03
8.50000e+01,4.37614e-03
8.60000e+01,4.49709e-03
8.70000e+01,3.44878e-03
8.80000e+01,3.29076e-03
8.90000e+01,2.50545e-03
9.00000e+01,2.78505e-03
9.10000e+01,2.81299e-03
9.20000e+01,3.25974e-03
9.30000e+01,3.04824e-03
9.40000e+01,2.93734e-03
9.50000e+01,3.49735e-03
9.60000e+01,3.89985e-03
9.70000e+01,3.12464e-03
9.80000e+01,3.33926e-03
9.90000e+01,2.92808e-03
1.00000e+02,2.29791e-03
1.01000e+02,1.68892e-03
1.02000e+02,1.98751e-03
1.03000e+02,2.45178e-03
1.04000e+02,3.99804e-03
1.05000e+02,5.66542e-03
1.06000e+02,5.39933e-03
1.07000e+02,4.28089e-03
1.08000e+02,1.91841e-03
1.09000e+02,7.95625e-04
1.10000e+02,2.55972e-04
1.11000e+02,2.07880e-03
1.12000e+02,3.23145e-03
1.13000e+02,3.27123e-03
1.14000e+02,2.28451e-03
1.15000e+02,2.94595e-03
1.16000e+02,2.96913e-03
1.17000e+02,2.62090e-03
1.18000e+02,3.74855e-03
1.19000e+02,4.25053e-03
1.20000e+02,5.34113e-03
1.21000e+02,4.25114e-03
1.22000e+02,3.37981e-03
1.23000e+02,2.13849e-03
1.24000e+02,2.59520e-03
1.25000e+02,2.55396e-03
1.26000e+02,3.85771e-03
1.27000e+02,3.69672e-03
1.28000e+02,4.29449e-03
1.29000e+02,3.91814e-03
1.30000e+02,3.31720e-03
1.31000e+02,1.86875e-03
1.32000e+02,2.92910e-04
1.33000e+02,9.23861e-05
1.34000e+02,0.00000e+00
1.35000e+02,0.00000e+00
1.36000e+02,0.00000e+00
1.37000e+02,2.36133e-04
1.38000e+02,1.44553e-03
1.39000e+02,2.31800e-03
1.40000e+02,3.42236e-03
1.41000e+02,3.11771e-03
1.42000e+02,2.57650e-03
1.43000e+02,2.79548e-03
1.44000e+02,2.77638e-03
1.45000e+02,3.36241e-03
1.46000e+02,3.24836e-03
1.47000e+02,3.20736e-03
1.48000e+02,3.00986e-03
1.49000e+02,3.55129e-03
1.50000e+02,3.38933e-03
1.51000e+02,1.83906e-03
1.52000e+02,1.45163e-03
1.53000e+02,1.24374e-03
1.54000e+02,1.25112e-03
1.55000e+02,6.53712e-04
1.56000e+02,2.13351e-04
1.57000e+02,7.09632e-04
1.58000e+02,1.05276e-03
1.59000e+02,1.47875e-03
1.60000e+02,6.47255e-04
1.61000e+02,3.83638e-04
1.62000e+02,8.99509e-04
1.63000e+02,2.27583e-03
1.64000e+02,1.71614e-03
1.65000e+02,7.76415e-04
1.66000e+02,5.43475e-04
1.67000e+02,8.75351e-04
1.68000e+02,8.41882e-04
1.69000e+02,1.45060e-03
1.70000e+02,1.09071e-03
1.71000e+02,2.80029e-03
1.72000e+02,2.08121e-03
1.73000e+02,2.16950e-03
1.74000e+02,1.05912e-03
1.75000e+02,1.56293e-03
1.76000e+02,1.83760e-03
1.77000e+02,1.24904e-03
1.78000e+02,9.43078e-05
1.79000e+02,0.00000e+00
1.80000e+02,1.48623e-04
1.81000e+02,2.10498e-04
1.82000e+02,0.00000e+00
1.83000e+02,6.60639e-04
1.84000e+02,9.56591e-04
1.85000e+02,1.44720e-03
1.86000e+02,1.54097e-03
1.87000e+02,2.95795e-03
1.88000e+02,3.54423e-03
1.89000e+02,3.62328e-03
1.90000e+02,2.84843e-03
1.91000e+02,3.27455e-03
1.92000e+02,3.13153e-03
1.93000e+02,1.95145e-03
1.94000e+02,1.61397e-03
1.95000e+02,1.00383e-03
1.96000e+02,2.13041e-03
