Pixels #,Intensity (a.u.)
0.00000e+00,3.50866e-04
1.00000e+00,1.22744e-03
2.00000e+00,1.54575e-03
3.00000e+00,1.66897e-03
4.00000e+00,2.06722e-03
5.00000e+00,1.60205e-03
6.00000e+00,1.68339e-03
7.00000e+00,2.35398e-03
8.00000e+00,3.17435e-03
9.00000e+00,2.90243e-03
1.00000e+01,1.51990e-03
1.10000e+01,5.61834e-04
1.20000e+01,1.74931e-04
1.30000e+01,1.42406e-03
1.40000e+01,2.14854e-03
1.50000e+01,3.12355e-03
1.60000e+01,2.90862e-03
1.70000e+01,3.26466e-03
1.80000e+01,1.12460e-03
1.90000e+01,1.23142e-04
2.00000e+01,1.27044e-03
2.10000e+01,4.58764e-04
2.20000e+01,1.91792e-03
2.30000e+01,6.39896e-04
2.40000e+01,1.22071e-03
2.50000e+01,5.84155e-04
2.60000e+01,1.51971e-03
2.70000e+01,3.35587e-03
2.80000e+01,2.27479e-03
2.90000e+01,3.09566e-03
3.00000e+01,1.34101e-03
3.10000e+01,2.14968e-03
3.20000e+01,2.91279e-03
3.30000e+01,3.13593e-03
3.40000e+01,3.98795e-03
3.50000e+01,2.80766e-03
3.60000e+01,2.71097e-03
3.70000e+01,1.98457e-03
3.80000e+01,4.29307e-03
3.90000e+01,3.28444e-03
4.00000e+01,4.40613e-03
4.10000e+01,2.50060e-03
4.20000e+01,5.28084e-04
4.30000e+01,1.70123e-04
4.40000e+01,1.10017e-03
4.50000e+01,9.80531e-04
4.60000e+01,1.44087e-03
4.70000e+01,2.39268e-03
4.80000e+01,3.88479e-03
4.90000e+01,3.94266e-03
5.00000e+01,3.67105e-03
5.10000e+01,2.46982e-03
5.20000e+01,1.51848e-03
5.30000e+01,5.94078e-04
5.40000e+01,3.07580e-04
5.50000e+01,0.00000e+00
5.60000e+01,3.14336e-04
5.70000e+01,6.90317e-04
5.80000e+01,1.32216e-04
5.90000e+01,6.17937e-04
6.00000e+01,1.58591e-03
6.10000e+01,1.25387e-03
6.20000e+01,6.38065e-04
6.30000e+01,0.00000e+00
6.40000e+01,7.15612e-04
6.50000e+01,1.53713e-03
6.60000e+01,2.74605e-03
6.70000e+01,2.60916e-03
6.80000e+01,1.48045e-03
6.90000e+01,1.98754e-03
7.00000e+01,1.91481e-03
7.10000e+01,3.77083e-03
7.20000e+01,3.98195e-03
7.30000e+01,2.41081e-03
7.40000e+01,9.80062e-04
7.50000e+01,1.34072e-03
7.60000e+01,1.02387e-03
7.70000e+01,0.00000e+00
7.80000e+01,3.38750e-04
7.90000e+01,2.65478e-03
8.00000e+01,3.04864e-03
8.10000e+01,4.96255e-03
8.20000e+01,2.23500e-03
8.30000e+01,2.23862e-03
8.40000e+01,1.61594e-03
8.50000e+01,4.22011e-03
8.60000e+01,3.32687e-03
8.70000e+01,2.02464e-03
8.80000e+01,1.34188e-03
8.90000e+01,2.32534e-03
9.00000e+01,3.38808e-03
9.10000e+01,4.35737e-03
9.20000e+01,2.04468e-03
9.30000e+01,3.04618e-03
9.40000e+01,2.86044e-03
9.50000e+01,3.42537e-03
9.60000e+01,3.21199e-03
9.70000e+01,2.33629e-03
9.80000e+01,6.73122e-04
9.90000e+01,1.96400e-03
1.00000e+02,2.08900e-03
1.01000e+02,2.52519e-03
1.02000e+02,3.19627e-03
1.03000e+02,3.88861e-03
1.04000e+02,2.69482e-03
1.05000e+02,3.74597e-03
1.06000e+02,3.74467e-03
1.07000e+02,2.75221e-03
1.08000e+02,5.38476e-04
