Pixels #,Intensity (a.u.)
0.00000e+00,1.19711e-03
1.00000e+00,1.40689e-03
2.00000e+00,9.77940e-04
3.00000e+00,9.27098e-04
4.00000e+00,6.89517e-04
5.00000e+00,1.48218e-03
6.00000e+00,1.44799e-03
7.00000e+00,1.75728e-03
8.00000e+00,2.12496e-03
9.00000e+00,1.40534e-03
1.00000e+01,1.15455e-03
1.10000e+01,5.77333e-04
1.20000e+01,6.49585e-04
1.30000e+01,3.36772e-04
1.40000e+01,9.59984e-05
1.50000e+01,1.14054e-04
1.60000e+01,5.90087e-04
1.70000e+01,1.41240e-03
1.80000e+01,8.52644e-04
1.90000e+01,9.29825e-04
2.00000e+01,0.00000e+00
2.10000e+01,3.79029e-04
2.20000e+01,2.71839e-04
2.30000e+01,0.00000e+00
2.40000e+01,4.56245e-05
2.50000e+01,3.25017e-05
2.60000e+01,6.08705e-04
2.70000e+01,8.06462e-04
2.80000e+01,4.35126e-04
2.90000e+01,3.29904e-04
3.00000e+01,9.72137e-04
3.10000e+01,1.11797e-03
3.20000e+01,1.39797e-03
3.30000e+01,1.42270e-04
3.40000e+01,9.54949e-04
3.50000e+01,6.39013e-04
3.60000e+01,1.28801e-03
3.70000e+01,7.00834e-04
3.80000e+01,1.00991e-03
3.90000e+01,1.24363e-03
4.00000e+01,1.27177e-03
4.10000e+01,6.95360e-04
4.20000e+01,2.29849e-04
4.30000e+01,0.00000e+00
4.40000e+01,9.07912e-05
4.50000e+01,9.24866e-05
4.60000e+01,1.18541e-04
4.70000e+01,1.21899e-03
4.80000e+01,1.87217e-03
4.90000e+01,1.59422e-03
5.00000e+01,1.64960e-03
5.10000e+01,4.90165e-04
5.20000e+01,6.22798e-04
5.30000e+01,0.00000e+00
5.40000e+01,2.46611e-04
5.50000e+01,0.00000e+00
5.60000e+01,3.36620e-04
5.70000e+01,3.33165e-04
5.80000e+01,2.12514e-05
5.90000e+01,6.86100e-05
6.00000e+01,2.79692e-04
6.10000e+01,1.31978e-04
6.20000e+01,0.00000e+00
6.30000e+01,4.02668e-04
6.40000e+01,1.51366e-03
6.50000e+01,2.00012e-03
6.60000e+01,1.40181e-03
6.70000e+01,1.13108e-03
6.80000e+01,1.19595e-03
6.90000e+01,9.44200e-04
7.00000e+01,1.70924e-03
7.10000e+01,2.05151e-03
7.20000e+01,2.60898e-03
7.30000e+01,1.95157e-03
7.40000e+01,1.56565e-03
7.50000e+01,1.72502e-03
7.60000e+01,2.01590e-03
7.70000e+01,2.61226e-03
7.80000e+01,2.80733e-03
7.90000e+01,3.11257e-03
8.00000e+01,2.49991e-03
8.10000e+01,2.39082e-03
8.20000e+01,2.42443e-03
8.30000e+01,2.93552e-03
8.40000e+01,2.86308e-03
8.50000e+01,3.53687e-03
8.60000e+01,3.07967e-03
8.70000e+01,3.76020e-03
8.80000e+01,3.77320e-03
8.90000e+01,3.32217e-03
9.00000e+01,3.33421e-03
9.10000e+01,2.42798e-03
9.20000e+01,2.06545e-03
9.30000e+01,1.98041e-03
9.40000e+01,2.46004e-03
9.50000e+01,3.08627e-03
9.60000e+01,3.24232e-03
9.70000e+01,2.67064e-03
9.80000e+01,2.95603e-03
9.90000e+01,2.70140e-03
1.00000e+02,2.30686e-03
1.01000e+02,2.07972e-03
1.02000e+02,2.44937e-03
1.03000e+02,2.80516e-03
1.04000e+02,3.12151e-03
1.05000e+02,3.62302e-03
1.06000e+02,3.69686e-03
1.07000e+02,3.53028e-03
1.08000e+02,2.63813e-03
1.09000e+02,2.36010e-03
1.10000e+02,1.76489e-03
1.11000e+02,1.80313e-03
1.12000e+02,2.14985e-03
1.13000e+02,2.65638e-03
1.14000e+02,2.24390e-03
1.15000e+02,2.85092e-03
1.16000e+02,2.28197e-03
1.17000e+02,1.84174e-03
1.18000e+02,1.45353e-03
1.19000e+02,1.41549e-03
1.20000e+02,1.91081e-03
1.21000e+02,1.51568e-03
1.22000e+02,1.58538e-03
1.23000e+02,1.66059e-03
1.24000e+02,1.81332e-03
1.25000e+02,1.82079e-03
1.26000e+02,1.49236e-03
1.27000e+02,1.63857e-03
1.28000e+02,1.99542e-03
1.29000e+02,2.09046e-03
1.30000e+02,2.38330e-03
1.31000e+02,1.51860e-03
1.32000e+02,2.51647e-04
1.33000e+02,0.00000e+00
1.34000e+02,5.49325e-05
1.35000e+02,7.29619e-04
1.36000e+02,3.59703e-04
1.37000e+02,3.89992e-04
1.38000e+02,4.94033e-04
1.39000e+02,1.13567e-03
1.40000e+02,1.19877e-03
1.41000e+02,9.58593e-04
1.42000e+02,6.02324e-04
1.43000e+02,9.03984e-04
1.44000e+02,8.11843e-04
1.45000e+02,1.22152e-03
1.46000e+02,3.35168e-04
1.47000e+02,7.76937e-04
1.48000e+02,1.19211e-04
1.49000e+02,8.96785e-04
1.50000e+02,1.13729e-03
1.51000e+02,1.33693e-03
1.52000e+02,8.65713e-04
1.53000e+02,6.64140e-04
1.54000e+02,3.83118e-04
1.55000e+02,5.50187e-04
1.56000e+02,1.06713e-04
1.57000e+02,0.00000e+00
1.58000e+02,7.06493e-05
1.59000e+02,1.70710e-04
1.60000e+02,8.07139e-05
1.61000e+02,2.73504e-04
1.62000e+02,3.17310e-04
1.63000e+02,6.93299e-04
1.64000e+02,5.93302e-04
1.65000e+02,5.14306e-04
1.66000e+02,6.45152e-04
1.67000e+02,6.90228e-04
1.68000e+02,1.21263e-03
1.69000e+02,1.52010e-03
1.70000e+02,1.00717e-03
1.71000e+02,1.32354e-03
1.72000e+02,1.13447e-03
1.73000e+02,1.37924e-03
1.74000e+02,1.02103e-03
1.75000e+02,4.57795e-04
1.76000e+02,0.00000e+00
1.77000e+02,0.00000e+00
1.78000e+02,5.82895e-05
1.79000e+02,5.74121e-04
1.80000e+02,5.82170e-04
1.81000e+02,8.08333e-04
1.82000e+02,8.68502e-04
1.83000e+02,1.59922e-03
1.84000e+02,1.17615e-03
1.85000e+02,1.12390e-03
1.86000e+02,8.72910e-04
1.87000e+02,1.51827e-03
1.88000e+02,1.71061e-03
1.89000e+02,1.52647e-03
1.90000e+02,1.02359e-03
1.91000e+02,1.73850e-03
1.92000e+02,1.61114e-03
1.93000e+02,9.30723e-04
1.94000e+02,6.34379e-04
1.95000e+02,4.10141e-04
1.96000e+02,8.60711e-04
1.97000e+02,9.50247e-04
1.98000e+02,9.22594e-04
1.99000e+02,7.92222e-04
2.00000e+02,8.47703e-05
2.01000e+02,6.47682e-04
