Pixels #,Intensity (a.u.)
0.00000e+00,1.09729e-03
1.00000e+00,1.22017e-03
2.00000e+00,6.46654e-04
3.00000e+00,1.07503e-03
4.00000e+00,9.06422e-04
5.00000e+00,1.26420e-03
6.00000e+00,1.40709e-03
7.00000e+00,1.50837e-03
8.00000e+00,1.95449e-03
9.00000e+00,1.54073e-03
1.00000e+01,1.70909e-03
1.10000e+01,1.28674e-03
1.20000e+01,1.14000e-03
1.30000e+01,8.15359e-04
1.40000e+01,7.64468e-04
1.50000e+01,5.04982e-04
1.60000e+01,5.94723e-04
1.70000e+01,1.53328e-03
1.80000e+01,1.28804e-03
1.90000e+01,7.45560e-04
2.00000e+01,0.00000e+00
2.10000e+01,1.75174e-04
2.20000e+01,1.95010e-04
2.30000e+01,0.00000e+00
2.40000e+01,0.00000e+00
2.50000e+01,1.00862e-04
2.60000e+01,8.05907e-04
2.70000e+01,9.23119e-04
2.80000e+01,4.44991e-04
2.90000e+01,4.70164e-04
3.00000e+01,1.12109e-03
3.10000e+01,1.56641e-03
3.20000e+01,1.60334e-03
3.30000e+01,4.35304e-04
3.40000e+01,1.57014e-03
3.50000e+01,1.21454e-03
3.60000e+01,1.55103e-03
3.70000e+01,8.79177e-04
3.80000e+01,1.21737e-03
3.90000e+01,1.03253e-03
4.00000e+01,1.29619e-03
4.10000e+01,7.70772e-04
4.20000e+01,2.40644e-04
4.30000e+01,0.00000e+00
4.40000e+01,1.15663e-04
4.50000e+01,8.43824e-05
4.60000e+01,0.00000e+00
4.70000e+01,6.39006e-04
4.80000e+01,1.24605e-03
4.90000e+01,1.07113e-03
5.00000e+01,1.41099e-03
5.10000e+01,9.42933e-04
5.20000e+01,1.17910e-03
5.30000e+01,3.40705e-04
5.40000e+01,4.70482e-04
5.50000e+01,3.86940e-04
5.60000e+01,1.17180e-03
5.70000e+01,1.03823e-03
5.80000e+01,2.36150e-04
5.90000e+01,0.00000e+00
6.00000e+01,9.04860e-05
6.10000e+01,3.14527e-04
6.20000e+01,1.73603e-04
6.30000e+01,6.16772e-04
6.40000e+01,9.74010e-04
6.50000e+01,1.46995e-03
6.60000e+01,1.08905e-03
6.70000e+01,1.61084e-03
6.80000e+01,1.68491e-03
6.90000e+01,1.68252e-03
7.00000e+01,2.06211e-03
7.10000e+01,1.89106e-03
7.20000e+01,2.23486e-03
7.30000e+01,1.89995e-03
7.40000e+01,1.32270e-03
7.50000e+01,1.08195e-03
7.60000e+01,1.42202e-03
7.70000e+01,2.52090e-03
7.80000e+01,2.97203e-03
7.90000e+01,3.09554e-03
8.00000e+01,2.66193e-03
8.10000e+01,3.19328e-03
8.20000e+01,2.94478e-03
8.30000e+01,3.17094e-03
8.40000e+01,2.87055e-03
8.50000e+01,3.39804e-03
8.60000e+01,2.95035e-03
8.70000e+01,3.14610e-03
8.80000e+01,3.56735e-03
8.90000e+01,3.78729e-03
9.00000e+01,4.10363e-03
9.10000e+01,3.42798e-03
9.20000e+01,2.81874e-03
9.30000e+01,2.24448e-03
9.40000e+01,2.61649e-03
9.50000e+01,3.23438e-03
9.60000e+01,3.69198e-03
9.70000e+01,3.35339e-03
9.80000e+01,3.71915e-03
9.90000e+01,3.42389e-03
1.00000e+02,2.60647e-03
1.01000e+02,1.95847e-03
1.02000e+02,2.36912e-03
1.03000e+02,2.29088e-03
1.04000e+02,3.09735e-03
1.05000e+02,3.55133e-03
1.06000e+02,3.73828e-03
1.07000e+02,3.41851e-03
1.08000e+02,2.47974e-03
1.09000e+02,2.14085e-03
1.10000e+02,1.55138e-03
1.11000e+02,1.91037e-03
1.12000e+02,2.33369e-03
1.13000e+02,2.05776e-03
1.14000e+02,1.53373e-03
1.15000e+02,2.18553e-03
1.16000e+02,1.85031e-03
1.17000e+02,1.86435e-03
1.18000e+02,2.13063e-03
1.19000e+02,2.33278e-03
1.20000e+02,2.44724e-03
1.21000e+02,1.95151e-03
1.22000e+02,2.11645e-03
1.23000e+02,1.77792e-03
1.24000e+02,2.13607e-03
1.25000e+02,1.96677e-03
1.26000e+02,1.38440e-03
1.27000e+02,1.37982e-03
1.28000e+02,1.82739e-03
1.29000e+02,2.49643e-03
1.30000e+02,2.41565e-03
1.31000e+02,1.55297e-03
1.32000e+02,2.82528e-04
1.33000e+02,0.00000e+00
1.34000e+02,3.24559e-04
1.35000e+02,8.04418e-04
1.36000e+02,6.67195e-04
1.37000e+02,3.17289e-04
1.38000e+02,6.37347e-04
1.39000e+02,9.55706e-04
1.40000e+02,8.48453e-04
1.41000e+02,1.14376e-03
1.42000e+02,9.89505e-04
1.43000e+02,1.36311e-03
1.44000e+02,8.55050e-04
1.45000e+02,1.08286e-03
1.46000e+02,1.37690e-04
1.47000e+02,6.51100e-04
1.48000e+02,0.00000e+00
1.49000e+02,3.31293e-04
1.50000e+02,8.41363e-04
1.51000e+02,1.07642e-03
1.52000e+02,8.10390e-04
1.53000e+02,1.52485e-04
1.54000e+02,0.00000e+00
1.55000e+02,4.30030e-04
1.56000e+02,3.04068e-04
1.57000e+02,4.64346e-04
1.58000e+02,4.00375e-04
1.59000e+02,4.60899e-04
1.60000e+02,1.59468e-04
1.61000e+02,1.73461e-05
1.62000e+02,1.45655e-04
1.63000e+02,6.89513e-04
1.64000e+02,2.81183e-04
1.65000e+02,1.24089e-04
1.66000e+02,3.78157e-04
1.67000e+02,7.45518e-04
1.68000e+02,1.33512e-03
1.69000e+02,1.58881e-03
1.70000e+02,8.55963e-04
1.71000e+02,7.59892e-04
1.72000e+02,8.12861e-04
1.73000e+02,1.67443e-03
1.74000e+02,1.42184e-03
1.75000e+02,9.30401e-04
1.76000e+02,4.24169e-04
1.77000e+02,0.00000e+00
1.78000e+02,1.17494e-04
1.79000e+02,3.35431e-04
1.80000e+02,5.94949e-04
1.81000e+02,7.93889e-04
1.82000e+02,5.29126e-04
1.83000e+02,1.77468e-03
1.84000e+02,9.68246e-04
1.85000e+02,9.52172e-04
1.86000e+02,1.01682e-03
1.87000e+02,1.78523e-03
