Pixels #,Intensity (a.u.)
0.00000e+00,8.11971e-01
1.00000e+00,8.12007e-01
2.00000e+00,8.11610e-01
3.00000e+00,8.11747e-01
4.00000e+00,8.11624e-01
5.00000e+00,8.12254e-01
6.00000e+00,8.12154e-01
7.00000e+00,8.12443e-01
8.00000e+00,8.12973e-01
9.00000e+00,8.12667e-01
1.00000e+01,8.12466e-01
1.10000e+01,8.12212e-01
1.20000e+01,8.12368e-01
1.30000e+01,8.11834e-01
1.40000e+01,8.11303e-01
1.50000e+01,8.11335e-01
1.60000e+01,8.11457e-01
1.70000e+01,8.11995e-01
1.80000e+01,8.11809e-01
1.90000e+01,8.11244e-01
2.00000e+01,8.10731e-01
2.10000e+01,8.10904e-01
2.20000e+01,8.10882e-01
2.30000e+01,8.10461e-01
2.40000e+01,8.10541e-01
2.50000e+01,8.11033e-01
2.60000e+01,8.11817e-01
2.70000e+01,8.12279e-01
2.80000e+01,8.11839e-01
2.90000e+01,8.11744e-01
3.00000e+01,8.12296e-01
3.10000e+01,8.12286e-01
3.20000e+01,8.12214e-01
3.30000e+01,8.11431e-01
3.40000e+01,8.11812e-01
3.50000e+01,8.11780e-01
3.60000e+01,8.12199e-01
3.70000e+01,8.12242e-01
3.80000e+01,8.12588e-01
3.90000e+01,8.12377e-01
4.00000e+01,8.12548e-01
4.10000e+01,8.11685e-01
4.20000e+01,8.10826e-01
4.30000e+01,8.10635e-01
4.40000e+01,8.10780e-01
4.50000e+01,8.11293e-01
4.60000e+01,8.11363e-01
4.70000e+01,8.12260e-01
4.80000e+01,8.12916e-01
4.90000e+01,8.12708e-01
5.00000e+01,8.12810e-01
5.10000e+01,8.11884e-01
5.20000e+01,8.12050e-01
5.30000e+01,8.11549e-01
5.40000e+01,8.11979e-01
5.50000e+01,8.12190e-01
5.60000e+01,8.12891e-01
5.70000e+01,8.12724e-01
5.80000e+01,8.12309e-01
5.90000e+01,8.12516e-01
6.00000e+01,8.13222e-01
6.10000e+01,8.13994e-01
6.20000e+01,8.14002e-01
6.30000e+01,8.14824e-01
6.40000e+01,8.16010e-01
6.50000e+01,8.17017e-01
6.60000e+01,8.17218e-01
6.70000e+01,8.18278e-01
6.80000e+01,8.18959e-01
6.90000e+01,8.19151e-01
