Pixels #,Intensity (a.u.)
0.00000e+00,7.87492e-01
1.00000e+00,7.87257e-01
2.00000e+00,7.86362e-01
3.00000e+00,7.86239e-01
4.00000e+00,7.86312e-01
5.00000e+00,7.86674e-01
6.00000e+00,7.86992e-01
7.00000e+00,7.87126e-01
8.00000e+00,7.87629e-01
9.00000e+00,7.87211e-01
1.00000e+01,7.87241e-01
1.10000e+01,7.86462e-01
1.20000e+01,7.86683e-01
1.30000e+01,7.86442e-01
1.40000e+01,7.86096e-01
1.50000e+01,7.86003e-01
1.60000e+01,7.86143e-01
1.70000e+01,7.86961e-01
1.80000e+01,7.86719e-01
1.90000e+01,7.86366e-01
2.00000e+01,7.85523e-01
2.10000e+01,7.85821e-01
2.20000e+01,7.85392e-01
2.30000e+01,7.84886e-01
2.40000e+01,7.85132e-01
2.50000e+01,7.85382e-01
2.60000e+01,7.86180e-01
2.70000e+01,7.86467e-01
2.80000e+01,7.86271e-01
2.90000e+01,7.86084e-01
3.00000e+01,7.86803e-01
3.10000e+01,7.86961e-01
3.20000e+01,7.87128e-01
3.30000e+01,7.85603e-01
3.40000e+01,7.86435e-01
3.50000e+01,7.86312e-01
3.60000e+01,7.87009e-01
3.70000e+01,7.86271e-01
3.80000e+01,7.86879e-01
3.90000e+01,7.86933e-01
4.00000e+01,7.86726e-01
4.10000e+01,7.86021e-01
4.20000e+01,7.85409e-01
4.30000e+01,7.85587e-01
4.40000e+01,7.85817e-01
4.50000e+01,7.85879e-01
4.60000e+01,7.86137e-01
4.70000e+01,7.86915e-01
4.80000e+01,7.87574e-01
4.90000e+01,7.87126e-01
5.00000e+01,7.86593e-01
5.10000e+01,7.85982e-01
5.20000e+01,7.86002e-01
5.30000e+01,7.85901e-01
5.40000e+01,7.86098e-01
5.50000e+01,7.86276e-01
5.60000e+01,7.86167e-01
5.70000e+01,7.86157e-01
5.80000e+01,7.85518e-01
5.90000e+01,7.85107e-01
6.00000e+01,7.85242e-01
6.10000e+01,7.85283e-01
6.20000e+01,7.84857e-01
6.30000e+01,7.85394e-01
6.40000e+01,7.86560e-01
6.50000e+01,7.86684e-01
6.60000e+01,7.86620e-01
6.70000e+01,7.86740e-01
6.80000e+01,7.86688e-01
