Pixels #,Intensity (a.u.)
0.00000e+00,7.52623e+01
1.00000e+00,7.52501e+01
2.00000e+00,7.52448e+01
3.00000e+00,7.52492e+01
4.00000e+00,7.52453e+01
5.00000e+00,7.52497e+01
6.00000e+00,7.52575e+01
7.00000e+00,7.52555e+01
8.00000e+00,7.52668e+01
9.00000e+00,7.52477e+01
1.00000e+01,7.52453e+01
1.10000e+01,7.52472e+01
1.20000e+01,7.52643e+01
1.30000e+01,7.52634e+01
1.40000e+01,7.52721e+01
1.50000e+01,7.52565e+01
1.60000e+01,7.52448e+01
1.70000e+01,7.52428e+01
1.80000e+01,7.52463e+01
1.90000e+01,7.52350e+01
2.00000e+01,7.52365e+01
2.10000e+01,7.52277e+01
2.20000e+01,7.52521e+01
2.30000e+01,7.52458e+01
2.40000e+01,7.52844e+01
2.50000e+01,7.52599e+01
2.60000e+01,7.52575e+01
2.70000e+01,7.52438e+01
2.80000e+01,7.52389e+01
2.90000e+01,7.52546e+01
3.00000e+01,7.52472e+01
3.10000e+01,7.52438e+01
3.20000e+01,7.52511e+01
3.30000e+01,7.52604e+01
3.40000e+01,7.52448e+01
3.50000e+01,7.52468e+01
3.60000e+01,7.52531e+01
3.70000e+01,7.52560e+01
3.80000e+01,7.52448e+01
3.90000e+01,7.52375e+01
4.00000e+01,7.52458e+01
4.10000e+01,7.52448e+01
4.20000e+01,7.52428e+01
4.30000e+01,7.52531e+01
4.40000e+01,7.52584e+01
4.50000e+01,7.52648e+01
4.60000e+01,7.52375e+01
4.70000e+01,7.52311e+01
4.80000e+01,7.52438e+01
4.90000e+01,7.52570e+01
5.00000e+01,7.52619e+01
5.10000e+01,7.52546e+01
5.20000e+01,7.52497e+01
5.30000e+01,7.52414e+01
5.40000e+01,7.52472e+01
5.50000e+01,7.52409e+01
5.60000e+01,7.52550e+01
5.70000e+01,7.52731e+01
5.80000e+01,7.52941e+01
5.90000e+01,7.53082e+01
6.00000e+01,7.53210e+01
6.10000e+01,7.53009e+01
6.20000e+01,7.52867e+01
6.30000e+01,7.52800e+01
6.40000e+01,7.52980e+01
6.50000e+01,7.53082e+01
6.60000e+01,7.53111e+01
6.70000e+01,7.53053e+01
6.80000e+01,7.53000e+01
6.90000e+01,7.53091e+01
7.00000e+01,7.53212e+01
7.10000e+01,7.53247e+01
7.20000e+01,7.53404e+01
7.30000e+01,7.53341e+01
7.40000e+01,7.53435e+01
7.50000e+01,7.53368e+01
7.60000e+01,7.53422e+01
7.70000e+01,7.53276e+01
7.80000e+01,7.53218e+01
7.90000e+01,7.53276e+01
8.00000e+01,7.53457e+01
8.10000e+01,7.53618e+01
8.20000e+01,7.53432e+01
8.30000e+01,7.53406e+01
8.40000e+01,7.53361e+01
8.50000e+01,7.53745e+01
8.60000e+01,7.53813e+01
8.70000e+01,7.53819e+01
8.80000e+01,7.53897e+01
8.90000e+01,7.53711e+01
9.00000e+01,7.53853e+01
9.10000e+01,7.53907e+01
9.20000e+01,7.53964e+01
9.30000e+01,7.53913e+01
9.40000e+01,7.53967e+01
9.50000e+01,7.53849e+01
9.60000e+01,7.53848e+01
9.70000e+01,7.53818e+01
9.80000e+01,7.53870e+01
