Pixels #,Intensity (a.u.)
0.00000e+00,7.55914e+00
1.00000e+00,7.56002e+00
2.00000e+00,7.55950e+00
3.00000e+00,7.55885e+00
4.00000e+00,7.55828e+00
5.00000e+00,7.55987e+00
6.00000e+00,7.55846e+00
7.00000e+00,7.56155e+00
8.00000e+00,7.56099e+00
9.00000e+00,7.56228e+00
1.00000e+01,7.55876e+00
1.10000e+01,7.55761e+00
1.20000e+01,7.55934e+00
1.30000e+01,7.55836e+00
1.40000e+01,7.55769e+00
1.50000e+01,7.55779e+00
1.60000e+01,7.55847e+00
1.70000e+01,7.55972e+00
1.80000e+01,7.55854e+00
1.90000e+01,7.55736e+00
2.00000e+01,7.55780e+00
2.10000e+01,7.55691e+00
2.20000e+01,7.55839e+00
2.30000e+01,7.55637e+00
2.40000e+01,7.55897e+00
2.50000e+01,7.55955e+00
2.60000e+01,7.55978e+00
2.70000e+01,7.56003e+00
2.80000e+01,7.55845e+00
2.90000e+01,7.55945e+00
3.00000e+01,7.55998e+00
3.10000e+01,7.56176e+00
3.20000e+01,7.56248e+00
3.30000e+01,7.56125e+00
3.40000e+01,7.56195e+00
3.50000e+01,7.55972e+00
3.60000e+01,7.56100e+00
3.70000e+01,7.56068e+00
3.80000e+01,7.56062e+00
3.90000e+01,7.56052e+00
4.00000e+01,7.56092e+00
4.10000e+01,7.55952e+00
4.20000e+01,7.55859e+00
4.30000e+01,7.55870e+00
4.40000e+01,7.55935e+00
4.50000e+01,7.55985e+00
4.60000e+01,7.55965e+00
4.70000e+01,7.56138e+00
4.80000e+01,7.56211e+00
4.90000e+01,7.56350e+00
5.00000e+01,7.56439e+00
5.10000e+01,7.56322e+00
5.20000e+01,7.56433e+00
5.30000e+01,7.56668e+00
5.40000e+01,7.56849e+00
5.50000e+01,7.57048e+00
5.60000e+01,7.57358e+00
5.70000e+01,7.57755e+00
5.80000e+01,7.58080e+00
5.90000e+01,7.58401e+00
6.00000e+01,7.58878e+00
6.10000e+01,7.59125e+00
6.20000e+01,7.59303e+00
6.30000e+01,7.59668e+00
6.40000e+01,7.59947e+00
6.50000e+01,7.60352e+00
6.60000e+01,7.60479e+00
6.70000e+01,7.60813e+00
6.80000e+01,7.61050e+00
6.90000e+01,7.61252e+00
7.00000e+01,7.61391e+00
7.10000e+01,7.61512e+00
7.20000e+01,7.61895e+00
7.30000e+01,7.62058e+00
7.40000e+01,7.62369e+00
7.50000e+01,7.62648e+00
7.60000e+01,7.63112e+00
7.70000e+01,7.63528e+00
7.80000e+01,7.63548e+00
7.90000e+01,7.63943e+00
8.00000e+01,7.64428e+00
8.10000e+01,7.64692e+00
8.20000e+01,7.64827e+00
8.30000e+01,7.64826e+00
