Pixels #,Intensity (a.u.)
0.00000e+00,6.80721e-04
1.00000e+00,1.58407e-03
2.00000e+00,1.10961e-03
3.00000e+00,4.87874e-04
4.00000e+00,0.00000e+00
5.00000e+00,1.58685e-03
6.00000e+00,2.30976e-04
7.00000e+00,3.36462e-03
8.00000e+00,2.85829e-03
9.00000e+00,4.19781e-03
1.00000e+01,7.45095e-04
1.10000e+01,0.00000e+00
1.20000e+01,1.46230e-03
1.30000e+01,5.48389e-04
1.40000e+01,0.00000e+00
1.50000e+01,1.24022e-04
1.60000e+01,8.71889e-04
1.70000e+01,2.19777e-03
1.80000e+01,1.07400e-03
1.90000e+01,0.00000e+00
2.00000e+01,4.25324e-04
2.10000e+01,0.00000e+00
2.20000e+01,1.26421e-03
2.30000e+01,0.00000e+00
2.40000e+01,1.47834e-03
2.50000e+01,1.89933e-03
2.60000e+01,2.03196e-03
2.70000e+01,2.22052e-03
2.80000e+01,5.82707e-04
2.90000e+01,1.51054e-03
3.00000e+01,1.95447e-03
3.10000e+01,3.65576e-03
3.20000e+01,4.25449e-03
3.30000e+01,2.95484e-03
3.40000e+01,3.53415e-03
3.50000e+01,1.22988e-03
3.60000e+01,2.43290e-03
3.70000e+01,2.02245e-03
3.80000e+01,1.84167e-03
3.90000e+01,1.60682e-03
4.00000e+01,1.83774e-03
4.10000e+01,2.42629e-04
4.20000e+01,0.00000e+00
4.30000e+01,5.64584e-05
4.40000e+01,3.85672e-04
4.50000e+01,6.23713e-04
4.60000e+01,0.00000e+00
4.70000e+01,1.17849e-03
4.80000e+01,1.35561e-03
4.90000e+01,2.14893e-03
5.00000e+01,2.31311e-03
5.10000e+01,2.99880e-04
5.20000e+01,5.55428e-04
5.30000e+01,1.65637e-03
5.40000e+01,2.08902e-03
5.50000e+01,2.27099e-03
5.60000e+01,3.28867e-03
5.70000e+01,5.05940e-03
5.80000e+01,6.19121e-03
5.90000e+01,7.35812e-03
6.00000e+01,1.01044e-02
6.10000e+01,1.05550e-02
6.20000e+01,1.02180e-02
6.30000e+01,1.16726e-02
6.40000e+01,1.21949e-02
6.50000e+01,1.39287e-02
6.60000e+01,1.28343e-02
6.70000e+01,1.37944e-02
6.80000e+01,1.37735e-02
6.90000e+01,1.33865e-02
7.00000e+01,1.23511e-02
7.10000e+01,1.11207e-02
7.20000e+01,1.25141e-02
7.30000e+01,1.16994e-02
7.40000e+01,1.23678e-02
7.50000e+01,1.27445e-02
