Pixels #,Intensity (a.u.)
0.00000e+00,7.94382e-01
1.00000e+00,7.94875e-01
2.00000e+00,7.94275e-01
3.00000e+00,7.94300e-01
4.00000e+00,7.94302e-01
5.00000e+00,7.94573e-01
6.00000e+00,7.94976e-01
7.00000e+00,7.94867e-01
8.00000e+00,7.95876e-01
9.00000e+00,7.95248e-01
1.00000e+01,7.95135e-01
1.10000e+01,7.94690e-01
1.20000e+01,7.94647e-01
1.30000e+01,7.94434e-01
1.40000e+01,7.94383e-01
1.50000e+01,7.94127e-01
1.60000e+01,7.94107e-01
1.70000e+01,7.94804e-01
1.80000e+01,7.94525e-01
1.90000e+01,7.94570e-01
2.00000e+01,7.93553e-01
2.10000e+01,7.93916e-01
2.20000e+01,7.93707e-01
2.30000e+01,7.93254e-01
2.40000e+01,7.93345e-01
2.50000e+01,7.93818e-01
2.60000e+01,7.94744e-01
2.70000e+01,7.94961e-01
2.80000e+01,7.94442e-01
2.90000e+01,7.94245e-01
3.00000e+01,7.94939e-01
3.10000e+01,7.94744e-01
3.20000e+01,7.94544e-01
3.30000e+01,7.93655e-01
3.40000e+01,7.94845e-01
3.50000e+01,7.94658e-01
3.60000e+01,7.95020e-01
3.70000e+01,7.94964e-01
3.80000e+01,7.95419e-01
3.90000e+01,7.95718e-01
4.00000e+01,7.95802e-01
4.10000e+01,7.95586e-01
4.20000e+01,7.94756e-01
4.30000e+01,7.94503e-01
4.40000e+01,7.94364e-01
4.50000e+01,7.94549e-01
4.60000e+01,7.95163e-01
4.70000e+01,7.96414e-01
4.80000e+01,7.97443e-01
4.90000e+01,7.97627e-01
5.00000e+01,7.98207e-01
5.10000e+01,7.98442e-01
5.20000e+01,7.99598e-01
5.30000e+01,8.00420e-01
5.40000e+01,8.02291e-01
5.50000e+01,8.03905e-01
5.60000e+01,8.07025e-01
5.70000e+01,8.09379e-01
5.80000e+01,8.11353e-01
5.90000e+01,8.13884e-01
6.00000e+01,8.16887e-01
6.10000e+01,8.20171e-01
6.20000e+01,8.22326e-01
6.30000e+01,8.24818e-01
6.40000e+01,8.28015e-01
6.50000e+01,8.30978e-01
6.60000e+01,8.32110e-01
6.70000e+01,8.33672e-01
6.80000e+01,8.35673e-01
6.90000e+01,8.37738e-01
7.00000e+01,8.39332e-01
7.10000e+01,8.41254e-01
7.20000e+01,8.44129e-01
7.30000e+01,8.45534e-01
7.40000e+01,8.47066e-01
7.50000e+01,8.49496e-01
7.60000e+01,8.52543e-01
7.70000e+01,8.55712e-01
7.80000e+01,8.58256e-01
7.90000e+01,8.61678e-01
8.00000e+01,8.63441e-01
8.10000e+01,8.65949e-01
8.20000e+01,8.68213e-01
8.30000e+01,8.70762e-01
8.40000e+01,8.72045e-01
8.50000e+01,8.73792e-01
8.60000e+01,8.74376e-01
8.70000e+01,8.75639e-01
8.80000e+01,8.76433e-01
8.90000e+01,8.76316e-01
9.00000e+01,8.77417e-01
9.10000e+01,8.77997e-01
9.20000e+01,8.78844e-01
9.30000e+01,8.78601e-01
9.40000e+01,8.78623e-01
9.50000e+01,8.80035e-01
9.60000e+01,8.80754e-01
9.70000e+01,8.80871e-01
9.80000e+01,8.80671e-01
9.90000e+01,8.80757e-01
1.00000e+02,8.80905e-01
1.01000e+02,8.80847e-01
1.02000e+02,8.81246e-01
1.03000e+02,8.81400e-01
1.04000e+02,8.82394e-01
1.05000e+02,8.83179e-01
1.06000e+02,8.83004e-01
1.07000e+02,8.83599e-01
1.08000e+02,8.83171e-01
