Pixels #,Intensity (a.u.)
0.00000e+00,7.63991e-03
1.00000e+00,1.30032e-02
2.00000e+00,1.35145e-02
3.00000e+00,1.64070e-02
4.00000e+00,0.00000e+00
5.00000e+00,7.63562e-03
6.00000e+00,1.21956e-03
7.00000e+00,1.44566e-02
8.00000e+00,1.34715e-02
9.00000e+00,1.54154e-02
1.00000e+01,1.88234e-02
1.10000e+01,1.34105e-02
1.20000e+01,7.56835e-03
1.30000e+01,1.73203e-02
1.40000e+01,7.04842e-04
1.50000e+01,0.00000e+00
1.60000e+01,4.52690e-03
1.70000e+01,1.18937e-02
1.80000e+01,6.50259e-03
1.90000e+01,1.05592e-04
2.00000e+01,5.98948e-03
2.10000e+01,5.98279e-03
2.20000e+01,3.01540e-03
2.30000e+01,1.23156e-02
2.40000e+01,2.40259e-02
2.50000e+01,2.20328e-02
2.60000e+01,5.45128e-03
2.70000e+01,8.36976e-03
2.80000e+01,1.52128e-03
2.90000e+01,1.66440e-02
3.00000e+01,2.19672e-02
3.10000e+01,1.99680e-02
3.20000e+01,2.87617e-02
3.30000e+01,1.40828e-02
3.40000e+01,2.13410e-02
3.50000e+01,8.63573e-03
3.60000e+01,1.29883e-02
3.70000e+01,1.53330e-02
3.80000e+01,1.42823e-02
3.90000e+01,1.04024e-03
4.00000e+01,4.88184e-03
4.10000e+01,0.00000e+00
4.20000e+01,3.73609e-03
4.30000e+01,1.10148e-02
4.40000e+01,1.67905e-02
4.50000e+01,2.39591e-02
4.60000e+01,4.88433e-03
4.70000e+01,1.86649e-03
4.80000e+01,5.70880e-03
4.90000e+01,1.44945e-02
5.00000e+01,1.94000e-02
5.10000e+01,1.92717e-02
5.20000e+01,1.33029e-02
5.30000e+01,0.00000e+00
5.40000e+01,0.00000e+00
5.50000e+01,0.00000e+00
5.60000e+01,4.55619e-03
5.70000e+01,1.20709e-02
5.80000e+01,2.09276e-02
5.90000e+01,3.83117e-02
6.00000e+01,3.20255e-02
6.10000e+01,8.16731e-03
6.20000e+01,8.18374e-03
6.30000e+01,0.00000e+00
6.40000e+01,6.59190e-03
6.50000e+01,9.02040e-03
6.60000e+01,1.82858e-02
6.70000e+01,3.19147e-02
6.80000e+01,1.67880e-02
6.90000e+01,2.31058e-02
7.00000e+01,2.50298e-02
7.10000e+01,3.13388e-02
7.20000e+01,5.12489e-02
7.30000e+01,3.41379e-02
7.40000e+01,4.43259e-02
7.50000e+01,3.74541e-02
7.60000e+01,3.59132e-02
7.70000e+01,2.26532e-02
7.80000e+01,1.62200e-02
7.90000e+01,3.02858e-02
8.00000e+01,3.89712e-02
8.10000e+01,4.66442e-02
8.20000e+01,4.06707e-02
8.30000e+01,3.56643e-02
8.40000e+01,3.89480e-02
8.50000e+01,5.15319e-02
8.60000e+01,6.60044e-02
8.70000e+01,5.55657e-02
8.80000e+01,6.17812e-02
8.90000e+01,5.18128e-02
9.00000e+01,5.15649e-02
9.10000e+01,4.26736e-02
9.20000e+01,5.01960e-02
9.30000e+01,5.28623e-02
9.40000e+01,4.54334e-02
9.50000e+01,4.67372e-02
9.60000e+01,5.38781e-02
9.70000e+01,3.85020e-02
9.80000e+01,3.24341e-02
9.90000e+01,4.09791e-02
1.00000e+02,3.73471e-02
1.01000e+02,4.68119e-02
1.02000e+02,3.73491e-02
1.03000e+02,3.03526e-02
1.04000e+02,3.30651e-02
1.05000e+02,4.36201e-02
1.06000e+02,5.46899e-02
1.07000e+02,4.22566e-02
1.08000e+02,2.31054e-02
1.09000e+02,1.31361e-02
1.10000e+02,2.16872e-02
1.11000e+02,2.34288e-02
1.12000e+02,2.81001e-02
1.13000e+02,3.91187e-02
1.14000e+02,4.23530e-02
1.15000e+02,4.69896e-02
1.16000e+02,4.28648e-02
1.17000e+02,4.06592e-02
1.18000e+02,5.41061e-02
1.19000e+02,3.37965e-02
1.20000e+02,4.58309e-02
1.21000e+02,3.44940e-02
1.22000e+02,3.09024e-02
1.23000e+02,2.87393e-02
1.24000e+02,3.57573e-02
1.25000e+02,3.75204e-02
1.26000e+02,3.43299e-02
1.27000e+02,3.65250e-02
1.28000e+02,4.40284e-02
1.29000e+02,4.09075e-02
1.30000e+02,3.28996e-02
1.31000e+02,2.09202e-02
1.32000e+02,2.62032e-03
1.33000e+02,5.25184e-03
1.34000e+02,0.00000e+00
1.35000e+02,3.24556e-03
1.36000e+02,0.00000e+00
1.37000e+02,6.10249e-03
1.38000e+02,2.87041e-02
1.39000e+02,4.40932e-02
1.40000e+02,4.41262e-02
1.41000e+02,3.07501e-02
1.42000e+02,2.26724e-02
1.43000e+02,2.86324e-02
1.44000e+02,4.29120e-02
1.45000e+02,2.94451e-02
1.46000e+02,3.93168e-02
1.47000e+02,3.37858e-02
1.48000e+02,4.68004e-02
1.49000e+02,4.08035e-02
1.50000e+02,3.52869e-02
1.51000e+02,2.13627e-02
1.52000e+02,1.02682e-02
1.53000e+02,4.58013e-03
1.54000e+02,1.73950e-02
1.55000e+02,7.82861e-03
1.56000e+02,7.04887e-03
1.57000e+02,1.11531e-02
1.58000e+02,1.27622e-02
1.59000e+02,0.00000e+00
1.60000e+02,0.00000e+00
1.61000e+02,8.60609e-03
1.62000e+02,2.23229e-02
1.63000e+02,2.38461e-02
1.64000e+02,3.40558e-02
1.65000e+02,1.30603e-02
1.66000e+02,7.29492e-03
1.67000e+02,1.17179e-02
1.68000e+02,1.25693e-02
1.69000e+02,1.83311e-02
1.70000e+02,6.62029e-03
1.71000e+02,2.48689e-02
1.72000e+02,1.12877e-02
1.73000e+02,1.39336e-02
1.74000e+02,1.14692e-02
1.75000e+02,1.92436e-02
1.76000e+02,1.61431e-02
1.77000e+02,8.48445e-03
1.78000e+02,4.81254e-03
1.79000e+02,5.83040e-03
1.80000e+02,2.20239e-03
1.81000e+02,0.00000e+00
1.82000e+02,0.00000e+00
1.83000e+02,1.25277e-02
1.84000e+02,1.89803e-02
1.85000e+02,4.13473e-02
1.86000e+02,1.85875e-02
1.87000e+02,1.20544e-02
1.88000e+02,1.64250e-02
1.89000e+02,2.21154e-02
1.90000e+02,2.12648e-02
1.91000e+02,4.24220e-02
1.92000e+02,3.06685e-02
1.93000e+02,1.34872e-02
1.94000e+02,1.07659e-02
1.95000e+02,6.83441e-03
1.96000e+02,3.02046e-02
1.97000e+02,2.56867e-02
1.98000e+02,1.56746e-02
1.99000e+02,1.51376e-02
2.00000e+02,1.19375e-02
2.01000e+02,2.63663e-02
2.02000e+02,3.76731e-02
2.03000e+02,3.40757e-02
2.04000e+02,2.57074e-02
2.05000e+02,1.54065e-02
2.06000e+02,1.16027e-02
2.07000e+02,6.76614e-03
2.08000e+02,2.10829e-02
2.09000e+02,2.61050e-02
2.10000e+02,1.39570e-02
2.11000e+02,6.79308e-03
2.12000e+02,1.94906e-02
2.13000e+02,3.28147e-02
2.14000e+02,3.53888e-02
2.15000e+02,3.26810e-02
2.16000e+02,5.03529e-02
2.17000e+02,5.86807e-02
2.18000e+02,5.01582e-02
2.19000e+02,3.51933e-02
2.20000e+02,3.53331e-02
2.21000e+02,3.60217e-02
2.22000e+02,5.00047e-02
2.23000e+02,5.26603e-02
2.24000e+02,5.08374e-02
2.25000e+02,5.69345e-02
2.26000e+02,5.38188e-02
2.27000e+02,6.89651e-02
2.28000e+02,5.29348e-02
2.29000e+02,6.01434e-02
2.30000e+02,6.87711e-02
2.31000e+02,9.43536e-02
2.32000e+02,1.03047e-01
2.33000e+02,1.07397e-01
2.34000e+02,1.09358e-01
2.35000e+02,1.11436e-01
2.36000e+02,1.19735e-01
2.37000e+02,1.26051e-01
2.38000e+02,1.29738e-01
2.39000e+02,1.35040e-01
2.40000e+02,1.33689e-01
2.41000e+02,1.47505e-01
2.42000e+02,1.39472e-01
2.43000e+02,1.61837e-01
2.44000e+02,1.52682e-01
2.45000e+02,1.71029e-01
2.46000e+02,1.76261e-01
