Pixels #,Intensity (a.u.)
0.00000e+00,7.56988e+00
1.00000e+00,7.56958e+00
2.00000e+00,7.56829e+00
3.00000e+00,7.56895e+00
4.00000e+00,7.56677e+00
5.00000e+00,7.56746e+00
6.00000e+00,7.56640e+00
7.00000e+00,7.56804e+00
8.00000e+00,7.56985e+00
9.00000e+00,7.56865e+00
1.00000e+01,7.56921e+00
1.10000e+01,7.56809e+00
1.20000e+01,7.56933e+00
1.30000e+01,7.56769e+00
1.40000e+01,7.56716e+00
1.50000e+01,7.56786e+00
1.60000e+01,7.56880e+00
1.70000e+01,7.56946e+00
1.80000e+01,7.56926e+00
1.90000e+01,7.56842e+00
2.00000e+01,7.56716e+00
2.10000e+01,7.56614e+00
2.20000e+01,7.56765e+00
2.30000e+01,7.56711e+00
2.40000e+01,7.56826e+00
2.50000e+01,7.56734e+00
2.60000e+01,7.56877e+00
2.70000e+01,7.56860e+00
2.80000e+01,7.56761e+00
2.90000e+01,7.56814e+00
3.00000e+01,7.56916e+00
3.10000e+01,7.56867e+00
3.20000e+01,7.56899e+00
3.30000e+01,7.56929e+00
3.40000e+01,7.56973e+00
3.50000e+01,7.56836e+00
3.60000e+01,7.57019e+00
3.70000e+01,7.56847e+00
3.80000e+01,7.56940e+00
3.90000e+01,7.56984e+00
4.00000e+01,7.56939e+00
4.10000e+01,7.56853e+00
4.20000e+01,7.56728e+00
4.30000e+01,7.56757e+00
4.40000e+01,7.56787e+00
4.50000e+01,7.56724e+00
4.60000e+01,7.56777e+00
4.70000e+01,7.56964e+00
4.80000e+01,7.57129e+00
4.90000e+01,7.57066e+00
5.00000e+01,7.56960e+00
5.10000e+01,7.56883e+00
5.20000e+01,7.56926e+00
5.30000e+01,7.57007e+00
5.40000e+01,7.57042e+00
5.50000e+01,7.57089e+00
5.60000e+01,7.57194e+00
5.70000e+01,7.57453e+00
5.80000e+01,7.57552e+00
5.90000e+01,7.57853e+00
6.00000e+01,7.57974e+00
6.10000e+01,7.58135e+00
6.20000e+01,7.58371e+00
6.30000e+01,7.58686e+00
6.40000e+01,7.59112e+00
6.50000e+01,7.59344e+00
6.60000e+01,7.59682e+00
6.70000e+01,7.60160e+00
6.80000e+01,7.60736e+00
6.90000e+01,7.61082e+00
7.00000e+01,7.61386e+00
7.10000e+01,7.61561e+00
7.20000e+01,7.61756e+00
7.30000e+01,7.61813e+00
7.40000e+01,7.61997e+00
7.50000e+01,7.62153e+00
7.60000e+01,7.62524e+00
7.70000e+01,7.62806e+00
7.80000e+01,7.63141e+00
7.90000e+01,7.63792e+00
8.00000e+01,7.64030e+00
8.10000e+01,7.64369e+00
8.20000e+01,7.64655e+00
8.30000e+01,7.65000e+00
8.40000e+01,7.65273e+00
8.50000e+01,7.65675e+00
8.60000e+01,7.65879e+00
8.70000e+01,7.66080e+00
8.80000e+01,7.66520e+00
8.90000e+01,7.66755e+00
9.00000e+01,7.67285e+00
9.10000e+01,7.67043e+00
9.20000e+01,7.66901e+00
9.30000e+01,7.66885e+00
9.40000e+01,7.66984e+00
9.50000e+01,7.67232e+00
9.60000e+01,7.67244e+00
9.70000e+01,7.67269e+00
9.80000e+01,7.67461e+00
9.90000e+01,7.67462e+00
1.00000e+02,7.67320e+00
1.01000e+02,7.67072e+00
1.02000e+02,7.67192e+00
1.03000e+02,7.67315e+00
1.04000e+02,7.67624e+00
1.05000e+02,7.67630e+00
1.06000e+02,7.67700e+00
1.07000e+02,7.67620e+00
1.08000e+02,7.67419e+00
1.09000e+02,7.67294e+00
1.10000e+02,7.67360e+00
1.11000e+02,7.67432e+00
1.12000e+02,7.67612e+00
1.13000e+02,7.67475e+00
1.14000e+02,7.67478e+00
1.15000e+02,7.67589e+00
1.16000e+02,7.67245e+00
1.17000e+02,7.67160e+00
1.18000e+02,7.67286e+00
1.19000e+02,7.67803e+00
1.20000e+02,7.68019e+00
1.21000e+02,7.67821e+00
1.22000e+02,7.67569e+00
1.23000e+02,7.67413e+00
1.24000e+02,7.67424e+00
1.25000e+02,7.67584e+00
1.26000e+02,7.67677e+00
1.27000e+02,7.67767e+00
1.28000e+02,7.67653e+00
1.29000e+02,7.67708e+00
1.30000e+02,7.67614e+00
1.31000e+02,7.67488e+00
1.32000e+02,7.67360e+00
1.33000e+02,7.67117e+00
1.34000e+02,7.67164e+00
1.35000e+02,7.67241e+00
1.36000e+02,7.67001e+00
1.37000e+02,7.67150e+00
1.38000e+02,7.67306e+00
1.39000e+02,7.67555e+00
1.40000e+02,7.67361e+00
1.41000e+02,7.67155e+00
1.42000e+02,7.67102e+00
1.43000e+02,7.67365e+00
1.44000e+02,7.67623e+00
1.45000e+02,7.67606e+00
1.46000e+02,7.67605e+00
1.47000e+02,7.67501e+00
1.48000e+02,7.67642e+00
1.49000e+02,7.67869e+00
1.50000e+02,7.68176e+00
1.51000e+02,7.67798e+00
1.52000e+02,7.67749e+00
1.53000e+02,7.67869e+00
1.54000e+02,7.68150e+00
1.55000e+02,7.68124e+00
1.56000e+02,7.67944e+00
1.57000e+02,7.68266e+00
1.58000e+02,7.68221e+00
1.59000e+02,7.68624e+00
1.60000e+02,7.68565e+00
1.61000e+02,7.68728e+00
1.62000e+02,7.68747e+00
1.63000e+02,7.68847e+00
1.64000e+02,7.68947e+00
1.65000e+02,7.69004e+00
1.66000e+02,7.69189e+00
1.67000e+02,7.69184e+00
1.68000e+02,7.69292e+00
1.69000e+02,7.69429e+00
1.70000e+02,7.69817e+00
1.71000e+02,7.70225e+00
1.72000e+02,7.70454e+00
1.73000e+02,7.70506e+00
1.74000e+02,7.70522e+00
1.75000e+02,7.70636e+00
1.76000e+02,7.71082e+00
1.77000e+02,7.71460e+00
1.78000e+02,7.71692e+00
1.79000e+02,7.71835e+00
1.80000e+02,7.72142e+00
