Pixels #,Intensity (a.u.)
0.00000e+00,5.76704e-04
1.00000e+00,1.51354e-03
2.00000e+00,1.89801e-03
3.00000e+00,2.09327e-03
4.00000e+00,1.18987e-03
5.00000e+00,1.76049e-03
6.00000e+00,2.16326e-03
7.00000e+00,4.65346e-03
8.00000e+00,4.82428e-03
9.00000e+00,4.45798e-03
1.00000e+01,1.80588e-03
1.10000e+01,1.04283e-03
1.20000e+01,2.19326e-03
1.30000e+01,2.40374e-03
1.40000e+01,2.61733e-03
1.50000e+01,2.42198e-03
1.60000e+01,3.32527e-03
1.70000e+01,3.18789e-03
1.80000e+01,1.77486e-03
1.90000e+01,2.42797e-04
2.00000e+01,1.12777e-03
2.10000e+01,0.00000e+00
2.20000e+01,2.14389e-03
2.30000e+01,2.12861e-03
2.40000e+01,5.06138e-03
2.50000e+01,2.01872e-03
2.60000e+01,2.27201e-03
2.70000e+01,8.28488e-04
2.80000e+01,2.76026e-03
2.90000e+01,3.42554e-03
3.00000e+01,4.06640e-03
3.10000e+01,1.91791e-03
3.20000e+01,3.69404e-03
3.30000e+01,3.06230e-03
3.40000e+01,3.21487e-03
3.50000e+01,1.86595e-03
3.60000e+01,3.73363e-03
3.70000e+01,3.53829e-03
3.80000e+01,4.51484e-03
3.90000e+01,2.79970e-03
4.00000e+01,3.66028e-03
4.10000e+01,2.51277e-03
4.20000e+01,9.44115e-04
4.30000e+01,6.93833e-04
4.40000e+01,8.06714e-04
4.50000e+01,2.32037e-03
4.60000e+01,2.95816e-03
4.70000e+01,3.26025e-03
4.80000e+01,2.90924e-03
4.90000e+01,2.74440e-03
5.00000e+01,2.28658e-03
5.10000e+01,1.56020e-03
5.20000e+01,3.27220e-03
5.30000e+01,3.12871e-03
5.40000e+01,2.40537e-03
5.50000e+01,3.97213e-04
5.60000e+01,8.28077e-05
5.70000e+01,8.30428e-04
5.80000e+01,1.64517e-03
5.90000e+01,1.38264e-03
6.00000e+01,2.41711e-03
6.10000e+01,0.00000e+00
6.20000e+01,8.45263e-04
6.30000e+01,1.67524e-03
6.40000e+01,3.19795e-03
6.50000e+01,3.33209e-03
6.60000e+01,1.20787e-03
6.70000e+01,9.48278e-04
6.80000e+01,1.32039e-03
6.90000e+01,2.20820e-03
7.00000e+01,2.98304e-03
7.10000e+01,4.09656e-03
7.20000e+01,5.16119e-03
7.30000e+01,4.40996e-03
7.40000e+01,3.50919e-03
7.50000e+01,2.04686e-03
7.60000e+01,3.41049e-03
7.70000e+01,2.77517e-03
7.80000e+01,9.52675e-04
7.90000e+01,0.00000e+00
8.00000e+01,3.74707e-04
8.10000e+01,1.69551e-03
8.20000e+01,2.06720e-03
8.30000e+01,2.25270e-03
8.40000e+01,1.33951e-03
8.50000e+01,3.19410e-03
8.60000e+01,3.52568e-03
8.70000e+01,2.14508e-03
8.80000e+01,2.89452e-03
8.90000e+01,3.39367e-03
9.00000e+01,3.37761e-03
9.10000e+01,3.07466e-03
9.20000e+01,2.40855e-03
9.30000e+01,3.28053e-03
9.40000e+01,1.16783e-03
9.50000e+01,1.87195e-03
9.60000e+01,1.89549e-03
9.70000e+01,1.67180e-03
9.80000e+01,1.91807e-03
9.90000e+01,1.02296e-03
1.00000e+02,1.29665e-03
1.01000e+02,0.00000e+00
1.02000e+02,6.78235e-04
1.03000e+02,9.27479e-04
1.04000e+02,1.45137e-03
1.05000e+02,2.05765e-03
1.06000e+02,3.55504e-03
1.07000e+02,3.31290e-03
1.08000e+02,1.27936e-03
1.09000e+02,0.00000e+00
1.10000e+02,7.09685e-04
1.11000e+02,1.16009e-03
1.12000e+02,2.44637e-03
1.13000e+02,2.55560e-03
1.14000e+02,1.25820e-03
1.15000e+02,3.23552e-03
1.16000e+02,2.72242e-03
1.17000e+02,3.32900e-03
1.18000e+02,3.19072e-03
1.19000e+02,2.87567e-03
1.20000e+02,4.48964e-03
1.21000e+02,3.72319e-03
1.22000e+02,3.09708e-03
1.23000e+02,2.54421e-03
1.24000e+02,4.59446e-03
1.25000e+02,3.84009e-03
1.26000e+02,4.08060e-03
1.27000e+02,3.41473e-03
1.28000e+02,4.00607e-03
1.29000e+02,3.05929e-03
1.30000e+02,3.92821e-03
1.31000e+02,8.35700e-04
1.32000e+02,3.33250e-04
1.33000e+02,1.16681e-04
1.34000e+02,8.91703e-04
1.35000e+02,0.00000e+00
1.36000e+02,0.00000e+00
1.37000e+02,2.02945e-04
1.38000e+02,3.26408e-03
1.39000e+02,4.47100e-03
1.40000e+02,6.24266e-03
1.41000e+02,4.57365e-03
1.42000e+02,4.80801e-03
1.43000e+02,3.55592e-03
1.44000e+02,4.27878e-03
1.45000e+02,3.85068e-03
1.46000e+02,3.86509e-03
1.47000e+02,3.00058e-03
1.48000e+02,3.11570e-03
1.49000e+02,2.84628e-03
1.50000e+02,3.08346e-03
1.51000e+02,7.51018e-04
1.52000e+02,1.45892e-04
1.53000e+02,2.51833e-04
1.54000e+02,1.45642e-03
1.55000e+02,2.16966e-03
1.56000e+02,1.76899e-03
1.57000e+02,1.69486e-03
1.58000e+02,6.19735e-04
1.59000e+02,1.80294e-03
1.60000e+02,1.11233e-03
1.61000e+02,1.85302e-03
1.62000e+02,2.55403e-03
1.63000e+02,3.03225e-03
1.64000e+02,3.18393e-03
1.65000e+02,1.73646e-03
1.66000e+02,1.19232e-03
1.67000e+02,1.57592e-03
1.68000e+02,0.00000e+00
1.69000e+02,2.45908e-03
1.70000e+02,2.88845e-03
1.71000e+02,4.54464e-03
1.72000e+02,3.86620e-03
1.73000e+02,3.45631e-03
1.74000e+02,1.10852e-03
1.75000e+02,2.03226e-03
1.76000e+02,3.85933e-03
1.77000e+02,3.31210e-03
1.78000e+02,2.37728e-03
1.79000e+02,1.03047e-03
1.80000e+02,7.06006e-04
1.81000e+02,5.34130e-04
1.82000e+02,0.00000e+00
1.83000e+02,7.91943e-04
1.84000e+02,9.55368e-04
1.85000e+02,1.03677e-03
1.86000e+02,2.43044e-03
1.87000e+02,4.29714e-03
1.88000e+02,5.61757e-03
1.89000e+02,5.24729e-03
1.90000e+02,3.42971e-03
1.91000e+02,2.66574e-03
1.92000e+02,3.74200e-03
1.93000e+02,3.17029e-03
1.94000e+02,2.46734e-03
1.95000e+02,1.40733e-03
1.96000e+02,1.47649e-03
1.97000e+02,1.60667e-03
1.98000e+02,1.67887e-03
1.99000e+02,2.79478e-03
2.00000e+02,2.37563e-03
2.01000e+02,3.34810e-03
2.02000e+02,2.23924e-03
2.03000e+02,3.26968e-03
2.04000e+02,3.10992e-03
2.05000e+02,2.62056e-03
2.06000e+02,2.41196e-03
2.07000e+02,2.93579e-03
2.08000e+02,2.47694e-03
2.09000e+02,2.10964e-03
2.10000e+02,2.29165e-03
2.11000e+02,1.96707e-03
2.12000e+02,3.78485e-03
2.13000e+02,4.28729e-03
2.14000e+02,4.67071e-03
2.15000e+02,4.96868e-03
2.16000e+02,6.23712e-03
2.17000e+02,6.25126e-03
2.18000e+02,5.15455e-03
2.19000e+02,2.85541e-03
2.20000e+02,3.67522e-03
2.21000e+02,2.99964e-03
2.22000e+02,4.29247e-03
2.23000e+02,3.36359e-03
2.24000e+02,3.96670e-03
2.25000e+02,4.00828e-03
2.26000e+02,2.83219e-03
2.27000e+02,4.77503e-03
2.28000e+02,3.20830e-03
2.29000e+02,3.18578e-03
2.30000e+02,9.71967e-04
2.31000e+02,2.17321e-03
2.32000e+02,2.84649e-03
2.33000e+02,3.87377e-03
2.34000e+02,3.27444e-03
2.35000e+02,1.51542e-03
2.36000e+02,1.30977e-03
