Pixels #,Intensity (a.u.)
0.00000e+00,7.64026e+00
1.00000e+00,7.63970e+00
2.00000e+00,7.63774e+00
3.00000e+00,7.63784e+00
4.00000e+00,7.63712e+00
5.00000e+00,7.63756e+00
6.00000e+00,7.63630e+00
7.00000e+00,7.63805e+00
8.00000e+00,7.63720e+00
9.00000e+00,7.63815e+00
1.00000e+01,7.63671e+00
1.10000e+01,7.63680e+00
1.20000e+01,7.64074e+00
1.30000e+01,7.63875e+00
1.40000e+01,7.63851e+00
1.50000e+01,7.63673e+00
1.60000e+01,7.63689e+00
1.70000e+01,7.63844e+00
1.80000e+01,7.63820e+00
1.90000e+01,7.63901e+00
2.00000e+01,7.63813e+00
2.10000e+01,7.63675e+00
2.20000e+01,7.63582e+00
2.30000e+01,7.63638e+00
2.40000e+01,7.64014e+00
2.50000e+01,7.63992e+00
2.60000e+01,7.63946e+00
2.70000e+01,7.63792e+00
2.80000e+01,7.63826e+00
2.90000e+01,7.63864e+00
3.00000e+01,7.63877e+00
3.10000e+01,7.64068e+00
3.20000e+01,7.64235e+00
3.30000e+01,7.64052e+00
3.40000e+01,7.63892e+00
3.50000e+01,7.63654e+00
3.60000e+01,7.63751e+00
3.70000e+01,7.63748e+00
3.80000e+01,7.63999e+00
3.90000e+01,7.64118e+00
4.00000e+01,7.64142e+00
4.10000e+01,7.63897e+00
4.20000e+01,7.63971e+00
4.30000e+01,7.63831e+00
4.40000e+01,7.63724e+00
4.50000e+01,7.63671e+00
4.60000e+01,7.63635e+00
4.70000e+01,7.63857e+00
4.80000e+01,7.64120e+00
4.90000e+01,7.64262e+00
5.00000e+01,7.64112e+00
5.10000e+01,7.64022e+00
5.20000e+01,7.64092e+00
5.30000e+01,7.64017e+00
5.40000e+01,7.63948e+00
5.50000e+01,7.64042e+00
5.60000e+01,7.64228e+00
5.70000e+01,7.64209e+00
5.80000e+01,7.63987e+00
5.90000e+01,7.63934e+00
6.00000e+01,7.63923e+00
6.10000e+01,7.63893e+00
6.20000e+01,7.64063e+00
6.30000e+01,7.63966e+00
6.40000e+01,7.64165e+00
6.50000e+01,7.63991e+00
6.60000e+01,7.63987e+00
6.70000e+01,7.63717e+00
6.80000e+01,7.63851e+00
6.90000e+01,7.63802e+00
7.00000e+01,7.63885e+00
7.10000e+01,7.63999e+00
7.20000e+01,7.64208e+00
7.30000e+01,7.64063e+00
7.40000e+01,7.64143e+00
7.50000e+01,7.63949e+00
7.60000e+01,7.63996e+00
7.70000e+01,7.64036e+00
7.80000e+01,7.63897e+00
7.90000e+01,7.64094e+00
8.00000e+01,7.64226e+00
8.10000e+01,7.64364e+00
8.20000e+01,7.64379e+00
8.30000e+01,7.64185e+00
8.40000e+01,7.64167e+00
8.50000e+01,7.64188e+00
8.60000e+01,7.64239e+00
8.70000e+01,7.64130e+00
8.80000e+01,7.64078e+00
8.90000e+01,7.64117e+00
9.00000e+01,7.64199e+00
9.10000e+01,7.64159e+00
9.20000e+01,7.63868e+00
9.30000e+01,7.63847e+00
9.40000e+01,7.64014e+00
9.50000e+01,7.64032e+00
9.60000e+01,7.64006e+00
9.70000e+01,7.63879e+00
9.80000e+01,7.63873e+00
9.90000e+01,7.63898e+00
1.00000e+02,7.63874e+00
1.01000e+02,7.63759e+00
1.02000e+02,7.63896e+00
1.03000e+02,7.63937e+00
1.04000e+02,7.64206e+00
1.05000e+02,7.64341e+00
1.06000e+02,7.64367e+00
1.07000e+02,7.64226e+00
1.08000e+02,7.64135e+00
1.09000e+02,7.63918e+00
1.10000e+02,7.63861e+00
1.11000e+02,7.63960e+00
1.12000e+02,7.64086e+00
1.13000e+02,7.64163e+00
1.14000e+02,7.64091e+00
1.15000e+02,7.64079e+00
1.16000e+02,7.64047e+00
1.17000e+02,7.63853e+00
1.18000e+02,7.64091e+00
1.19000e+02,7.64093e+00
1.20000e+02,7.64251e+00
1.21000e+02,7.64046e+00
1.22000e+02,7.64009e+00
1.23000e+02,7.64067e+00
1.24000e+02,7.64178e+00
1.25000e+02,7.64218e+00
1.26000e+02,7.63946e+00
1.27000e+02,7.63875e+00
1.28000e+02,7.63977e+00
1.29000e+02,7.64274e+00
1.30000e+02,7.64089e+00
1.31000e+02,7.64012e+00
1.32000e+02,7.63781e+00
1.33000e+02,7.63873e+00
1.34000e+02,7.63785e+00
1.35000e+02,7.63655e+00
1.36000e+02,7.63766e+00
1.37000e+02,7.63777e+00
1.38000e+02,7.63841e+00
1.39000e+02,7.63893e+00
1.40000e+02,7.63970e+00
1.41000e+02,7.63966e+00
1.42000e+02,7.63893e+00
1.43000e+02,7.64063e+00
1.44000e+02,7.64077e+00
1.45000e+02,7.64045e+00
1.46000e+02,7.63906e+00
1.47000e+02,7.63923e+00
1.48000e+02,7.64032e+00
1.49000e+02,7.64208e+00
1.50000e+02,7.64265e+00
1.51000e+02,7.64029e+00
1.52000e+02,7.64039e+00
1.53000e+02,7.63919e+00
1.54000e+02,7.63861e+00
1.55000e+02,7.63679e+00
1.56000e+02,7.63722e+00
1.57000e+02,7.63881e+00
1.58000e+02,7.63832e+00
1.59000e+02,7.63771e+00
1.60000e+02,7.63731e+00
1.61000e+02,7.63673e+00
1.62000e+02,7.63903e+00
1.63000e+02,7.64093e+00
1.64000e+02,7.64167e+00
1.65000e+02,7.64227e+00
1.66000e+02,7.64078e+00
1.67000e+02,7.64123e+00
1.68000e+02,7.64094e+00
1.69000e+02,7.64251e+00
1.70000e+02,7.64212e+00
1.71000e+02,7.64045e+00
1.72000e+02,7.64013e+00
1.73000e+02,7.64202e+00
1.74000e+02,7.64230e+00
1.75000e+02,7.64408e+00
1.76000e+02,7.64211e+00
1.77000e+02,7.64137e+00
1.78000e+02,7.64103e+00
1.79000e+02,7.64154e+00
1.80000e+02,7.64349e+00
1.81000e+02,7.64289e+00
1.82000e+02,7.63910e+00
1.83000e+02,7.63767e+00
1.84000e+02,7.63717e+00
1.85000e+02,7.64035e+00
1.86000e+02,7.64133e+00
1.87000e+02,7.64199e+00
1.88000e+02,7.64248e+00
1.89000e+02,7.64269e+00
1.90000e+02,7.64286e+00
1.91000e+02,7.64436e+00
1.92000e+02,7.64540e+00
1.93000e+02,7.64257e+00
1.94000e+02,7.64330e+00
1.95000e+02,7.64198e+00
1.96000e+02,7.64247e+00
1.97000e+02,7.64294e+00
1.98000e+02,7.64455e+00
1.99000e+02,7.64285e+00
2.00000e+02,7.64196e+00
2.01000e+02,7.64118e+00
2.02000e+02,7.64109e+00
2.03000e+02,7.64222e+00
2.04000e+02,7.64440e+00
2.05000e+02,7.64508e+00
2.06000e+02,7.64317e+00
2.07000e+02,7.64500e+00
2.08000e+02,7.64500e+00
2.09000e+02,7.64679e+00
2.10000e+02,7.64437e+00
2.11000e+02,7.64629e+00
2.12000e+02,7.64577e+00
2.13000e+02,7.64704e+00
2.14000e+02,7.64644e+00
2.15000e+02,7.64986e+00
2.16000e+02,7.65053e+00
2.17000e+02,7.65095e+00
2.18000e+02,7.64935e+00
2.19000e+02,7.64860e+00
2.20000e+02,7.64579e+00
2.21000e+02,7.64656e+00
2.22000e+02,7.64728e+00
2.23000e+02,7.64827e+00
2.24000e+02,7.64970e+00
2.25000e+02,7.64959e+00
2.26000e+02,7.64893e+00
2.27000e+02,7.64947e+00
2.28000e+02,7.65161e+00
2.29000e+02,7.65160e+00
2.30000e+02,7.65273e+00
2.31000e+02,7.65034e+00
2.32000e+02,7.65171e+00
2.33000e+02,7.65104e+00
2.34000e+02,7.65273e+00
2.35000e+02,7.65094e+00
2.36000e+02,7.65307e+00
2.37000e+02,7.65195e+00
2.38000e+02,7.65599e+00
2.39000e+02,7.65421e+00
2.40000e+02,7.65611e+00
2.41000e+02,7.65619e+00
2.42000e+02,7.65713e+00
2.43000e+02,7.65647e+00
2.44000e+02,7.65772e+00
2.45000e+02,7.65845e+00
2.46000e+02,7.65832e+00
2.47000e+02,7.65766e+00
2.48000e+02,7.65861e+00
2.49000e+02,7.65762e+00
2.50000e+02,7.65810e+00
2.51000e+02,7.65929e+00
2.52000e+02,7.65878e+00
2.53000e+02,7.66240e+00
2.54000e+02,7.66246e+00
2.55000e+02,7.66394e+00
2.56000e+02,7.66293e+00
2.57000e+02,7.66223e+00
2.58000e+02,7.66283e+00
2.59000e+02,7.66418e+00
2.60000e+02,7.66377e+00
2.61000e+02,7.66623e+00
2.62000e+02,7.66548e+00
2.63000e+02,7.66454e+00
