Pixels #,Intensity (a.u.)
0.00000e+00,1.77139e-05
1.00000e+00,2.12318e-04
2.00000e+00,6.41790e-04
3.00000e+00,2.47623e-04
4.00000e+00,1.61213e-03
5.00000e+00,2.30061e-03
6.00000e+00,1.87288e-03
7.00000e+00,1.90513e-03
8.00000e+00,2.09407e-03
9.00000e+00,1.99787e-03
1.00000e+01,1.27953e-03
1.10000e+01,1.07590e-03
1.20000e+01,1.16171e-03
1.30000e+01,1.38285e-03
1.40000e+01,1.01434e-03
1.50000e+01,1.41111e-03
1.60000e+01,1.50106e-03
1.70000e+01,2.82836e-03
1.80000e+01,2.44938e-03
1.90000e+01,2.24199e-03
2.00000e+01,1.88479e-03
2.10000e+01,1.33932e-03
2.20000e+01,8.83232e-04
2.30000e+01,0.00000e+00
2.40000e+01,3.13896e-04
2.50000e+01,8.82166e-05
2.60000e+01,1.07928e-03
2.70000e+01,5.47957e-04
2.80000e+01,0.00000e+00
2.90000e+01,0.00000e+00
3.00000e+01,8.94059e-04
3.10000e+01,2.02495e-03
3.20000e+01,3.10194e-03
3.30000e+01,1.77708e-03
3.40000e+01,2.45099e-03
3.50000e+01,1.64800e-03
3.60000e+01,2.88402e-03
3.70000e+01,2.98722e-03
3.80000e+01,3.45380e-03
3.90000e+01,2.67505e-03
4.00000e+01,2.34376e-03
4.10000e+01,2.40091e-03
4.20000e+01,1.95262e-03
4.30000e+01,1.22423e-03
4.40000e+01,2.07051e-03
4.50000e+01,2.07046e-03
4.60000e+01,2.66965e-03
4.70000e+01,3.34690e-03
4.80000e+01,4.24881e-03
4.90000e+01,3.68054e-03
5.00000e+01,3.17020e-03
5.10000e+01,9.69811e-04
5.20000e+01,2.02023e-03
5.30000e+01,6.87022e-04
5.40000e+01,1.39272e-03
5.50000e+01,6.24626e-04
5.60000e+01,1.84005e-03
5.70000e+01,1.85683e-03
5.80000e+01,1.20353e-03
5.90000e+01,1.24048e-03
6.00000e+01,1.09026e-03
6.10000e+01,1.15052e-03
6.20000e+01,4.24463e-04
6.30000e+01,2.53694e-04
6.40000e+01,1.08627e-03
6.50000e+01,1.49683e-03
6.60000e+01,2.01990e-03
