Pixels #,Intensity (a.u.)
0.00000e+00,7.56219e+00
1.00000e+00,7.56358e+00
2.00000e+00,7.56196e+00
3.00000e+00,7.56230e+00
4.00000e+00,7.56125e+00
5.00000e+00,7.56290e+00
6.00000e+00,7.56285e+00
7.00000e+00,7.56366e+00
8.00000e+00,7.56325e+00
9.00000e+00,7.56337e+00
1.00000e+01,7.56285e+00
1.10000e+01,7.56165e+00
1.20000e+01,7.56191e+00
1.30000e+01,7.56249e+00
1.40000e+01,7.56250e+00
1.50000e+01,7.56234e+00
1.60000e+01,7.56299e+00
1.70000e+01,7.56460e+00
1.80000e+01,7.56385e+00
1.90000e+01,7.56143e+00
2.00000e+01,7.56054e+00
2.10000e+01,7.55921e+00
2.20000e+01,7.56121e+00
2.30000e+01,7.56145e+00
2.40000e+01,7.56344e+00
2.50000e+01,7.56299e+00
2.60000e+01,7.56324e+00
2.70000e+01,7.56351e+00
2.80000e+01,7.56232e+00
2.90000e+01,7.56307e+00
3.00000e+01,7.56319e+00
3.10000e+01,7.56443e+00
3.20000e+01,7.56543e+00
3.30000e+01,7.56521e+00
3.40000e+01,7.56514e+00
3.50000e+01,7.56393e+00
3.60000e+01,7.56392e+00
3.70000e+01,7.56313e+00
3.80000e+01,7.56368e+00
3.90000e+01,7.56345e+00
4.00000e+01,7.56352e+00
4.10000e+01,7.56373e+00
4.20000e+01,7.56251e+00
4.30000e+01,7.56410e+00
4.40000e+01,7.56434e+00
4.50000e+01,7.56450e+00
4.60000e+01,7.56485e+00
4.70000e+01,7.56572e+00
4.80000e+01,7.56643e+00
4.90000e+01,7.56664e+00
5.00000e+01,7.56582e+00
5.10000e+01,7.56556e+00
5.20000e+01,7.56693e+00
5.30000e+01,7.56767e+00
5.40000e+01,7.56995e+00
5.50000e+01,7.57191e+00
5.60000e+01,7.57626e+00
5.70000e+01,7.57680e+00
5.80000e+01,7.57904e+00
5.90000e+01,7.57986e+00
6.00000e+01,7.58506e+00
6.10000e+01,7.58644e+00
6.20000e+01,7.58820e+00
6.30000e+01,7.58943e+00
6.40000e+01,7.59287e+00
6.50000e+01,7.59556e+00
6.60000e+01,7.59798e+00
6.70000e+01,7.59883e+00
6.80000e+01,7.60183e+00
6.90000e+01,7.60430e+00
7.00000e+01,7.60591e+00
7.10000e+01,7.60734e+00
7.20000e+01,7.61077e+00
7.30000e+01,7.61221e+00
7.40000e+01,7.61340e+00
7.50000e+01,7.61546e+00
7.60000e+01,7.61839e+00
7.70000e+01,7.62148e+00
7.80000e+01,7.62140e+00
7.90000e+01,7.62408e+00
8.00000e+01,7.62666e+00
8.10000e+01,7.62976e+00
8.20000e+01,7.63061e+00
8.30000e+01,7.63291e+00
8.40000e+01,7.63427e+00
8.50000e+01,7.63703e+00
8.60000e+01,7.63901e+00
8.70000e+01,7.63967e+00
8.80000e+01,7.63962e+00
8.90000e+01,7.63964e+00
9.00000e+01,7.64043e+00
9.10000e+01,7.63952e+00
9.20000e+01,7.63970e+00
9.30000e+01,7.63979e+00
9.40000e+01,7.64032e+00
9.50000e+01,7.64085e+00
9.60000e+01,7.64250e+00
9.70000e+01,7.64099e+00
9.80000e+01,7.64082e+00
9.90000e+01,7.64059e+00
1.00000e+02,7.64050e+00
1.01000e+02,7.64100e+00
1.02000e+02,7.64166e+00
1.03000e+02,7.64315e+00
1.04000e+02,7.64358e+00
1.05000e+02,7.64483e+00
1.06000e+02,7.64326e+00
1.07000e+02,7.64235e+00
1.08000e+02,7.63978e+00
1.09000e+02,7.64033e+00
1.10000e+02,7.64019e+00
1.11000e+02,7.64358e+00
1.12000e+02,7.64557e+00
1.13000e+02,7.64524e+00
1.14000e+02,7.64462e+00
1.15000e+02,7.64450e+00
1.16000e+02,7.64294e+00
1.17000e+02,7.64237e+00
1.18000e+02,7.64372e+00
1.19000e+02,7.64584e+00
1.20000e+02,7.64695e+00
1.21000e+02,7.64570e+00
1.22000e+02,7.64430e+00
1.23000e+02,7.64220e+00
1.24000e+02,7.64251e+00
1.25000e+02,7.64300e+00
1.26000e+02,7.64448e+00
1.27000e+02,7.64327e+00
1.28000e+02,7.64362e+00
1.29000e+02,7.64329e+00
1.30000e+02,7.64329e+00
1.31000e+02,7.64267e+00
1.32000e+02,7.64108e+00
1.33000e+02,7.64013e+00
1.34000e+02,7.64019e+00
1.35000e+02,7.64042e+00
1.36000e+02,7.64086e+00
1.37000e+02,7.64291e+00
1.38000e+02,7.64411e+00
1.39000e+02,7.64494e+00
1.40000e+02,7.64473e+00
1.41000e+02,7.64481e+00
1.42000e+02,7.64523e+00
1.43000e+02,7.64649e+00
1.44000e+02,7.64719e+00
1.45000e+02,7.64714e+00
1.46000e+02,7.64757e+00
1.47000e+02,7.64662e+00
1.48000e+02,7.64758e+00
1.49000e+02,7.64891e+00
1.50000e+02,7.65140e+00
1.51000e+02,7.65112e+00
1.52000e+02,7.65026e+00
1.53000e+02,7.65152e+00
1.54000e+02,7.65234e+00
1.55000e+02,7.65310e+00
1.56000e+02,7.65255e+00
1.57000e+02,7.65408e+00
1.58000e+02,7.65564e+00
1.59000e+02,7.65688e+00
1.60000e+02,7.65794e+00
1.61000e+02,7.65981e+00
1.62000e+02,7.66212e+00
1.63000e+02,7.66473e+00
1.64000e+02,7.66465e+00
1.65000e+02,7.66469e+00
1.66000e+02,7.66481e+00
1.67000e+02,7.66653e+00
1.68000e+02,7.66826e+00
1.69000e+02,7.67082e+00
1.70000e+02,7.67198e+00
1.71000e+02,7.67522e+00
1.72000e+02,7.67626e+00
1.73000e+02,7.67870e+00
1.74000e+02,7.68206e+00
1.75000e+02,7.68420e+00
1.76000e+02,7.68541e+00
1.77000e+02,7.68586e+00
1.78000e+02,7.68685e+00
1.79000e+02,7.69041e+00
1.80000e+02,7.69350e+00
1.81000e+02,7.69622e+00
1.82000e+02,7.69717e+00
1.83000e+02,7.70042e+00
1.84000e+02,7.70487e+00
1.85000e+02,7.70863e+00
1.86000e+02,7.71088e+00
1.87000e+02,7.71525e+00
1.88000e+02,7.71923e+00
1.89000e+02,7.72447e+00
1.90000e+02,7.72790e+00
1.91000e+02,7.73341e+00
1.92000e+02,7.73708e+00
1.93000e+02,7.74106e+00
1.94000e+02,7.74435e+00
1.95000e+02,7.74861e+00
1.96000e+02,7.75334e+00
1.97000e+02,7.75773e+00
1.98000e+02,7.76303e+00
1.99000e+02,7.76828e+00
2.00000e+02,7.77440e+00
2.01000e+02,7.77899e+00
2.02000e+02,7.78347e+00
2.03000e+02,7.79103e+00
2.04000e+02,7.79779e+00
2.05000e+02,7.80550e+00
2.06000e+02,7.81075e+00
2.07000e+02,7.81870e+00
2.08000e+02,7.82357e+00
2.09000e+02,7.83045e+00
2.10000e+02,7.83966e+00
2.11000e+02,7.85070e+00
2.12000e+02,7.86037e+00
2.13000e+02,7.86777e+00
2.14000e+02,7.87481e+00
2.15000e+02,7.88383e+00
2.16000e+02,7.89324e+00
2.17000e+02,7.90467e+00
2.18000e+02,7.91217e+00
2.19000e+02,7.92053e+00
2.20000e+02,7.92910e+00
2.21000e+02,7.94036e+00
2.22000e+02,7.95141e+00
2.23000e+02,7.96190e+00
2.24000e+02,7.97487e+00
2.25000e+02,7.98461e+00
2.26000e+02,7.99676e+00
2.27000e+02,8.00833e+00
2.28000e+02,8.02015e+00
2.29000e+02,8.03208e+00
2.30000e+02,8.04258e+00
2.31000e+02,8.05579e+00
2.32000e+02,8.06909e+00
2.33000e+02,8.08304e+00
2.34000e+02,8.09727e+00
2.35000e+02,8.10709e+00
2.36000e+02,8.12071e+00
2.37000e+02,8.13444e+00
2.38000e+02,8.14854e+00
2.39000e+02,8.15828e+00
2.40000e+02,8.17049e+00
2.41000e+02,8.18456e+00
2.42000e+02,8.19722e+00
2.43000e+02,8.20884e+00
2.44000e+02,8.22004e+00
2.45000e+02,8.23382e+00
2.46000e+02,8.24497e+00
2.47000e+02,8.25942e+00
2.48000e+02,8.27322e+00
2.49000e+02,8.28562e+00
2.50000e+02,8.29586e+00
2.51000e+02,8.30356e+00
2.52000e+02,8.31432e+00
2.53000e+02,8.32583e+00
2.54000e+02,8.33751e+00
2.55000e+02,8.34708e+00
2.56000e+02,8.35652e+00
2.57000e+02,8.36191e+00
2.58000e+02,8.37153e+00
2.59000e+02,8.38328e+00
2.60000e+02,8.39128e+00
2.61000e+02,8.39852e+00
2.62000e+02,8.40716e+00
2.63000e+02,8.41819e+00
2.64000e+02,8.42724e+00
2.65000e+02,8.43371e+00
2.66000e+02,8.44197e+00
2.67000e+02,8.44936e+00
2.68000e+02,8.46011e+00
2.69000e+02,8.47401e+00
2.70000e+02,8.48811e+00
2.71000e+02,8.50533e+00
2.72000e+02,8.51594e+00
2.73000e+02,8.52723e+00
2.74000e+02,8.52854e+00
2.75000e+02,8.53084e+00
2.76000e+02,8.53136e+00
2.77000e+02,8.53386e+00
2.78000e+02,8.53254e+00
2.79000e+02,8.53088e+00
2.80000e+02,8.52555e+00
2.81000e+02,8.52011e+00
2.82000e+02,8.51332e+00
2.83000e+02,8.50929e+00
2.84000e+02,8.50557e+00
2.85000e+02,8.50671e+00
2.86000e+02,8.50712e+00
2.87000e+02,8.50538e+00
2.88000e+02,8.50520e+00
2.89000e+02,8.50393e+00
2.90000e+02,8.50797e+00
2.91000e+02,8.51104e+00
2.92000e+02,8.51220e+00
2.93000e+02,8.51662e+00
2.94000e+02,8.51363e+00
2.95000e+02,8.51557e+00
2.96000e+02,8.51131e+00
2.97000e+02,8.51392e+00
2.98000e+02,8.51316e+00
2.99000e+02,8.51257e+00
3.00000e+02,8.51687e+00
3.01000e+02,8.51684e+00
3.02000e+02,8.51592e+00
3.03000e+02,8.51228e+00
3.04000e+02,8.51065e+00
3.05000e+02,8.51312e+00
3.06000e+02,8.51671e+00
3.07000e+02,8.51479e+00
3.08000e+02,8.51734e+00
3.09000e+02,8.51530e+00
3.10000e+02,8.51828e+00
3.11000e+02,8.51501e+00
3.12000e+02,8.51697e+00
3.13000e+02,8.51403e+00
3.14000e+02,8.51423e+00
3.15000e+02,8.51395e+00
3.16000e+02,8.51164e+00
3.17000e+02,8.51441e+00
3.18000e+02,8.51460e+00
3.19000e+02,8.51364e+00
3.20000e+02,8.50920e+00
3.21000e+02,8.51597e+00
3.22000e+02,8.51895e+00
3.23000e+02,8.52371e+00
3.24000e+02,8.52006e+00
3.25000e+02,8.52137e+00
3.26000e+02,8.52208e+00
3.27000e+02,8.52520e+00
3.28000e+02,8.52654e+00
3.29000e+02,8.52862e+00
3.30000e+02,8.52933e+00
3.31000e+02,8.52721e+00
3.32000e+02,8.52606e+00
3.33000e+02,8.52949e+00
3.34000e+02,8.53245e+00
3.35000e+02,8.53423e+00
3.36000e+02,8.53418e+00
3.37000e+02,8.53505e+00
3.38000e+02,8.53563e+00
3.39000e+02,8.53687e+00
3.40000e+02,8.53643e+00
3.41000e+02,8.53741e+00
3.42000e+02,8.54334e+00
3.43000e+02,8.54732e+00
3.44000e+02,8.54891e+00
3.45000e+02,8.55021e+00
3.46000e+02,8.55200e+00
3.47000e+02,8.55265e+00
3.48000e+02,8.55644e+00
3.49000e+02,8.56073e+00
3.50000e+02,8.56376e+00
