Pixels #,Intensity (a.u.)
0.00000e+00,2.57606e-03
1.00000e+00,4.05437e-04
2.00000e+00,5.95923e-04
3.00000e+00,2.46685e-03
4.00000e+00,3.16473e-03
5.00000e+00,7.97307e-03
6.00000e+00,3.99379e-03
7.00000e+00,3.55648e-03
8.00000e+00,1.74775e-03
9.00000e+00,2.68751e-03
1.00000e+01,3.96481e-03
1.10000e+01,1.93103e-04
1.20000e+01,2.14514e-03
1.30000e+01,1.00276e-03
1.40000e+01,2.19714e-03
1.50000e+01,0.00000e+00
1.60000e+01,2.51339e-03
1.70000e+01,3.34355e-03
1.80000e+01,4.82206e-03
1.90000e+01,3.61256e-05
2.00000e+01,1.70492e-03
2.10000e+01,3.66413e-03
2.20000e+01,5.53144e-03
2.30000e+01,5.36825e-03
2.40000e+01,3.58550e-03
2.50000e+01,1.47879e-03
2.60000e+01,5.51977e-03
2.70000e+01,2.77220e-03
2.80000e+01,3.53654e-03
2.90000e+01,2.45673e-03
3.00000e+01,2.45443e-03
3.10000e+01,4.13722e-04
3.20000e+01,0.00000e+00
3.30000e+01,2.21256e-04
3.40000e+01,3.96215e-03
3.50000e+01,4.23613e-03
3.60000e+01,5.43990e-03
3.70000e+01,7.01682e-03
3.80000e+01,4.21790e-03
3.90000e+01,1.86692e-03
4.00000e+01,0.00000e+00
4.10000e+01,8.16358e-04
4.20000e+01,4.00899e-03
4.30000e+01,3.08302e-03
4.40000e+01,4.38141e-03
4.50000e+01,0.00000e+00
4.60000e+01,3.42173e-03
4.70000e+01,4.05939e-03
4.80000e+01,4.02131e-03
4.90000e+01,3.48107e-03
5.00000e+01,1.96828e-03
5.10000e+01,0.00000e+00
5.20000e+01,5.87472e-04
5.30000e+01,0.00000e+00
5.40000e+01,2.09144e-03
5.50000e+01,3.36493e-03
5.60000e+01,2.49135e-03
5.70000e+01,3.79481e-03
5.80000e+01,4.04877e-03
5.90000e+01,6.68914e-03
6.00000e+01,9.29764e-03
6.10000e+01,1.38124e-02
6.20000e+01,1.29034e-02
6.30000e+01,1.25308e-02
6.40000e+01,1.34810e-02
6.50000e+01,1.12532e-02
6.60000e+01,1.26691e-02
6.70000e+01,1.38248e-02
6.80000e+01,1.47367e-02
6.90000e+01,1.30483e-02
7.00000e+01,1.04881e-02
7.10000e+01,1.49655e-02
7.20000e+01,1.70315e-02
7.30000e+01,1.66803e-02
7.40000e+01,1.80570e-02
7.50000e+01,1.96769e-02
7.60000e+01,2.10532e-02
7.70000e+01,2.14964e-02
7.80000e+01,2.04696e-02
7.90000e+01,2.25992e-02
8.00000e+01,2.34932e-02
8.10000e+01,2.76409e-02
8.20000e+01,2.43031e-02
8.30000e+01,2.33248e-02
8.40000e+01,2.12151e-02
8.50000e+01,2.60321e-02
8.60000e+01,2.63481e-02
8.70000e+01,2.41327e-02
8.80000e+01,2.80993e-02
8.90000e+01,2.18911e-02
9.00000e+01,2.33469e-02
9.10000e+01,1.86734e-02
9.20000e+01,2.14978e-02
9.30000e+01,1.79808e-02
9.40000e+01,1.78456e-02
9.50000e+01,1.65453e-02
9.60000e+01,1.59565e-02
9.70000e+01,1.61999e-02
9.80000e+01,1.29417e-02
9.90000e+01,1.57339e-02
1.00000e+02,1.06906e-02
1.01000e+02,1.42301e-02
1.02000e+02,9.96370e-03
1.03000e+02,1.45993e-02
1.04000e+02,1.10917e-02
1.05000e+02,1.51571e-02
1.06000e+02,1.16878e-02
1.07000e+02,1.02251e-02
1.08000e+02,7.23771e-03
1.09000e+02,6.00142e-03
1.10000e+02,9.81136e-03
1.11000e+02,1.10085e-02
1.12000e+02,1.29509e-02
1.13000e+02,8.98341e-03
1.14000e+02,8.38003e-03
1.15000e+02,7.14139e-03
1.16000e+02,1.06218e-02
1.17000e+02,6.10896e-03
1.18000e+02,6.03862e-03
1.19000e+02,8.04343e-03
1.20000e+02,6.96146e-03
1.21000e+02,0.00000e+00
1.22000e+02,1.67849e-04
1.23000e+02,5.64584e-04
1.24000e+02,4.97718e-03
1.25000e+02,6.27329e-03
1.26000e+02,8.98776e-03
1.27000e+02,1.15922e-02
1.28000e+02,1.10704e-02
1.29000e+02,9.00769e-03
1.30000e+02,7.79302e-03
1.31000e+02,4.72362e-03
1.32000e+02,4.16940e-03
1.33000e+02,3.91176e-03
1.34000e+02,5.45402e-03
1.35000e+02,8.89227e-04
1.36000e+02,2.74964e-03
1.37000e+02,3.00000e-03
1.38000e+02,2.23292e-03
1.39000e+02,0.00000e+00
1.40000e+02,8.23987e-04
1.41000e+02,4.21018e-03
1.42000e+02,3.58146e-03
1.43000e+02,3.33879e-03
1.44000e+02,3.30029e-03
1.45000e+02,1.19813e-03
1.46000e+02,3.78452e-03
1.47000e+02,0.00000e+00
1.48000e+02,2.98410e-03
1.49000e+02,2.73971e-03
1.50000e+02,3.56336e-03
1.51000e+02,2.53965e-03
1.52000e+02,7.12161e-04
1.53000e+02,6.05942e-03
1.54000e+02,4.01714e-03
1.55000e+02,3.56260e-03
1.56000e+02,5.98891e-03
1.57000e+02,4.78327e-03
1.58000e+02,4.96715e-03
1.59000e+02,5.91924e-03
1.60000e+02,7.63212e-03
1.61000e+02,3.96744e-03
1.62000e+02,3.69758e-03
1.63000e+02,2.97552e-03
1.64000e+02,2.39359e-03
1.65000e+02,1.42951e-03
1.66000e+02,1.08015e-03
1.67000e+02,0.00000e+00
1.68000e+02,5.57092e-03
1.69000e+02,1.07732e-02
1.70000e+02,1.04093e-02
1.71000e+02,5.00589e-03
1.72000e+02,4.57532e-03
1.73000e+02,3.05020e-03
1.74000e+02,6.06260e-03
1.75000e+02,6.94793e-03
1.76000e+02,9.65439e-03
1.77000e+02,8.73076e-03
1.78000e+02,1.25997e-03
1.79000e+02,2.36249e-03
1.80000e+02,6.98598e-03
1.81000e+02,1.22450e-02
1.82000e+02,1.27822e-02
1.83000e+02,1.49858e-02
1.84000e+02,9.83651e-03
1.85000e+02,6.70311e-03
1.86000e+02,8.92858e-03
1.87000e+02,8.21992e-03
1.88000e+02,1.49042e-02
1.89000e+02,8.83570e-03
1.90000e+02,5.69690e-03
1.91000e+02,6.03281e-03
1.92000e+02,1.07544e-02
1.93000e+02,1.32649e-02
1.94000e+02,1.85179e-02
1.95000e+02,1.45449e-02
1.96000e+02,1.20064e-02
1.97000e+02,9.24865e-03
1.98000e+02,1.62450e-02
1.99000e+02,1.40682e-02
2.00000e+02,1.34698e-02
2.01000e+02,1.28416e-02
2.02000e+02,1.27116e-02
2.03000e+02,1.11970e-02
2.04000e+02,1.51130e-02
2.05000e+02,1.85182e-02
2.06000e+02,2.41541e-02
2.07000e+02,2.20973e-02
2.08000e+02,2.25210e-02
2.09000e+02,2.19725e-02
2.10000e+02,2.17451e-02
2.11000e+02,2.43686e-02
2.12000e+02,2.68648e-02
2.13000e+02,2.53406e-02
2.14000e+02,2.50993e-02
2.15000e+02,2.58708e-02
2.16000e+02,2.92236e-02
2.17000e+02,2.94519e-02
2.18000e+02,3.07626e-02
2.19000e+02,3.00048e-02
2.20000e+02,2.91937e-02
2.21000e+02,4.02652e-02
2.22000e+02,4.52220e-02
2.23000e+02,4.40381e-02
2.24000e+02,4.46439e-02
2.25000e+02,4.68273e-02
2.26000e+02,5.08996e-02
2.27000e+02,5.66233e-02
2.28000e+02,5.55214e-02
2.29000e+02,5.62075e-02
2.30000e+02,5.98609e-02
2.31000e+02,6.35138e-02
2.32000e+02,7.19045e-02
2.33000e+02,6.53114e-02
2.34000e+02,7.14512e-02
2.35000e+02,7.56205e-02
2.36000e+02,8.13067e-02
2.37000e+02,7.81074e-02
2.38000e+02,7.23759e-02
2.39000e+02,7.37889e-02
2.40000e+02,7.98667e-02
2.41000e+02,8.68334e-02
2.42000e+02,9.86951e-02
2.43000e+02,1.02750e-01
2.44000e+02,1.03065e-01
2.45000e+02,9.55742e-02
2.46000e+02,9.94070e-02
2.47000e+02,1.01190e-01
2.48000e+02,1.00321e-01
