Pixels #,Intensity (a.u.)
0.00000e+00,7.59639e+00
1.00000e+00,7.59584e+00
2.00000e+00,7.59514e+00
3.00000e+00,7.59567e+00
4.00000e+00,7.59566e+00
5.00000e+00,7.59747e+00
6.00000e+00,7.59805e+00
7.00000e+00,7.59791e+00
8.00000e+00,7.59814e+00
9.00000e+00,7.59716e+00
1.00000e+01,7.59475e+00
1.10000e+01,7.59340e+00
1.20000e+01,7.59523e+00
1.30000e+01,7.59409e+00
1.40000e+01,7.59548e+00
1.50000e+01,7.59464e+00
1.60000e+01,7.59647e+00
1.70000e+01,7.59848e+00
1.80000e+01,7.59793e+00
1.90000e+01,7.59701e+00
2.00000e+01,7.59498e+00
2.10000e+01,7.59305e+00
2.20000e+01,7.59361e+00
2.30000e+01,7.59371e+00
2.40000e+01,7.59669e+00
2.50000e+01,7.59760e+00
2.60000e+01,7.59749e+00
2.70000e+01,7.59629e+00
2.80000e+01,7.59395e+00
2.90000e+01,7.59530e+00
3.00000e+01,7.59646e+00
3.10000e+01,7.59778e+00
3.20000e+01,7.59814e+00
3.30000e+01,7.59626e+00
3.40000e+01,7.59652e+00
3.50000e+01,7.59658e+00
3.60000e+01,7.59775e+00
3.70000e+01,7.59702e+00
3.80000e+01,7.59666e+00
3.90000e+01,7.59659e+00
4.00000e+01,7.59640e+00
4.10000e+01,7.59498e+00
4.20000e+01,7.59492e+00
4.30000e+01,7.59510e+00
4.40000e+01,7.59551e+00
4.50000e+01,7.59508e+00
4.60000e+01,7.59483e+00
4.70000e+01,7.59552e+00
4.80000e+01,7.59782e+00
4.90000e+01,7.59755e+00
5.00000e+01,7.59731e+00
5.10000e+01,7.59649e+00
5.20000e+01,7.59814e+00
5.30000e+01,7.59742e+00
5.40000e+01,7.59471e+00
5.50000e+01,7.59338e+00
5.60000e+01,7.59378e+00
5.70000e+01,7.59325e+00
5.80000e+01,7.59338e+00
5.90000e+01,7.59464e+00
6.00000e+01,7.59657e+00
6.10000e+01,7.59563e+00
6.20000e+01,7.59543e+00
6.30000e+01,7.59270e+00
6.40000e+01,7.59218e+00
6.50000e+01,7.59379e+00
6.60000e+01,7.59371e+00
6.70000e+01,7.59443e+00
6.80000e+01,7.59519e+00
6.90000e+01,7.59362e+00
7.00000e+01,7.59542e+00
7.10000e+01,7.59469e+00
7.20000e+01,7.59725e+00
7.30000e+01,7.59575e+00
7.40000e+01,7.59362e+00
7.50000e+01,7.59340e+00
7.60000e+01,7.59494e+00
7.70000e+01,7.59517e+00
7.80000e+01,7.59591e+00
7.90000e+01,7.59687e+00
