Pixels #,Intensity (a.u.)
0.00000e+00,7.57882e+00
1.00000e+00,7.58051e+00
2.00000e+00,7.57630e+00
3.00000e+00,7.57766e+00
4.00000e+00,7.57494e+00
5.00000e+00,7.57334e+00
6.00000e+00,7.57475e+00
7.00000e+00,7.57635e+00
8.00000e+00,7.58038e+00
9.00000e+00,7.58045e+00
1.00000e+01,7.58067e+00
1.10000e+01,7.57546e+00
1.20000e+01,7.57536e+00
1.30000e+01,7.57716e+00
1.40000e+01,7.57836e+00
1.50000e+01,7.57467e+00
1.60000e+01,7.57661e+00
1.70000e+01,7.57591e+00
1.80000e+01,7.57749e+00
1.90000e+01,7.57516e+00
2.00000e+01,7.57584e+00
2.10000e+01,7.57659e+00
2.20000e+01,7.57868e+00
2.30000e+01,7.57751e+00
2.40000e+01,7.57917e+00
2.50000e+01,7.57527e+00
2.60000e+01,7.57681e+00
2.70000e+01,7.57697e+00
2.80000e+01,7.57563e+00
2.90000e+01,7.57610e+00
3.00000e+01,7.57444e+00
3.10000e+01,7.57801e+00
3.20000e+01,7.57691e+00
3.30000e+01,7.57667e+00
3.40000e+01,7.57520e+00
3.50000e+01,7.57478e+00
3.60000e+01,7.57527e+00
3.70000e+01,7.57646e+00
3.80000e+01,7.57783e+00
3.90000e+01,7.57504e+00
4.00000e+01,7.57478e+00
4.10000e+01,7.57395e+00
4.20000e+01,7.57317e+00
4.30000e+01,7.57485e+00
4.40000e+01,7.57606e+00
4.50000e+01,7.57913e+00
4.60000e+01,7.58140e+00
4.70000e+01,7.58305e+00
4.80000e+01,7.57935e+00
4.90000e+01,7.57923e+00
5.00000e+01,7.57867e+00
5.10000e+01,7.57943e+00
5.20000e+01,7.57731e+00
5.30000e+01,7.57816e+00
5.40000e+01,7.57646e+00
5.50000e+01,7.57455e+00
5.60000e+01,7.57443e+00
5.70000e+01,7.57790e+00
5.80000e+01,7.57681e+00
5.90000e+01,7.57824e+00
6.00000e+01,7.57734e+00
6.10000e+01,7.57948e+00
6.20000e+01,7.57960e+00
6.30000e+01,7.58173e+00
6.40000e+01,7.58555e+00
6.50000e+01,7.58628e+00
6.60000e+01,7.58520e+00
6.70000e+01,7.58543e+00
6.80000e+01,7.58985e+00
6.90000e+01,7.59368e+00
7.00000e+01,7.59559e+00
7.10000e+01,7.59654e+00
7.20000e+01,7.59535e+00
7.30000e+01,7.59547e+00
7.40000e+01,7.59565e+00
7.50000e+01,7.59718e+00
7.60000e+01,7.59988e+00
7.70000e+01,7.59629e+00
7.80000e+01,7.59403e+00
7.90000e+01,7.59849e+00
8.00000e+01,7.60053e+00
8.10000e+01,7.60218e+00
8.20000e+01,7.59911e+00
8.30000e+01,7.60099e+00
8.40000e+01,7.59785e+00
8.50000e+01,7.59924e+00
8.60000e+01,7.60439e+00
8.70000e+01,7.60128e+00
8.80000e+01,7.60232e+00
8.90000e+01,7.60488e+00
9.00000e+01,7.60894e+00
9.10000e+01,7.61295e+00
9.20000e+01,7.61335e+00
9.30000e+01,7.61213e+00
9.40000e+01,7.61305e+00
9.50000e+01,7.61048e+00
9.60000e+01,7.60975e+00
9.70000e+01,7.60714e+00
9.80000e+01,7.60453e+00
9.90000e+01,7.60787e+00
1.00000e+02,7.60649e+00
1.01000e+02,7.60865e+00
1.02000e+02,7.61027e+00
1.03000e+02,7.61129e+00
1.04000e+02,7.61254e+00
1.05000e+02,7.61257e+00
1.06000e+02,7.61338e+00
1.07000e+02,7.60902e+00
1.08000e+02,7.60702e+00
1.09000e+02,7.60720e+00
1.10000e+02,7.60797e+00
1.11000e+02,7.60911e+00
1.12000e+02,7.61032e+00
1.13000e+02,7.61167e+00
1.14000e+02,7.60908e+00
1.15000e+02,7.60841e+00
1.16000e+02,7.60552e+00
1.17000e+02,7.60789e+00
1.18000e+02,7.60885e+00
1.19000e+02,7.61259e+00
1.20000e+02,7.61584e+00
1.21000e+02,7.61059e+00
1.22000e+02,7.60764e+00
1.23000e+02,7.60568e+00
1.24000e+02,7.60877e+00
1.25000e+02,7.61166e+00
1.26000e+02,7.60674e+00
1.27000e+02,7.60842e+00
1.28000e+02,7.61082e+00
1.29000e+02,7.61270e+00
1.30000e+02,7.61106e+00
1.31000e+02,7.60792e+00
1.32000e+02,7.60507e+00
1.33000e+02,7.60693e+00
1.34000e+02,7.61196e+00
1.35000e+02,7.61164e+00
1.36000e+02,7.61030e+00
1.37000e+02,7.60682e+00
1.38000e+02,7.60848e+00
1.39000e+02,7.61105e+00
1.40000e+02,7.61178e+00
1.41000e+02,7.61077e+00
1.42000e+02,7.61094e+00
1.43000e+02,7.61050e+00
1.44000e+02,7.60983e+00
1.45000e+02,7.61154e+00
1.46000e+02,7.60934e+00
1.47000e+02,7.61108e+00
1.48000e+02,7.60797e+00
1.49000e+02,7.61413e+00
1.50000e+02,7.61764e+00
1.51000e+02,7.61332e+00
1.52000e+02,7.61196e+00
1.53000e+02,7.61102e+00
1.54000e+02,7.61360e+00
1.55000e+02,7.61204e+00
1.56000e+02,7.61158e+00
1.57000e+02,7.61100e+00
1.58000e+02,7.61198e+00
1.59000e+02,7.61382e+00
1.60000e+02,7.61598e+00
1.61000e+02,7.61675e+00
1.62000e+02,7.61199e+00
1.63000e+02,7.60938e+00
1.64000e+02,7.61219e+00
1.65000e+02,7.61636e+00
1.66000e+02,7.61741e+00
1.67000e+02,7.61859e+00
1.68000e+02,7.61813e+00
1.69000e+02,7.62042e+00
1.70000e+02,7.61987e+00
1.71000e+02,7.62197e+00
1.72000e+02,7.62115e+00
1.73000e+02,7.61715e+00
1.74000e+02,7.61625e+00
1.75000e+02,7.61950e+00
1.76000e+02,7.62278e+00
1.77000e+02,7.62675e+00
1.78000e+02,7.62576e+00
1.79000e+02,7.62585e+00
1.80000e+02,7.62879e+00
1.81000e+02,7.62599e+00
1.82000e+02,7.62826e+00
1.83000e+02,7.62870e+00
1.84000e+02,7.63192e+00
1.85000e+02,7.63345e+00
1.86000e+02,7.63157e+00
1.87000e+02,7.63288e+00
1.88000e+02,7.63684e+00
1.89000e+02,7.64012e+00
1.90000e+02,7.64129e+00
1.91000e+02,7.64039e+00
1.92000e+02,7.64390e+00
1.93000e+02,7.64053e+00
1.94000e+02,7.64283e+00
1.95000e+02,7.64073e+00
1.96000e+02,7.64254e+00
1.97000e+02,7.64537e+00
1.98000e+02,7.64849e+00
1.99000e+02,7.65226e+00
2.00000e+02,7.65275e+00
2.01000e+02,7.65177e+00
2.02000e+02,7.65199e+00
2.03000e+02,7.65644e+00
2.04000e+02,7.66163e+00
2.05000e+02,7.66181e+00
2.06000e+02,7.66387e+00
2.07000e+02,7.66571e+00
2.08000e+02,7.66610e+00
2.09000e+02,7.66719e+00
2.10000e+02,7.67166e+00
2.11000e+02,7.67375e+00
2.12000e+02,7.67855e+00
2.13000e+02,7.67828e+00
2.14000e+02,7.67964e+00
2.15000e+02,7.68531e+00
2.16000e+02,7.69789e+00
2.17000e+02,7.70097e+00
2.18000e+02,7.70164e+00
2.19000e+02,7.69824e+00
2.20000e+02,7.70306e+00
2.21000e+02,7.70942e+00
2.22000e+02,7.71766e+00
2.23000e+02,7.71725e+00
2.24000e+02,7.71650e+00
2.25000e+02,7.71699e+00
2.26000e+02,7.72334e+00
2.27000e+02,7.73159e+00
2.28000e+02,7.73491e+00
2.29000e+02,7.73706e+00
2.30000e+02,7.74231e+00
2.31000e+02,7.74824e+00
2.32000e+02,7.76066e+00
2.33000e+02,7.76593e+00
2.34000e+02,7.77063e+00
2.35000e+02,7.76890e+00
2.36000e+02,7.77217e+00
2.37000e+02,7.77198e+00
2.38000e+02,7.77914e+00
2.39000e+02,7.78076e+00
2.40000e+02,7.79297e+00
2.41000e+02,7.79464e+00
2.42000e+02,7.79751e+00
2.43000e+02,7.80224e+00
2.44000e+02,7.81094e+00
2.45000e+02,7.81340e+00
2.46000e+02,7.81799e+00
2.47000e+02,7.82350e+00
2.48000e+02,7.82818e+00
2.49000e+02,7.83067e+00
2.50000e+02,7.83821e+00
2.51000e+02,7.83850e+00
2.52000e+02,7.84146e+00
2.53000e+02,7.84410e+00
2.54000e+02,7.85130e+00
2.55000e+02,7.85544e+00
2.56000e+02,7.86241e+00
2.57000e+02,7.86374e+00
2.58000e+02,7.86624e+00
2.59000e+02,7.86571e+00
2.60000e+02,7.87453e+00
2.61000e+02,7.87752e+00
2.62000e+02,7.88022e+00
2.63000e+02,7.88612e+00
2.64000e+02,7.89055e+00
2.65000e+02,7.89158e+00
2.66000e+02,7.88678e+00
2.67000e+02,7.89184e+00
2.68000e+02,7.90616e+00
2.69000e+02,7.91058e+00
2.70000e+02,7.91218e+00
2.71000e+02,7.91035e+00
2.72000e+02,7.90872e+00
2.73000e+02,7.90935e+00
2.74000e+02,7.90892e+00
2.75000e+02,7.90071e+00
2.76000e+02,7.90216e+00
2.77000e+02,7.90388e+00
2.78000e+02,7.91194e+00
2.79000e+02,7.91887e+00
2.80000e+02,7.92535e+00
2.81000e+02,7.92314e+00
2.82000e+02,7.91989e+00
2.83000e+02,7.91699e+00
2.84000e+02,7.92433e+00
2.85000e+02,7.91241e+00
2.86000e+02,7.91473e+00
2.87000e+02,7.90901e+00
2.88000e+02,7.91623e+00
2.89000e+02,7.91695e+00
2.90000e+02,7.92035e+00
2.91000e+02,7.91849e+00
2.92000e+02,7.91728e+00
2.93000e+02,7.92390e+00
2.94000e+02,7.91815e+00
2.95000e+02,7.91772e+00
2.96000e+02,7.91536e+00
2.97000e+02,7.91849e+00
2.98000e+02,7.92168e+00
2.99000e+02,7.92035e+00
3.00000e+02,7.92435e+00
3.01000e+02,7.92079e+00
3.02000e+02,7.91670e+00
3.03000e+02,7.91209e+00
3.04000e+02,7.91705e+00
3.05000e+02,7.91835e+00
3.06000e+02,7.92364e+00
3.07000e+02,7.91817e+00
3.08000e+02,7.91720e+00
3.09000e+02,7.90840e+00
3.10000e+02,7.90921e+00
3.11000e+02,7.91279e+00
3.12000e+02,7.91608e+00
3.13000e+02,7.91539e+00
3.14000e+02,7.91482e+00
3.15000e+02,7.91159e+00
