Pixels #,Intensity (a.u.)
0.00000e+00,7.57487e+00
1.00000e+00,7.57523e+00
2.00000e+00,7.57443e+00
3.00000e+00,7.57644e+00
4.00000e+00,7.57465e+00
5.00000e+00,7.57467e+00
6.00000e+00,7.57488e+00
7.00000e+00,7.57404e+00
8.00000e+00,7.57887e+00
9.00000e+00,7.57581e+00
1.00000e+01,7.57882e+00
1.10000e+01,7.57742e+00
1.20000e+01,7.57752e+00
1.30000e+01,7.57392e+00
1.40000e+01,7.57557e+00
1.50000e+01,7.57534e+00
1.60000e+01,7.57746e+00
1.70000e+01,7.57865e+00
1.80000e+01,7.58128e+00
1.90000e+01,7.57798e+00
2.00000e+01,7.57542e+00
2.10000e+01,7.57310e+00
2.20000e+01,7.57502e+00
2.30000e+01,7.57276e+00
2.40000e+01,7.57389e+00
2.50000e+01,7.57369e+00
2.60000e+01,7.57368e+00
2.70000e+01,7.57484e+00
2.80000e+01,7.57465e+00
2.90000e+01,7.57583e+00
3.00000e+01,7.57609e+00
3.10000e+01,7.57675e+00
3.20000e+01,7.57916e+00
3.30000e+01,7.57725e+00
3.40000e+01,7.57565e+00
3.50000e+01,7.57597e+00
3.60000e+01,7.57777e+00
3.70000e+01,7.57519e+00
3.80000e+01,7.57601e+00
3.90000e+01,7.57610e+00
4.00000e+01,7.57870e+00
4.10000e+01,7.57263e+00
4.20000e+01,7.57188e+00
4.30000e+01,7.57115e+00
4.40000e+01,7.57711e+00
4.50000e+01,7.57723e+00
4.60000e+01,7.57630e+00
4.70000e+01,7.57577e+00
4.80000e+01,7.57394e+00
4.90000e+01,7.57441e+00
5.00000e+01,7.57440e+00
5.10000e+01,7.57208e+00
5.20000e+01,7.56979e+00
5.30000e+01,7.57238e+00
5.40000e+01,7.57491e+00
5.50000e+01,7.57479e+00
5.60000e+01,7.57584e+00
5.70000e+01,7.57845e+00
5.80000e+01,7.57734e+00
5.90000e+01,7.57665e+00
6.00000e+01,7.57914e+00
6.10000e+01,7.57964e+00
6.20000e+01,7.58036e+00
6.30000e+01,7.58019e+00
6.40000e+01,7.58277e+00
6.50000e+01,7.58448e+00
6.60000e+01,7.58505e+00
6.70000e+01,7.58650e+00
6.80000e+01,7.58819e+00
6.90000e+01,7.58996e+00
7.00000e+01,7.58619e+00
7.10000e+01,7.59158e+00
7.20000e+01,7.59649e+00
7.30000e+01,7.59626e+00
7.40000e+01,7.59844e+00
7.50000e+01,7.60293e+00
7.60000e+01,7.60342e+00
7.70000e+01,7.60320e+00
7.80000e+01,7.59863e+00
7.90000e+01,7.59963e+00
8.00000e+01,7.60052e+00
8.10000e+01,7.60244e+00
8.20000e+01,7.60479e+00
8.30000e+01,7.60697e+00
8.40000e+01,7.61001e+00
8.50000e+01,7.61050e+00
8.60000e+01,7.61196e+00
8.70000e+01,7.61010e+00
8.80000e+01,7.60841e+00
8.90000e+01,7.60865e+00
9.00000e+01,7.60984e+00
9.10000e+01,7.60999e+00
9.20000e+01,7.61543e+00
9.30000e+01,7.61595e+00
9.40000e+01,7.61617e+00
9.50000e+01,7.61176e+00
9.60000e+01,7.61271e+00
9.70000e+01,7.61224e+00
9.80000e+01,7.61056e+00
9.90000e+01,7.60981e+00
1.00000e+02,7.60862e+00
1.01000e+02,7.61155e+00
1.02000e+02,7.61289e+00
1.03000e+02,7.61353e+00
1.04000e+02,7.61694e+00
1.05000e+02,7.62095e+00
1.06000e+02,7.62158e+00
1.07000e+02,7.61691e+00
1.08000e+02,7.61593e+00
1.09000e+02,7.61657e+00
1.10000e+02,7.61280e+00
1.11000e+02,7.61678e+00
1.12000e+02,7.61707e+00
1.13000e+02,7.61828e+00
1.14000e+02,7.61709e+00
1.15000e+02,7.61759e+00
1.16000e+02,7.61926e+00
1.17000e+02,7.61773e+00
1.18000e+02,7.61587e+00
1.19000e+02,7.61576e+00
1.20000e+02,7.61715e+00
1.21000e+02,7.61457e+00
1.22000e+02,7.61433e+00
1.23000e+02,7.61294e+00
1.24000e+02,7.61553e+00
1.25000e+02,7.61453e+00
1.26000e+02,7.61997e+00
1.27000e+02,7.61907e+00
1.28000e+02,7.62339e+00
1.29000e+02,7.62153e+00
1.30000e+02,7.61936e+00
1.31000e+02,7.61425e+00
1.32000e+02,7.61260e+00
1.33000e+02,7.61456e+00
1.34000e+02,7.61295e+00
1.35000e+02,7.61598e+00
1.36000e+02,7.61291e+00
1.37000e+02,7.61353e+00
1.38000e+02,7.60957e+00
1.39000e+02,7.61335e+00
1.40000e+02,7.61523e+00
1.41000e+02,7.61614e+00
1.42000e+02,7.61282e+00
1.43000e+02,7.60996e+00
1.44000e+02,7.61068e+00
1.45000e+02,7.61282e+00
1.46000e+02,7.61382e+00
1.47000e+02,7.61639e+00
1.48000e+02,7.61555e+00
1.49000e+02,7.61881e+00
1.50000e+02,7.62020e+00
1.51000e+02,7.61976e+00
1.52000e+02,7.61920e+00
1.53000e+02,7.61804e+00
1.54000e+02,7.61360e+00
1.55000e+02,7.61242e+00
1.56000e+02,7.61271e+00
1.57000e+02,7.61311e+00
1.58000e+02,7.61616e+00
1.59000e+02,7.61735e+00
1.60000e+02,7.61605e+00
1.61000e+02,7.61561e+00
1.62000e+02,7.61306e+00
1.63000e+02,7.61546e+00
1.64000e+02,7.61868e+00
1.65000e+02,7.61845e+00
1.66000e+02,7.61549e+00
1.67000e+02,7.62000e+00
1.68000e+02,7.61967e+00
1.69000e+02,7.62483e+00
1.70000e+02,7.62432e+00
1.71000e+02,7.62533e+00
1.72000e+02,7.62621e+00
1.73000e+02,7.62741e+00
1.74000e+02,7.62564e+00
1.75000e+02,7.62394e+00
1.76000e+02,7.62185e+00
1.77000e+02,7.62477e+00
1.78000e+02,7.62548e+00
1.79000e+02,7.62737e+00
1.80000e+02,7.62773e+00
1.81000e+02,7.63021e+00
1.82000e+02,7.62983e+00
1.83000e+02,7.63525e+00
1.84000e+02,7.63307e+00
1.85000e+02,7.63711e+00
1.86000e+02,7.63542e+00
1.87000e+02,7.63636e+00
1.88000e+02,7.63520e+00
1.89000e+02,7.64132e+00
1.90000e+02,7.64350e+00
1.91000e+02,7.64700e+00
1.92000e+02,7.64744e+00
1.93000e+02,7.64587e+00
1.94000e+02,7.64558e+00
1.95000e+02,7.64611e+00
1.96000e+02,7.64984e+00
1.97000e+02,7.65496e+00
1.98000e+02,7.65870e+00
1.99000e+02,7.65711e+00
2.00000e+02,7.65663e+00
2.01000e+02,7.65776e+00
2.02000e+02,7.66250e+00
2.03000e+02,7.66845e+00
2.04000e+02,7.67561e+00
2.05000e+02,7.67251e+00
2.06000e+02,7.67193e+00
2.07000e+02,7.67283e+00
2.08000e+02,7.67384e+00
2.09000e+02,7.67550e+00
2.10000e+02,7.67991e+00
2.11000e+02,7.67961e+00
2.12000e+02,7.68272e+00
2.13000e+02,7.69171e+00
2.14000e+02,7.69837e+00
2.15000e+02,7.69647e+00
2.16000e+02,7.69900e+00
2.17000e+02,7.70214e+00
2.18000e+02,7.70390e+00
2.19000e+02,7.70910e+00
2.20000e+02,7.70855e+00
2.21000e+02,7.71339e+00
2.22000e+02,7.71533e+00
2.23000e+02,7.72163e+00
2.24000e+02,7.72482e+00
2.25000e+02,7.73481e+00
2.26000e+02,7.73748e+00
2.27000e+02,7.74591e+00
2.28000e+02,7.74511e+00
2.29000e+02,7.75245e+00
2.30000e+02,7.74955e+00
2.31000e+02,7.75306e+00
2.32000e+02,7.76129e+00
2.33000e+02,7.76291e+00
2.34000e+02,7.76780e+00
2.35000e+02,7.76774e+00
2.36000e+02,7.77571e+00
2.37000e+02,7.78045e+00
2.38000e+02,7.78999e+00
2.39000e+02,7.79388e+00
2.40000e+02,7.80423e+00
2.41000e+02,7.80755e+00
2.42000e+02,7.81656e+00
2.43000e+02,7.82303e+00
2.44000e+02,7.82510e+00
2.45000e+02,7.82701e+00
2.46000e+02,7.83409e+00
2.47000e+02,7.83757e+00
2.48000e+02,7.84236e+00
2.49000e+02,7.84573e+00
2.50000e+02,7.84581e+00
2.51000e+02,7.85010e+00
2.52000e+02,7.85907e+00
2.53000e+02,7.86384e+00
2.54000e+02,7.86459e+00
2.55000e+02,7.87301e+00
2.56000e+02,7.88176e+00
2.57000e+02,7.88324e+00
2.58000e+02,7.88058e+00
2.59000e+02,7.88159e+00
2.60000e+02,7.89207e+00
2.61000e+02,7.89512e+00
2.62000e+02,7.89928e+00
2.63000e+02,7.89894e+00
2.64000e+02,7.90423e+00
2.65000e+02,7.90242e+00
2.66000e+02,7.90938e+00
2.67000e+02,7.91969e+00
2.68000e+02,7.92258e+00
2.69000e+02,7.92102e+00
2.70000e+02,7.91141e+00
2.71000e+02,7.91640e+00
2.72000e+02,7.92090e+00
2.73000e+02,7.91968e+00
2.74000e+02,7.92007e+00
2.75000e+02,7.92564e+00
2.76000e+02,7.92625e+00
2.77000e+02,7.92657e+00
2.78000e+02,7.92609e+00
2.79000e+02,7.92605e+00
2.80000e+02,7.92793e+00
2.81000e+02,7.92808e+00
2.82000e+02,7.92863e+00
2.83000e+02,7.93225e+00
2.84000e+02,7.92955e+00
2.85000e+02,7.93187e+00
2.86000e+02,7.93001e+00
2.87000e+02,7.93365e+00
2.88000e+02,7.93150e+00
2.89000e+02,7.92930e+00
2.90000e+02,7.92844e+00
2.91000e+02,7.93515e+00
2.92000e+02,7.93974e+00
2.93000e+02,7.94163e+00
2.94000e+02,7.93915e+00
2.95000e+02,7.93481e+00
2.96000e+02,7.93339e+00
2.97000e+02,7.93233e+00
2.98000e+02,7.94176e+00
2.99000e+02,7.93835e+00
3.00000e+02,7.93474e+00
3.01000e+02,7.92894e+00
3.02000e+02,7.92511e+00
3.03000e+02,7.92670e+00
3.04000e+02,7.93176e+00
3.05000e+02,7.93422e+00
3.06000e+02,7.93567e+00
3.07000e+02,7.93227e+00
3.08000e+02,7.93167e+00
3.09000e+02,7.93417e+00
3.10000e+02,7.93561e+00
3.11000e+02,7.93443e+00
3.12000e+02,7.93861e+00
