Pixels #,Intensity (a.u.)
0.00000e+00,7.57897e+00
1.00000e+00,7.58102e+00
2.00000e+00,7.58198e+00
3.00000e+00,7.57821e+00
4.00000e+00,7.57821e+00
5.00000e+00,7.58183e+00
6.00000e+00,7.58134e+00
7.00000e+00,7.58369e+00
8.00000e+00,7.58437e+00
9.00000e+00,7.58146e+00
1.00000e+01,7.58154e+00
1.10000e+01,7.58416e+00
1.20000e+01,7.58788e+00
1.30000e+01,7.58828e+00
1.40000e+01,7.58215e+00
1.50000e+01,7.57882e+00
1.60000e+01,7.57743e+00
1.70000e+01,7.58219e+00
1.80000e+01,7.57891e+00
1.90000e+01,7.57897e+00
2.00000e+01,7.57855e+00
2.10000e+01,7.57768e+00
2.20000e+01,7.57993e+00
2.30000e+01,7.57600e+00
2.40000e+01,7.57948e+00
2.50000e+01,7.58009e+00
2.60000e+01,7.58189e+00
2.70000e+01,7.58222e+00
2.80000e+01,7.58134e+00
2.90000e+01,7.58015e+00
3.00000e+01,7.57823e+00
3.10000e+01,7.58033e+00
3.20000e+01,7.58271e+00
3.30000e+01,7.58227e+00
3.40000e+01,7.58177e+00
3.50000e+01,7.57781e+00
3.60000e+01,7.58378e+00
3.70000e+01,7.58242e+00
3.80000e+01,7.58485e+00
3.90000e+01,7.58099e+00
4.00000e+01,7.58061e+00
4.10000e+01,7.57697e+00
4.20000e+01,7.57752e+00
4.30000e+01,7.57983e+00
4.40000e+01,7.58036e+00
4.50000e+01,7.58201e+00
4.60000e+01,7.58207e+00
4.70000e+01,7.58437e+00
4.80000e+01,7.58369e+00
4.90000e+01,7.58195e+00
5.00000e+01,7.57755e+00
5.10000e+01,7.57584e+00
5.20000e+01,7.57816e+00
5.30000e+01,7.57867e+00
5.40000e+01,7.58038e+00
5.50000e+01,7.58067e+00
5.60000e+01,7.58045e+00
5.70000e+01,7.58245e+00
5.80000e+01,7.58198e+00
5.90000e+01,7.58312e+00
6.00000e+01,7.58350e+00
6.10000e+01,7.58067e+00
6.20000e+01,7.58155e+00
6.30000e+01,7.57992e+00
6.40000e+01,7.58419e+00
6.50000e+01,7.58585e+00
6.60000e+01,7.58585e+00
6.70000e+01,7.58410e+00
6.80000e+01,7.58642e+00
6.90000e+01,7.59014e+00
7.00000e+01,7.59326e+00
7.10000e+01,7.59408e+00
7.20000e+01,7.59455e+00
7.30000e+01,7.59307e+00
7.40000e+01,7.59237e+00
7.50000e+01,7.59161e+00
7.60000e+01,7.59109e+00
7.70000e+01,7.59208e+00
7.80000e+01,7.59394e+00
7.90000e+01,7.59602e+00
8.00000e+01,7.59733e+00
8.10000e+01,7.60085e+00
8.20000e+01,7.60159e+00
8.30000e+01,7.60024e+00
8.40000e+01,7.59997e+00
8.50000e+01,7.59879e+00
8.60000e+01,7.60227e+00
8.70000e+01,7.60351e+00
8.80000e+01,7.60391e+00
8.90000e+01,7.60119e+00
9.00000e+01,7.60139e+00
9.10000e+01,7.59593e+00
9.20000e+01,7.60064e+00
9.30000e+01,7.60110e+00
9.40000e+01,7.60159e+00
9.50000e+01,7.59879e+00
9.60000e+01,7.60130e+00
9.70000e+01,7.59727e+00
9.80000e+01,7.59657e+00
9.90000e+01,7.59837e+00
1.00000e+02,7.59713e+00
1.01000e+02,7.60093e+00
1.02000e+02,7.59796e+00
1.03000e+02,7.60340e+00
1.04000e+02,7.60621e+00
1.05000e+02,7.60604e+00
1.06000e+02,7.60655e+00
1.07000e+02,7.60420e+00
1.08000e+02,7.60328e+00
1.09000e+02,7.60351e+00
1.10000e+02,7.60438e+00
1.11000e+02,7.60418e+00
1.12000e+02,7.60201e+00
1.13000e+02,7.59989e+00
1.14000e+02,7.60302e+00
1.15000e+02,7.60340e+00
1.16000e+02,7.60298e+00
1.17000e+02,7.60104e+00
1.18000e+02,7.59991e+00
1.19000e+02,7.60111e+00
1.20000e+02,7.60441e+00
1.21000e+02,7.60632e+00
1.22000e+02,7.60888e+00
1.23000e+02,7.60484e+00
1.24000e+02,7.60407e+00
1.25000e+02,7.60397e+00
1.26000e+02,7.60629e+00
1.27000e+02,7.60822e+00
1.28000e+02,7.60861e+00
1.29000e+02,7.60891e+00
1.30000e+02,7.60676e+00
1.31000e+02,7.60395e+00
1.32000e+02,7.60061e+00
1.33000e+02,7.60229e+00
1.34000e+02,7.59841e+00
1.35000e+02,7.60134e+00
1.36000e+02,7.60169e+00
1.37000e+02,7.60214e+00
1.38000e+02,7.60430e+00
1.39000e+02,7.60267e+00
1.40000e+02,7.60606e+00
1.41000e+02,7.60397e+00
1.42000e+02,7.60537e+00
1.43000e+02,7.60352e+00
1.44000e+02,7.60678e+00
1.45000e+02,7.60414e+00
1.46000e+02,7.60288e+00
1.47000e+02,7.60432e+00
1.48000e+02,7.60581e+00
1.49000e+02,7.60801e+00
1.50000e+02,7.60732e+00
1.51000e+02,7.60394e+00
1.52000e+02,7.60182e+00
1.53000e+02,7.59928e+00
1.54000e+02,7.60174e+00
1.55000e+02,7.60043e+00
1.56000e+02,7.60121e+00
1.57000e+02,7.59957e+00
1.58000e+02,7.60275e+00
1.59000e+02,7.60746e+00
1.60000e+02,7.60703e+00
1.61000e+02,7.60635e+00
1.62000e+02,7.60279e+00
1.63000e+02,7.60772e+00
1.64000e+02,7.60519e+00
1.65000e+02,7.60432e+00
1.66000e+02,7.60427e+00
1.67000e+02,7.60539e+00
1.68000e+02,7.60725e+00
1.69000e+02,7.60635e+00
1.70000e+02,7.60797e+00
1.71000e+02,7.60980e+00
1.72000e+02,7.60749e+00
1.73000e+02,7.60633e+00
1.74000e+02,7.60682e+00
1.75000e+02,7.60871e+00
1.76000e+02,7.61024e+00
1.77000e+02,7.61244e+00
1.78000e+02,7.61080e+00
1.79000e+02,7.61376e+00
1.80000e+02,7.61134e+00
1.81000e+02,7.61088e+00
1.82000e+02,7.61149e+00
1.83000e+02,7.61241e+00
1.84000e+02,7.61552e+00
1.85000e+02,7.61953e+00
1.86000e+02,7.61810e+00
1.87000e+02,7.62193e+00
1.88000e+02,7.62057e+00
1.89000e+02,7.61744e+00
1.90000e+02,7.61881e+00
1.91000e+02,7.62042e+00
1.92000e+02,7.62458e+00
1.93000e+02,7.62307e+00
1.94000e+02,7.62382e+00
1.95000e+02,7.62307e+00
1.96000e+02,7.62089e+00
1.97000e+02,7.62228e+00
1.98000e+02,7.62527e+00
1.99000e+02,7.62409e+00
2.00000e+02,7.62715e+00
2.01000e+02,7.62843e+00
2.02000e+02,7.62980e+00
2.03000e+02,7.63316e+00
2.04000e+02,7.63810e+00
2.05000e+02,7.64024e+00
2.06000e+02,7.63543e+00
2.07000e+02,7.63461e+00
2.08000e+02,7.64070e+00
2.09000e+02,7.64144e+00
2.10000e+02,7.64227e+00
2.11000e+02,7.64065e+00
2.12000e+02,7.64562e+00
2.13000e+02,7.64918e+00
2.14000e+02,7.65158e+00
2.15000e+02,7.65380e+00
2.16000e+02,7.65379e+00
2.17000e+02,7.65830e+00
2.18000e+02,7.65422e+00
2.19000e+02,7.65872e+00
2.20000e+02,7.65675e+00
2.21000e+02,7.66284e+00
2.22000e+02,7.66561e+00
2.23000e+02,7.66471e+00
2.24000e+02,7.66586e+00
2.25000e+02,7.67108e+00
2.26000e+02,7.66958e+00
2.27000e+02,7.67103e+00
2.28000e+02,7.67333e+00
2.29000e+02,7.68083e+00
2.30000e+02,7.68554e+00
2.31000e+02,7.68865e+00
2.32000e+02,7.68838e+00
2.33000e+02,7.68913e+00
2.34000e+02,7.69242e+00
2.35000e+02,7.69851e+00
2.36000e+02,7.70388e+00
2.37000e+02,7.70838e+00
2.38000e+02,7.70816e+00
2.39000e+02,7.70605e+00
2.40000e+02,7.70503e+00
2.41000e+02,7.71020e+00
2.42000e+02,7.71572e+00
2.43000e+02,7.71855e+00
2.44000e+02,7.72248e+00
2.45000e+02,7.72787e+00
2.46000e+02,7.72979e+00
2.47000e+02,7.73167e+00
2.48000e+02,7.73643e+00
2.49000e+02,7.74044e+00
2.50000e+02,7.74147e+00
2.51000e+02,7.74586e+00
2.52000e+02,7.74237e+00
2.53000e+02,7.74554e+00
2.54000e+02,7.75401e+00
2.55000e+02,7.75427e+00
2.56000e+02,7.75399e+00
2.57000e+02,7.75418e+00
2.58000e+02,7.75631e+00
2.59000e+02,7.76414e+00
2.60000e+02,7.76733e+00
2.61000e+02,7.77469e+00
2.62000e+02,7.77436e+00
2.63000e+02,7.77894e+00
2.64000e+02,7.77583e+00
2.65000e+02,7.77627e+00
2.66000e+02,7.77702e+00
2.67000e+02,7.77874e+00
2.68000e+02,7.78009e+00
2.69000e+02,7.78106e+00
2.70000e+02,7.78325e+00
2.71000e+02,7.78082e+00
2.72000e+02,7.78009e+00
2.73000e+02,7.77937e+00
2.74000e+02,7.78151e+00
2.75000e+02,7.78294e+00
2.76000e+02,7.77978e+00
2.77000e+02,7.78053e+00
2.78000e+02,7.78198e+00
2.79000e+02,7.78647e+00
2.80000e+02,7.79202e+00
2.81000e+02,7.79129e+00
2.82000e+02,7.79481e+00
2.83000e+02,7.78740e+00
2.84000e+02,7.78058e+00
2.85000e+02,7.78015e+00
2.86000e+02,7.78105e+00
2.87000e+02,7.78506e+00
2.88000e+02,7.78486e+00
2.89000e+02,7.78460e+00
2.90000e+02,7.78897e+00
2.91000e+02,7.78613e+00
2.92000e+02,7.78875e+00
2.93000e+02,7.78848e+00
2.94000e+02,7.78865e+00
2.95000e+02,7.79158e+00
2.96000e+02,7.79091e+00
2.97000e+02,7.79385e+00
2.98000e+02,7.78805e+00
2.99000e+02,7.78413e+00
3.00000e+02,7.78759e+00
3.01000e+02,7.78705e+00
3.02000e+02,7.79161e+00
3.03000e+02,7.79153e+00
3.04000e+02,7.79321e+00
3.05000e+02,7.78732e+00
3.06000e+02,7.78346e+00
3.07000e+02,7.78679e+00
3.08000e+02,7.79062e+00
3.09000e+02,7.79089e+00
3.10000e+02,7.79182e+00
3.11000e+02,7.79161e+00
3.12000e+02,7.79326e+00
3.13000e+02,7.79220e+00
3.14000e+02,7.79344e+00
3.15000e+02,7.79443e+00
3.16000e+02,7.78915e+00
3.17000e+02,7.79179e+00
3.18000e+02,7.79512e+00
3.19000e+02,7.80079e+00
3.20000e+02,7.79959e+00
3.21000e+02,7.79698e+00
3.22000e+02,7.79232e+00
3.23000e+02,7.79084e+00
3.24000e+02,7.78828e+00
3.25000e+02,7.78701e+00
3.26000e+02,7.78949e+00
3.27000e+02,7.78962e+00
3.28000e+02,7.78550e+00
3.29000e+02,7.78689e+00
3.30000e+02,7.79429e+00
3.31000e+02,7.79600e+00
3.32000e+02,7.78885e+00
3.33000e+02,7.78640e+00
3.34000e+02,7.78897e+00
3.35000e+02,7.79641e+00
3.36000e+02,7.80134e+00
3.37000e+02,7.80455e+00
3.38000e+02,7.80429e+00
3.39000e+02,7.80331e+00
3.40000e+02,7.80793e+00
3.41000e+02,7.81329e+00
3.42000e+02,7.82602e+00
3.43000e+02,7.82115e+00
3.44000e+02,7.82260e+00
3.45000e+02,7.81494e+00
3.46000e+02,7.81738e+00
3.47000e+02,7.81605e+00
3.48000e+02,7.81483e+00
3.49000e+02,7.81218e+00
3.50000e+02,7.80421e+00
3.51000e+02,7.79846e+00
3.52000e+02,7.79657e+00
3.53000e+02,7.79481e+00
3.54000e+02,7.79908e+00
3.55000e+02,7.79715e+00
3.56000e+02,7.79054e+00
3.57000e+02,7.78671e+00
3.58000e+02,7.78468e+00
3.59000e+02,7.78822e+00
3.60000e+02,7.78926e+00
3.61000e+02,7.78930e+00
3.62000e+02,7.78419e+00
3.63000e+02,7.78015e+00
3.64000e+02,7.78044e+00
3.65000e+02,7.77989e+00
3.66000e+02,7.78372e+00
3.67000e+02,7.78473e+00
3.68000e+02,7.78448e+00
3.69000e+02,7.78045e+00
3.70000e+02,7.77691e+00
3.71000e+02,7.78018e+00
3.72000e+02,7.78068e+00
3.73000e+02,7.77813e+00
3.74000e+02,7.77525e+00
3.75000e+02,7.77163e+00
3.76000e+02,7.77656e+00
3.77000e+02,7.78323e+00
3.78000e+02,7.78556e+00
3.79000e+02,7.78444e+00
3.80000e+02,7.78233e+00
3.81000e+02,7.78070e+00
3.82000e+02,7.77026e+00
3.83000e+02,7.76762e+00
3.84000e+02,7.76835e+00
3.85000e+02,7.77362e+00
3.86000e+02,7.77319e+00
3.87000e+02,7.77578e+00
3.88000e+02,7.77819e+00
3.89000e+02,7.77786e+00
3.90000e+02,7.77810e+00
3.91000e+02,7.77638e+00
3.92000e+02,7.77571e+00
3.93000e+02,7.77000e+00
3.94000e+02,7.77118e+00
3.95000e+02,7.77536e+00
3.96000e+02,7.77771e+00
3.97000e+02,7.77057e+00
3.98000e+02,7.76814e+00
3.99000e+02,7.77205e+00
4.00000e+02,7.77053e+00
4.01000e+02,7.78090e+00
4.02000e+02,7.78492e+00
4.03000e+02,7.78637e+00
4.04000e+02,7.78065e+00
4.05000e+02,7.77368e+00
4.06000e+02,7.76895e+00
4.07000e+02,7.76997e+00
4.08000e+02,7.76916e+00
4.09000e+02,7.77388e+00
4.10000e+02,7.77618e+00
4.11000e+02,7.77839e+00
4.12000e+02,7.78482e+00
4.13000e+02,7.78317e+00
4.14000e+02,7.78694e+00
4.15000e+02,7.78859e+00
4.16000e+02,7.79118e+00
4.17000e+02,7.79524e+00
4.18000e+02,7.79834e+00
4.19000e+02,7.79559e+00
4.20000e+02,7.79126e+00
4.21000e+02,7.79101e+00
4.22000e+02,7.80153e+00
4.23000e+02,7.81175e+00
4.24000e+02,7.81968e+00
4.25000e+02,7.83682e+00
4.26000e+02,7.84681e+00
4.27000e+02,7.86007e+00
4.28000e+02,7.87228e+00
4.29000e+02,7.87332e+00
4.30000e+02,7.87575e+00
4.31000e+02,7.88035e+00
4.32000e+02,7.88794e+00
4.33000e+02,7.88586e+00
4.34000e+02,7.86917e+00
4.35000e+02,7.85711e+00
4.36000e+02,7.84704e+00
4.37000e+02,7.83917e+00
4.38000e+02,7.82487e+00
4.39000e+02,7.81537e+00
4.40000e+02,7.80366e+00
4.41000e+02,7.80278e+00
4.42000e+02,7.80017e+00
4.43000e+02,7.80015e+00
4.44000e+02,7.79687e+00
4.45000e+02,7.79902e+00
4.46000e+02,7.80359e+00
4.47000e+02,7.80424e+00
4.48000e+02,7.80291e+00
4.49000e+02,7.79918e+00
4.50000e+02,7.79243e+00
4.51000e+02,7.79373e+00
4.52000e+02,7.79643e+00
4.53000e+02,7.79951e+00
4.54000e+02,7.79683e+00
4.55000e+02,7.79707e+00
4.56000e+02,7.79355e+00
4.57000e+02,7.78909e+00
4.58000e+02,7.78784e+00
4.59000e+02,7.78048e+00
4.60000e+02,7.77620e+00
4.61000e+02,7.77282e+00
4.62000e+02,7.77295e+00
4.63000e+02,7.77316e+00
4.64000e+02,7.77551e+00
4.65000e+02,7.77627e+00
4.66000e+02,7.76957e+00
4.67000e+02,7.76440e+00
4.68000e+02,7.75891e+00
4.69000e+02,7.75883e+00
4.70000e+02,7.75450e+00
4.71000e+02,7.75331e+00
4.72000e+02,7.75302e+00
4.73000e+02,7.75386e+00
4.74000e+02,7.75494e+00
4.75000e+02,7.75088e+00
4.76000e+02,7.75045e+00
4.77000e+02,7.75386e+00
4.78000e+02,7.75073e+00
4.79000e+02,7.75753e+00
4.80000e+02,7.75502e+00
4.81000e+02,7.75656e+00
4.82000e+02,7.75363e+00
4.83000e+02,7.74809e+00
4.84000e+02,7.74734e+00
4.85000e+02,7.74394e+00
4.86000e+02,7.74768e+00
4.87000e+02,7.74896e+00
4.88000e+02,7.75421e+00
4.89000e+02,7.74743e+00
4.90000e+02,7.74974e+00
4.91000e+02,7.74929e+00
4.92000e+02,7.75749e+00
4.93000e+02,7.75245e+00
4.94000e+02,7.75328e+00
4.95000e+02,7.75186e+00
4.96000e+02,7.75486e+00
4.97000e+02,7.75126e+00
4.98000e+02,7.74989e+00
4.99000e+02,7.74936e+00
5.00000e+02,7.74745e+00
5.01000e+02,7.74994e+00
5.02000e+02,7.75737e+00
5.03000e+02,7.75042e+00
5.04000e+02,7.74885e+00
5.05000e+02,7.74592e+00
5.06000e+02,7.74612e+00
5.07000e+02,7.74745e+00
5.08000e+02,7.74752e+00
5.09000e+02,7.74878e+00
5.10000e+02,7.74656e+00
5.11000e+02,7.74926e+00
5.12000e+02,7.74324e+00
5.13000e+02,7.74278e+00
5.14000e+02,7.74128e+00
5.15000e+02,7.74429e+00
5.16000e+02,7.74372e+00
5.17000e+02,7.74749e+00
5.18000e+02,7.74391e+00
5.19000e+02,7.74513e+00
5.20000e+02,7.74234e+00
5.21000e+02,7.74237e+00
5.22000e+02,7.74479e+00
5.23000e+02,7.74046e+00
5.24000e+02,7.73640e+00
5.25000e+02,7.73945e+00
5.26000e+02,7.73910e+00
5.27000e+02,7.74231e+00
5.28000e+02,7.74246e+00
5.29000e+02,7.74517e+00
5.30000e+02,7.74328e+00
5.31000e+02,7.74554e+00
5.32000e+02,7.73907e+00
5.33000e+02,7.74000e+00
5.34000e+02,7.73591e+00
5.35000e+02,7.73902e+00
5.36000e+02,7.73675e+00
5.37000e+02,7.73809e+00
5.38000e+02,7.73541e+00
5.39000e+02,7.73106e+00
5.40000e+02,7.73498e+00
5.41000e+02,7.74243e+00
5.42000e+02,7.74508e+00
5.43000e+02,7.74505e+00
5.44000e+02,7.74482e+00
5.45000e+02,7.73742e+00
5.46000e+02,7.73698e+00
5.47000e+02,7.73695e+00
5.48000e+02,7.74057e+00
5.49000e+02,7.73936e+00
5.50000e+02,7.73727e+00
5.51000e+02,7.73819e+00
5.52000e+02,7.73951e+00
5.53000e+02,7.74189e+00
5.54000e+02,7.73684e+00
5.55000e+02,7.72804e+00
5.56000e+02,7.72854e+00
5.57000e+02,7.73289e+00
5.58000e+02,7.73579e+00
5.59000e+02,7.73428e+00
5.60000e+02,7.73457e+00
5.61000e+02,7.74124e+00
5.62000e+02,7.74147e+00
5.63000e+02,7.73062e+00
5.64000e+02,7.72892e+00
5.65000e+02,7.73498e+00
5.66000e+02,7.73668e+00
5.67000e+02,7.73668e+00
5.68000e+02,7.73362e+00
5.69000e+02,7.73988e+00
5.70000e+02,7.73194e+00
5.71000e+02,7.73333e+00
5.72000e+02,7.73504e+00
5.73000e+02,7.73832e+00
5.74000e+02,7.73623e+00
5.75000e+02,7.73646e+00
5.76000e+02,7.73820e+00
5.77000e+02,7.73477e+00
5.78000e+02,7.73782e+00
5.79000e+02,7.73146e+00
5.80000e+02,7.73101e+00
5.81000e+02,7.72676e+00
5.82000e+02,7.73033e+00
5.83000e+02,7.73077e+00
5.84000e+02,7.73428e+00
5.85000e+02,7.73660e+00
5.86000e+02,7.73434e+00
5.87000e+02,7.73744e+00
5.88000e+02,7.73324e+00
5.89000e+02,7.73622e+00
5.90000e+02,7.72998e+00
5.91000e+02,7.73236e+00
5.92000e+02,7.73382e+00
5.93000e+02,7.74008e+00
5.94000e+02,7.73841e+00
5.95000e+02,7.74014e+00
5.96000e+02,7.73774e+00
5.97000e+02,7.73317e+00
5.98000e+02,7.73635e+00
5.99000e+02,7.73713e+00
6.00000e+02,7.73996e+00
6.01000e+02,7.73817e+00
6.02000e+02,7.73744e+00
6.03000e+02,7.73849e+00
6.04000e+02,7.74063e+00
6.05000e+02,7.73881e+00
6.06000e+02,7.74023e+00
6.07000e+02,7.73864e+00
6.08000e+02,7.73680e+00
6.09000e+02,7.73275e+00
6.10000e+02,7.73318e+00
6.11000e+02,7.73146e+00
6.12000e+02,7.73367e+00
6.13000e+02,7.73648e+00
6.14000e+02,7.73210e+00
6.15000e+02,7.72982e+00
6.16000e+02,7.72844e+00
6.17000e+02,7.73225e+00
6.18000e+02,7.73910e+00
6.19000e+02,7.74003e+00
6.20000e+02,7.73872e+00
6.21000e+02,7.73370e+00
6.22000e+02,7.73552e+00
6.23000e+02,7.73613e+00
6.24000e+02,7.73326e+00
6.25000e+02,7.73577e+00
6.26000e+02,7.74003e+00
6.27000e+02,7.74188e+00
6.28000e+02,7.73925e+00
6.29000e+02,7.74017e+00
6.30000e+02,7.74266e+00
6.31000e+02,7.74498e+00
6.32000e+02,7.74995e+00
6.33000e+02,7.74365e+00
6.34000e+02,7.74614e+00
6.35000e+02,7.74684e+00
6.36000e+02,7.75248e+00
6.37000e+02,7.75877e+00
6.38000e+02,7.75961e+00
6.39000e+02,7.76799e+00
6.40000e+02,7.77778e+00
6.41000e+02,7.78849e+00
6.42000e+02,7.79152e+00
6.43000e+02,7.79771e+00
6.44000e+02,7.80369e+00
6.45000e+02,7.81553e+00
6.46000e+02,7.82280e+00
6.47000e+02,7.82969e+00
6.48000e+02,7.83726e+00
6.49000e+02,7.84442e+00
6.50000e+02,7.84848e+00
6.51000e+02,7.85162e+00
6.52000e+02,7.84935e+00
6.53000e+02,7.84540e+00
6.54000e+02,7.83537e+00
6.55000e+02,7.82457e+00
6.56000e+02,7.80983e+00
6.57000e+02,7.79812e+00
6.58000e+02,7.78491e+00
6.59000e+02,7.77313e+00
6.60000e+02,7.76898e+00
