Pixels #,Intensity (a.u.)
0.00000e+00,0.00000e+00
1.00000e+00,4.55973e-03
2.00000e+00,4.76470e-03
3.00000e+00,3.96158e-03
4.00000e+00,5.12584e-03
5.00000e+00,6.10603e-03
6.00000e+00,6.07837e-03
7.00000e+00,6.75169e-03
8.00000e+00,4.32921e-03
9.00000e+00,9.33842e-03
1.00000e+01,5.48138e-03
1.10000e+01,2.81353e-03
1.20000e+01,3.30322e-03
1.30000e+01,6.56887e-03
1.40000e+01,9.23806e-03
1.50000e+01,6.33635e-03
1.60000e+01,5.11141e-03
1.70000e+01,2.43479e-03
1.80000e+01,2.67084e-03
1.90000e+01,0.00000e+00
2.00000e+01,1.64143e-03
2.10000e+01,3.96167e-03
2.20000e+01,7.48510e-03
2.30000e+01,5.28409e-03
2.40000e+01,5.69022e-03
2.50000e+01,3.74843e-03
2.60000e+01,2.79915e-03
2.70000e+01,2.28927e-03
2.80000e+01,1.56332e-03
2.90000e+01,4.83551e-03
3.00000e+01,3.83857e-03
3.10000e+01,2.47558e-03
3.20000e+01,3.61300e-03
3.30000e+01,3.96735e-03
3.40000e+01,8.95391e-03
3.50000e+01,4.87381e-03
3.60000e+01,7.68569e-03
3.70000e+01,5.46911e-03
3.80000e+01,4.96127e-03
3.90000e+01,6.49665e-03
4.00000e+01,6.16762e-03
4.10000e+01,4.57084e-03
4.20000e+01,4.26109e-03
4.30000e+01,3.50257e-03
4.40000e+01,1.59823e-03
4.50000e+01,1.53496e-03
4.60000e+01,2.73606e-03
4.70000e+01,4.73871e-03
4.80000e+01,4.14360e-03
4.90000e+01,6.07533e-03
5.00000e+01,4.39750e-03
5.10000e+01,0.00000e+00
5.20000e+01,3.28069e-04
5.30000e+01,9.72763e-04
5.40000e+01,1.63621e-03
5.50000e+01,1.99853e-03
5.60000e+01,6.05795e-04
5.70000e+01,3.28593e-03
5.80000e+01,3.66759e-03
5.90000e+01,3.77521e-03
6.00000e+01,3.77625e-03
6.10000e+01,4.67425e-03
6.20000e+01,6.42836e-03
6.30000e+01,8.07020e-04
6.40000e+01,3.29608e-03
6.50000e+01,4.34376e-03
6.60000e+01,8.28399e-03
6.70000e+01,8.95188e-03
6.80000e+01,8.33134e-03
6.90000e+01,1.22057e-02
7.00000e+01,1.61347e-02
7.10000e+01,1.62579e-02
7.20000e+01,1.47117e-02
7.30000e+01,1.24878e-02
7.40000e+01,1.41791e-02
7.50000e+01,1.44740e-02
7.60000e+01,1.28940e-02
7.70000e+01,1.18174e-02
7.80000e+01,1.14413e-02
7.90000e+01,1.35907e-02
8.00000e+01,1.37917e-02
8.10000e+01,1.92499e-02
8.20000e+01,1.67350e-02
8.30000e+01,1.62389e-02
8.40000e+01,1.52315e-02
8.50000e+01,1.60187e-02
8.60000e+01,2.11959e-02
8.70000e+01,1.93330e-02
8.80000e+01,2.00118e-02
8.90000e+01,1.62514e-02
9.00000e+01,2.00450e-02
9.10000e+01,1.80105e-02
9.20000e+01,2.01428e-02
9.30000e+01,1.79429e-02
9.40000e+01,2.05208e-02
9.50000e+01,2.01097e-02
9.60000e+01,1.89988e-02
9.70000e+01,1.61202e-02
9.80000e+01,1.49989e-02
9.90000e+01,1.97399e-02
1.00000e+02,2.26378e-02
1.01000e+02,1.74671e-02
1.02000e+02,1.35524e-02
1.03000e+02,1.61887e-02
1.04000e+02,1.89976e-02
1.05000e+02,2.16435e-02
1.06000e+02,2.06320e-02
1.07000e+02,1.87705e-02
1.08000e+02,1.06422e-02
1.09000e+02,1.29860e-02
1.10000e+02,1.33659e-02
1.11000e+02,1.41620e-02
1.12000e+02,1.43976e-02
1.13000e+02,1.66209e-02
1.14000e+02,1.33702e-02
1.15000e+02,1.37704e-02
1.16000e+02,1.02530e-02
1.17000e+02,1.03713e-02
1.18000e+02,1.33624e-02
1.19000e+02,1.39008e-02
1.20000e+02,1.84258e-02
1.21000e+02,1.39521e-02
1.22000e+02,1.20000e-02
1.23000e+02,9.05269e-03
1.24000e+02,1.11984e-02
1.25000e+02,1.08453e-02
1.26000e+02,1.09537e-02
1.27000e+02,1.25915e-02
1.28000e+02,1.26914e-02
1.29000e+02,8.11007e-03
1.30000e+02,3.24184e-03
1.31000e+02,1.97758e-03
1.32000e+02,1.95193e-03
1.33000e+02,4.93968e-03
1.34000e+02,3.30272e-03
1.35000e+02,5.59081e-03
1.36000e+02,5.34918e-03
1.37000e+02,4.88125e-03
1.38000e+02,6.30777e-03
1.39000e+02,5.92110e-03
1.40000e+02,7.82581e-03
1.41000e+02,7.26100e-03
1.42000e+02,7.49193e-03
1.43000e+02,5.54256e-03
1.44000e+02,5.76135e-03
1.45000e+02,3.37225e-03
1.46000e+02,4.11049e-03
1.47000e+02,0.00000e+00
1.48000e+02,3.15083e-03
1.49000e+02,3.81499e-03
1.50000e+02,6.29396e-03
1.51000e+02,6.22415e-03
1.52000e+02,5.26780e-03
1.53000e+02,5.01103e-03
1.54000e+02,2.67538e-03
1.55000e+02,1.31131e-03
1.56000e+02,4.85531e-03
1.57000e+02,0.00000e+00
1.58000e+02,1.27888e-03
1.59000e+02,2.64610e-03
1.60000e+02,3.05370e-03
1.61000e+02,4.34766e-03
1.62000e+02,4.60067e-04
1.63000e+02,1.65924e-03
1.64000e+02,1.39206e-03
1.65000e+02,1.21762e-03
1.66000e+02,6.87982e-04
1.67000e+02,1.64794e-03
1.68000e+02,3.81444e-03
1.69000e+02,1.02868e-03
1.70000e+02,0.00000e+00
1.71000e+02,2.62260e-03
1.72000e+02,4.63949e-03
1.73000e+02,6.15515e-03
1.74000e+02,4.19971e-03
1.75000e+02,2.83947e-03
1.76000e+02,3.20407e-03
1.77000e+02,2.66696e-04
1.78000e+02,2.72385e-04
1.79000e+02,3.57206e-03
1.80000e+02,7.10254e-03
1.81000e+02,3.71614e-03
1.82000e+02,0.00000e+00
1.83000e+02,1.09102e-03
1.84000e+02,3.89841e-03
