Pixels #,Intensity (a.u.)
0.00000e+00,1.27292e-03
1.00000e+00,1.72789e-03
2.00000e+00,0.00000e+00
3.00000e+00,1.22193e-03
4.00000e+00,2.58355e-04
5.00000e+00,1.86095e-03
6.00000e+00,1.91001e-03
7.00000e+00,2.20616e-03
8.00000e+00,3.16137e-03
9.00000e+00,2.54764e-03
1.00000e+01,1.92258e-03
1.10000e+01,1.43832e-03
1.20000e+01,4.99701e-03
1.30000e+01,3.45180e-03
1.40000e+01,5.49025e-03
1.50000e+01,3.69678e-03
1.60000e+01,5.71863e-03
1.70000e+01,4.18417e-03
1.80000e+01,9.37272e-04
1.90000e+01,1.19614e-03
2.00000e+01,3.13979e-05
2.10000e+01,0.00000e+00
2.20000e+01,3.50958e-04
2.30000e+01,4.80659e-04
2.40000e+01,3.67701e-03
2.50000e+01,4.64124e-03
2.60000e+01,6.90994e-03
2.70000e+01,1.53908e-03
2.80000e+01,3.81007e-03
2.90000e+01,5.83240e-03
3.00000e+01,2.96000e-03
3.10000e+01,2.66150e-03
3.20000e+01,0.00000e+00
3.30000e+01,3.73846e-04
3.40000e+01,2.61443e-03
3.50000e+01,3.91387e-03
3.60000e+01,2.96646e-03
3.70000e+01,2.57193e-03
3.80000e+01,2.18280e-03
3.90000e+01,2.36319e-03
4.00000e+01,1.21780e-03
4.10000e+01,2.44949e-03
4.20000e+01,0.00000e+00
4.30000e+01,9.15541e-04
4.40000e+01,6.72112e-04
4.50000e+01,3.74455e-03
4.60000e+01,2.77315e-03
4.70000e+01,3.36963e-03
4.80000e+01,5.05485e-04
4.90000e+01,1.24091e-03
5.00000e+01,0.00000e+00
5.10000e+01,4.57771e-04
5.20000e+01,1.65751e-03
5.30000e+01,1.03475e-03
5.40000e+01,2.99613e-03
5.50000e+01,1.91346e-03
5.60000e+01,0.00000e+00
5.70000e+01,1.90297e-03
5.80000e+01,3.48251e-03
5.90000e+01,5.76115e-03
6.00000e+01,5.80789e-03
6.10000e+01,2.79928e-03
6.20000e+01,5.07449e-03
6.30000e+01,3.80455e-03
6.40000e+01,1.19087e-02
6.50000e+01,1.86856e-02
6.60000e+01,2.07199e-02
6.70000e+01,2.04204e-02
6.80000e+01,1.75155e-02
6.90000e+01,1.80762e-02
7.00000e+01,2.04756e-02
7.10000e+01,2.17256e-02
7.20000e+01,1.92673e-02
7.30000e+01,2.02356e-02
7.40000e+01,1.82671e-02
7.50000e+01,1.61739e-02
7.60000e+01,1.70541e-02
7.70000e+01,2.42068e-02
7.80000e+01,2.17876e-02
7.90000e+01,2.46846e-02
8.00000e+01,2.48964e-02
8.10000e+01,2.68881e-02
8.20000e+01,2.27032e-02
8.30000e+01,2.44504e-02
8.40000e+01,2.51167e-02
8.50000e+01,3.14066e-02
8.60000e+01,3.04936e-02
8.70000e+01,3.25158e-02
8.80000e+01,3.08565e-02
8.90000e+01,2.73669e-02
9.00000e+01,3.10842e-02
9.10000e+01,2.62340e-02
9.20000e+01,2.85507e-02
9.30000e+01,2.48523e-02
9.40000e+01,2.37609e-02
9.50000e+01,2.00279e-02
9.60000e+01,1.92376e-02
9.70000e+01,1.74216e-02
9.80000e+01,2.09873e-02
9.90000e+01,2.21504e-02
1.00000e+02,1.39960e-02
1.01000e+02,9.88822e-03
1.02000e+02,4.02517e-03
1.03000e+02,8.30488e-03
1.04000e+02,7.70962e-03
1.05000e+02,9.28482e-03
