Pixels #,Intensity (a.u.)
0.00000e+00,7.87214e-01
1.00000e+00,7.86672e-01
2.00000e+00,7.90924e-01
3.00000e+00,7.85621e-01
4.00000e+00,7.86676e-01
5.00000e+00,7.87355e-01
6.00000e+00,7.87044e-01
7.00000e+00,7.87803e-01
8.00000e+00,7.88390e-01
9.00000e+00,7.88778e-01
1.00000e+01,7.86107e-01
1.10000e+01,7.88052e-01
1.20000e+01,7.92362e-01
1.30000e+01,7.86694e-01
1.40000e+01,7.85665e-01
1.50000e+01,7.90046e-01
1.60000e+01,7.86871e-01
1.70000e+01,7.87223e-01
1.80000e+01,7.89329e-01
1.90000e+01,7.84807e-01
2.00000e+01,7.85578e-01
2.10000e+01,7.87553e-01
2.20000e+01,7.87030e-01
2.30000e+01,7.85480e-01
2.40000e+01,7.85042e-01
2.50000e+01,7.85615e-01
2.60000e+01,7.85831e-01
2.70000e+01,7.87429e-01
2.80000e+01,7.87063e-01
2.90000e+01,7.85212e-01
3.00000e+01,7.86448e-01
3.10000e+01,7.92400e-01
3.20000e+01,7.90771e-01
3.30000e+01,7.87263e-01
3.40000e+01,7.87585e-01
3.50000e+01,7.88889e-01
3.60000e+01,7.86408e-01
3.70000e+01,7.86831e-01
3.80000e+01,7.88412e-01
3.90000e+01,8.17653e-01
4.00000e+01,7.87395e-01
4.10000e+01,7.89714e-01
4.20000e+01,7.84876e-01
4.30000e+01,7.85133e-01
4.40000e+01,7.86882e-01
4.50000e+01,7.87846e-01
4.60000e+01,7.86159e-01
4.70000e+01,7.89150e-01
4.80000e+01,7.90330e-01
4.90000e+01,7.89004e-01
5.00000e+01,7.87696e-01
5.10000e+01,7.88345e-01
5.20000e+01,7.90311e-01
5.30000e+01,7.88992e-01
5.40000e+01,7.99947e-01
5.50000e+01,7.88635e-01
5.60000e+01,7.92974e-01
5.70000e+01,7.88517e-01
5.80000e+01,7.87089e-01
5.90000e+01,7.88056e-01
6.00000e+01,7.90285e-01
6.10000e+01,7.88477e-01
6.20000e+01,7.86651e-01
6.30000e+01,7.86384e-01
6.40000e+01,7.90363e-01
6.50000e+01,7.88250e-01
6.60000e+01,7.88395e-01
6.70000e+01,7.90491e-01
6.80000e+01,7.89776e-01
6.90000e+01,7.88222e-01
7.00000e+01,7.87699e-01
7.10000e+01,7.94656e-01
7.20000e+01,7.88752e-01
7.30000e+01,7.90008e-01
7.40000e+01,7.87431e-01
7.50000e+01,7.87885e-01
7.60000e+01,7.88457e-01
7.70000e+01,7.88092e-01
7.80000e+01,7.89779e-01
7.90000e+01,7.88399e-01
8.00000e+01,7.90207e-01
8.10000e+01,7.90838e-01
8.20000e+01,7.89459e-01
8.30000e+01,7.88726e-01
8.40000e+01,7.88842e-01
8.50000e+01,7.88712e-01
8.60000e+01,7.93133e-01
8.70000e+01,7.89035e-01
8.80000e+01,7.88841e-01
8.90000e+01,7.90535e-01
9.00000e+01,7.90642e-01
9.10000e+01,7.95555e-01
9.20000e+01,7.89336e-01
9.30000e+01,7.87796e-01
9.40000e+01,7.88269e-01
9.50000e+01,7.89514e-01
9.60000e+01,7.89101e-01
9.70000e+01,7.89485e-01
9.80000e+01,7.87859e-01
9.90000e+01,7.90140e-01
1.00000e+02,7.89292e-01
1.01000e+02,7.90621e-01
1.02000e+02,7.90887e-01
1.03000e+02,7.94257e-01
1.04000e+02,7.89574e-01
1.05000e+02,7.90441e-01
1.06000e+02,7.94164e-01
1.07000e+02,7.90192e-01
1.08000e+02,7.90504e-01
1.09000e+02,7.88754e-01
1.10000e+02,7.88022e-01
1.11000e+02,7.88556e-01
1.12000e+02,7.93800e-01
1.13000e+02,7.89253e-01
1.14000e+02,7.88775e-01
1.15000e+02,7.89106e-01
1.16000e+02,7.91986e-01
1.17000e+02,7.88563e-01
1.18000e+02,7.89717e-01
1.19000e+02,7.94927e-01
1.20000e+02,7.88377e-01
1.21000e+02,7.91274e-01
1.22000e+02,7.88892e-01
1.23000e+02,7.88502e-01
1.24000e+02,7.92844e-01
1.25000e+02,7.90381e-01
1.26000e+02,7.88349e-01
1.27000e+02,7.89860e-01
1.28000e+02,7.91537e-01
1.29000e+02,7.89316e-01
1.30000e+02,7.90061e-01
1.31000e+02,7.90882e-01
1.32000e+02,7.93339e-01
1.33000e+02,7.87108e-01
1.34000e+02,7.91449e-01
1.35000e+02,7.88736e-01
1.36000e+02,7.88952e-01
1.37000e+02,7.89221e-01
1.38000e+02,7.88033e-01
1.39000e+02,7.93634e-01
1.40000e+02,7.90220e-01
1.41000e+02,7.88493e-01
1.42000e+02,7.91857e-01
1.43000e+02,7.91552e-01
1.44000e+02,7.91307e-01
1.45000e+02,7.88231e-01
1.46000e+02,7.91862e-01
1.47000e+02,7.89776e-01
1.48000e+02,7.89895e-01
1.49000e+02,7.93688e-01
1.50000e+02,7.90481e-01
1.51000e+02,7.94560e-01
1.52000e+02,7.89020e-01
1.53000e+02,7.89773e-01
1.54000e+02,7.95312e-01
1.55000e+02,7.90261e-01
1.56000e+02,7.91017e-01
1.57000e+02,7.91112e-01
1.58000e+02,7.89637e-01
1.59000e+02,8.01212e-01
1.60000e+02,7.91389e-01
1.61000e+02,7.91495e-01
1.62000e+02,7.90872e-01
1.63000e+02,7.91517e-01
1.64000e+02,7.90165e-01
1.65000e+02,7.89322e-01
1.66000e+02,7.89409e-01
1.67000e+02,7.91297e-01
1.68000e+02,7.89857e-01
1.69000e+02,7.91048e-01
1.70000e+02,7.92085e-01
1.71000e+02,7.89436e-01
1.72000e+02,7.91082e-01
1.73000e+02,7.92835e-01
1.74000e+02,7.91414e-01
1.75000e+02,7.90040e-01
1.76000e+02,7.93622e-01
1.77000e+02,7.88683e-01
1.78000e+02,7.88318e-01
1.79000e+02,7.90331e-01
1.80000e+02,7.92856e-01
1.81000e+02,7.98637e-01
1.82000e+02,7.92930e-01
1.83000e+02,7.92775e-01
1.84000e+02,7.93312e-01
1.85000e+02,8.00713e-01
1.86000e+02,7.94035e-01
1.87000e+02,7.93881e-01
1.88000e+02,7.93949e-01
1.89000e+02,7.92697e-01
1.90000e+02,7.92058e-01
1.91000e+02,7.92563e-01
1.92000e+02,7.95284e-01
1.93000e+02,7.94124e-01
1.94000e+02,7.90539e-01
1.95000e+02,7.93529e-01
1.96000e+02,7.91165e-01
1.97000e+02,7.95693e-01
1.98000e+02,7.93209e-01
1.99000e+02,7.91802e-01
2.00000e+02,7.93831e-01
2.01000e+02,7.92330e-01
2.02000e+02,7.93584e-01
2.03000e+02,7.93279e-01
2.04000e+02,7.94520e-01
2.05000e+02,7.96994e-01
2.06000e+02,7.97998e-01
2.07000e+02,7.93759e-01
2.08000e+02,7.92759e-01
2.09000e+02,7.94208e-01
2.10000e+02,7.93295e-01
2.11000e+02,7.96386e-01
2.12000e+02,8.00210e-01
2.13000e+02,7.96699e-01
2.14000e+02,7.97905e-01
2.15000e+02,7.95443e-01
2.16000e+02,7.97676e-01
2.17000e+02,7.98228e-01
2.18000e+02,7.97574e-01
2.19000e+02,7.94499e-01
2.20000e+02,7.96903e-01
2.21000e+02,7.97438e-01
2.22000e+02,7.95975e-01
2.23000e+02,7.97218e-01
2.24000e+02,7.97603e-01
2.25000e+02,7.99169e-01
2.26000e+02,7.98503e-01
2.27000e+02,7.97726e-01
2.28000e+02,7.97127e-01
2.29000e+02,7.98979e-01
2.30000e+02,7.99091e-01
2.31000e+02,7.98106e-01
2.32000e+02,7.99439e-01
2.33000e+02,7.99057e-01
2.34000e+02,7.99017e-01
2.35000e+02,8.00431e-01
2.36000e+02,7.97903e-01
2.37000e+02,7.97075e-01
2.38000e+02,8.02226e-01
2.39000e+02,7.98670e-01
2.40000e+02,7.96676e-01
2.41000e+02,7.98183e-01
2.42000e+02,7.99115e-01
2.43000e+02,7.96622e-01
2.44000e+02,7.97764e-01
2.45000e+02,7.99061e-01
2.46000e+02,7.99047e-01
2.47000e+02,8.00952e-01
2.48000e+02,7.96772e-01
2.49000e+02,8.14029e-01
2.50000e+02,7.96513e-01
2.51000e+02,7.99634e-01
2.52000e+02,7.97468e-01
2.53000e+02,7.97504e-01
2.54000e+02,7.99814e-01
2.55000e+02,7.96459e-01
2.56000e+02,7.96959e-01
2.57000e+02,7.99247e-01
2.58000e+02,7.95800e-01
2.59000e+02,7.96416e-01
2.60000e+02,7.97815e-01
2.61000e+02,7.99054e-01
2.62000e+02,7.95451e-01
2.63000e+02,7.98986e-01
2.64000e+02,7.95468e-01
2.65000e+02,7.97042e-01
2.66000e+02,7.96212e-01
2.67000e+02,8.01950e-01
2.68000e+02,8.00804e-01
2.69000e+02,7.96974e-01
