Pixels #,Intensity (a.u.)
0.00000e+00,7.95472e-01
1.00000e+00,7.95560e-01
2.00000e+00,7.98980e-01
3.00000e+00,7.94340e-01
4.00000e+00,7.94900e-01
5.00000e+00,7.95998e-01
6.00000e+00,7.95943e-01
7.00000e+00,7.95710e-01
8.00000e+00,7.96547e-01
9.00000e+00,7.97045e-01
1.00000e+01,7.94514e-01
1.10000e+01,7.97107e-01
1.20000e+01,8.00327e-01
1.30000e+01,7.94862e-01
1.40000e+01,7.94104e-01
1.50000e+01,7.98075e-01
1.60000e+01,7.95065e-01
1.70000e+01,7.95788e-01
1.80000e+01,7.97427e-01
1.90000e+01,7.93622e-01
2.00000e+01,7.93542e-01
2.10000e+01,7.96562e-01
2.20000e+01,7.95533e-01
2.30000e+01,7.93285e-01
2.40000e+01,7.93184e-01
2.50000e+01,7.94051e-01
2.60000e+01,7.94997e-01
2.70000e+01,7.95446e-01
2.80000e+01,7.95576e-01
2.90000e+01,7.93837e-01
3.00000e+01,7.94905e-01
3.10000e+01,7.99981e-01
3.20000e+01,7.99539e-01
3.30000e+01,7.96226e-01
3.40000e+01,7.95712e-01
3.50000e+01,7.97412e-01
3.60000e+01,7.94751e-01
3.70000e+01,7.95414e-01
3.80000e+01,7.97534e-01
3.90000e+01,8.25277e-01
4.00000e+01,7.95780e-01
4.10000e+01,7.98199e-01
4.20000e+01,7.93596e-01
4.30000e+01,7.94063e-01
4.40000e+01,7.96468e-01
4.50000e+01,7.96414e-01
4.60000e+01,7.94772e-01
4.70000e+01,7.98562e-01
4.80000e+01,7.99424e-01
4.90000e+01,7.97913e-01
5.00000e+01,7.96848e-01
5.10000e+01,7.97870e-01
5.20000e+01,7.99726e-01
5.30000e+01,7.99170e-01
5.40000e+01,8.10272e-01
5.50000e+01,7.98094e-01
5.60000e+01,8.02735e-01
5.70000e+01,7.98128e-01
5.80000e+01,7.97412e-01
5.90000e+01,7.98082e-01
6.00000e+01,8.00742e-01
6.10000e+01,7.98872e-01
6.20000e+01,7.96822e-01
6.30000e+01,7.97219e-01
6.40000e+01,8.00714e-01
6.50000e+01,7.98824e-01
6.60000e+01,7.97685e-01
6.70000e+01,8.00588e-01
6.80000e+01,8.00850e-01
6.90000e+01,7.98915e-01
7.00000e+01,7.98856e-01
7.10000e+01,8.04793e-01
7.20000e+01,7.99626e-01
7.30000e+01,8.00222e-01
7.40000e+01,7.98677e-01
7.50000e+01,7.98551e-01
7.60000e+01,7.99247e-01
7.70000e+01,7.99059e-01
7.80000e+01,8.00561e-01
7.90000e+01,7.99126e-01
8.00000e+01,8.00163e-01
8.10000e+01,8.01408e-01
8.20000e+01,7.99705e-01
8.30000e+01,7.99455e-01
8.40000e+01,7.99928e-01
8.50000e+01,7.99857e-01
8.60000e+01,8.11876e-01
8.70000e+01,7.99622e-01
8.80000e+01,8.00067e-01
8.90000e+01,8.01453e-01
9.00000e+01,8.02096e-01
9.10000e+01,8.06738e-01
9.20000e+01,7.99925e-01
9.30000e+01,7.98686e-01
9.40000e+01,7.99310e-01
9.50000e+01,8.00815e-01
9.60000e+01,8.00402e-01
9.70000e+01,8.00822e-01
9.80000e+01,7.99063e-01
9.90000e+01,8.00631e-01
1.00000e+02,8.00131e-01
1.01000e+02,8.01307e-01
1.02000e+02,8.01693e-01
1.03000e+02,8.04874e-01
1.04000e+02,8.00243e-01
1.05000e+02,8.02240e-01
1.06000e+02,8.05181e-01
1.07000e+02,8.01598e-01
1.08000e+02,8.02043e-01
1.09000e+02,8.00934e-01
1.10000e+02,8.01077e-01
1.11000e+02,8.01414e-01
1.12000e+02,8.06984e-01
1.13000e+02,8.02629e-01
1.14000e+02,8.01569e-01
1.15000e+02,8.01928e-01
1.16000e+02,8.04659e-01
1.17000e+02,8.00911e-01
1.18000e+02,8.01444e-01
1.19000e+02,8.07485e-01
1.20000e+02,8.00333e-01
1.21000e+02,8.02025e-01
1.22000e+02,8.00172e-01
1.23000e+02,7.99866e-01
