Pixels #,Intensity (a.u.)
0.00000e+00,7.97082e-01
1.00000e+00,7.96648e-01
2.00000e+00,8.00800e-01
3.00000e+00,7.95517e-01
4.00000e+00,7.96324e-01
5.00000e+00,7.96854e-01
6.00000e+00,7.96985e-01
7.00000e+00,7.97964e-01
8.00000e+00,7.97846e-01
9.00000e+00,7.98587e-01
1.00000e+01,7.96043e-01
1.10000e+01,7.98374e-01
1.20000e+01,8.02337e-01
1.30000e+01,7.96566e-01
1.40000e+01,7.96432e-01
1.50000e+01,7.99518e-01
1.60000e+01,7.96930e-01
1.70000e+01,7.97476e-01
1.80000e+01,7.99207e-01
1.90000e+01,7.95301e-01
2.00000e+01,7.95308e-01
2.10000e+01,7.97715e-01
2.20000e+01,7.97277e-01
2.30000e+01,7.95057e-01
2.40000e+01,7.95244e-01
2.50000e+01,7.95723e-01
2.60000e+01,7.96054e-01
2.70000e+01,7.96901e-01
2.80000e+01,7.97417e-01
2.90000e+01,7.95124e-01
3.00000e+01,7.96682e-01
3.10000e+01,8.02072e-01
3.20000e+01,8.00212e-01
3.30000e+01,7.97758e-01
3.40000e+01,7.97443e-01
3.50000e+01,7.98338e-01
3.60000e+01,7.96294e-01
3.70000e+01,7.96564e-01
3.80000e+01,7.98901e-01
3.90000e+01,8.26199e-01
4.00000e+01,7.97092e-01
4.10000e+01,7.99209e-01
4.20000e+01,7.95434e-01
4.30000e+01,7.95886e-01
4.40000e+01,7.97281e-01
4.50000e+01,7.97628e-01
4.60000e+01,7.96385e-01
4.70000e+01,7.99560e-01
4.80000e+01,8.00799e-01
4.90000e+01,7.99718e-01
5.00000e+01,7.98108e-01
5.10000e+01,7.98788e-01
5.20000e+01,8.00179e-01
5.30000e+01,7.99521e-01
5.40000e+01,8.10939e-01
5.50000e+01,7.99502e-01
5.60000e+01,8.03668e-01
5.70000e+01,8.00105e-01
5.80000e+01,7.98569e-01
5.90000e+01,7.99345e-01
6.00000e+01,8.01615e-01
6.10000e+01,8.00183e-01
6.20000e+01,7.98758e-01
6.30000e+01,7.98924e-01
6.40000e+01,8.01902e-01
6.50000e+01,8.00956e-01
6.60000e+01,8.01503e-01
6.70000e+01,8.02863e-01
6.80000e+01,8.04305e-01
6.90000e+01,8.02455e-01
7.00000e+01,8.02976e-01
7.10000e+01,8.09232e-01
7.20000e+01,8.03572e-01
7.30000e+01,8.05204e-01
7.40000e+01,8.03254e-01
7.50000e+01,8.02908e-01
7.60000e+01,8.03376e-01
7.70000e+01,8.03005e-01
7.80000e+01,8.04053e-01
7.90000e+01,8.02231e-01
8.00000e+01,8.02559e-01
8.10000e+01,8.04018e-01
8.20000e+01,8.01365e-01
8.30000e+01,8.00979e-01
8.40000e+01,8.01094e-01
8.50000e+01,8.00714e-01
8.60000e+01,8.04912e-01
8.70000e+01,8.00476e-01
8.80000e+01,8.01176e-01
8.90000e+01,8.01783e-01
9.00000e+01,8.02754e-01
9.10000e+01,8.07233e-01
9.20000e+01,8.00172e-01
9.30000e+01,7.99286e-01
9.40000e+01,8.00778e-01
9.50000e+01,8.01722e-01
9.60000e+01,8.00104e-01
9.70000e+01,8.00920e-01
9.80000e+01,7.99342e-01
9.90000e+01,8.01282e-01
1.00000e+02,8.00700e-01
1.01000e+02,8.00933e-01
1.02000e+02,8.01612e-01
1.03000e+02,8.04996e-01
1.04000e+02,8.00393e-01
1.05000e+02,8.01606e-01
1.06000e+02,8.05044e-01
1.07000e+02,8.00631e-01
1.08000e+02,8.01034e-01
1.09000e+02,7.99393e-01
