Pixels #,Intensity (a.u.)
0.00000e+00,8.19129e-01
1.00000e+00,8.18456e-01
2.00000e+00,8.21866e-01
3.00000e+00,8.16657e-01
4.00000e+00,8.18800e-01
5.00000e+00,8.18751e-01
6.00000e+00,8.18168e-01
7.00000e+00,8.19302e-01
8.00000e+00,8.19616e-01
9.00000e+00,8.21691e-01
1.00000e+01,8.17162e-01
1.10000e+01,8.19396e-01
1.20000e+01,8.24034e-01
1.30000e+01,8.17931e-01
1.40000e+01,8.18235e-01
1.50000e+01,8.21461e-01
1.60000e+01,8.17810e-01
1.70000e+01,8.19059e-01
1.80000e+01,8.20554e-01
1.90000e+01,8.16982e-01
2.00000e+01,8.17122e-01
2.10000e+01,8.19304e-01
2.20000e+01,8.19075e-01
2.30000e+01,8.17492e-01
2.40000e+01,8.16973e-01
2.50000e+01,8.18410e-01
2.60000e+01,8.18012e-01
2.70000e+01,8.19272e-01
2.80000e+01,8.19638e-01
2.90000e+01,8.17710e-01
3.00000e+01,8.19287e-01
3.10000e+01,8.24146e-01
3.20000e+01,8.23550e-01
3.30000e+01,8.20489e-01
3.40000e+01,8.20475e-01
3.50000e+01,8.22282e-01
3.60000e+01,8.20644e-01
3.70000e+01,8.21749e-01
3.80000e+01,8.24822e-01
3.90000e+01,8.52880e-01
4.00000e+01,8.25352e-01
4.10000e+01,8.28991e-01
4.20000e+01,8.27110e-01
4.30000e+01,8.31095e-01
4.40000e+01,8.37626e-01
4.50000e+01,8.43129e-01
4.60000e+01,8.49413e-01
4.70000e+01,8.60515e-01
4.80000e+01,8.73287e-01
4.90000e+01,8.82606e-01
5.00000e+01,8.95093e-01
5.10000e+01,9.10698e-01
5.20000e+01,9.28536e-01
5.30000e+01,9.42514e-01
5.40000e+01,9.68944e-01
5.50000e+01,9.70434e-01
5.60000e+01,9.89292e-01
5.70000e+01,9.96522e-01
5.80000e+01,1.00601e+00
5.90000e+01,1.01601e+00
6.00000e+01,1.02662e+00
6.10000e+01,1.03040e+00
6.20000e+01,1.03712e+00
6.30000e+01,1.04341e+00
6.40000e+01,1.05187e+00
6.50000e+01,1.05567e+00
6.60000e+01,1.06191e+00
6.70000e+01,1.06977e+00
6.80000e+01,1.07260e+00
6.90000e+01,1.07691e+00
7.00000e+01,1.08104e+00
7.10000e+01,1.09110e+00
7.20000e+01,1.08963e+00
7.30000e+01,1.09304e+00
7.40000e+01,1.09398e+00
7.50000e+01,1.09698e+00
7.60000e+01,1.09925e+00
7.70000e+01,1.10135e+00
7.80000e+01,1.10327e+00
7.90000e+01,1.10373e+00
8.00000e+01,1.10429e+00
8.10000e+01,1.10618e+00
8.20000e+01,1.10619e+00
8.30000e+01,1.10553e+00
8.40000e+01,1.10651e+00
8.50000e+01,1.10654e+00
8.60000e+01,1.12028e+00
8.70000e+01,1.10821e+00
8.80000e+01,1.11183e+00
8.90000e+01,1.11199e+00
9.00000e+01,1.11203e+00
9.10000e+01,1.12030e+00
9.20000e+01,1.11367e+00
9.30000e+01,1.11414e+00
9.40000e+01,1.11540e+00
9.50000e+01,1.11824e+00
9.60000e+01,1.11907e+00
9.70000e+01,1.11998e+00
9.80000e+01,1.11941e+00
9.90000e+01,1.12231e+00
1.00000e+02,1.12192e+00
1.01000e+02,1.12272e+00
1.02000e+02,1.12516e+00
1.03000e+02,1.12829e+00
1.04000e+02,1.12444e+00
1.05000e+02,1.12649e+00
1.06000e+02,1.12844e+00
1.07000e+02,1.12667e+00
1.08000e+02,1.12551e+00
1.09000e+02,1.12537e+00
1.10000e+02,1.12245e+00
1.11000e+02,1.12296e+00
1.12000e+02,1.12896e+00
1.13000e+02,1.12368e+00
1.14000e+02,1.12068e+00
1.15000e+02,1.12111e+00
1.16000e+02,1.12350e+00
1.17000e+02,1.11983e+00
1.18000e+02,1.12078e+00
1.19000e+02,1.12573e+00
1.20000e+02,1.11822e+00
1.21000e+02,1.12070e+00
1.22000e+02,1.11775e+00
1.23000e+02,1.11874e+00
1.24000e+02,1.12001e+00
1.25000e+02,1.11832e+00
1.26000e+02,1.11541e+00
1.27000e+02,1.11666e+00
1.28000e+02,1.11676e+00
1.29000e+02,1.11609e+00
1.30000e+02,1.11905e+00
1.31000e+02,1.11863e+00
1.32000e+02,1.12221e+00
1.33000e+02,1.11432e+00
1.34000e+02,1.12154e+00
1.35000e+02,1.11926e+00
1.36000e+02,1.12034e+00
1.37000e+02,1.12221e+00
1.38000e+02,1.12224e+00
1.39000e+02,1.12753e+00
1.40000e+02,1.12528e+00
1.41000e+02,1.12544e+00
1.42000e+02,1.12999e+00
1.43000e+02,1.13035e+00
1.44000e+02,1.13284e+00
1.45000e+02,1.13054e+00
1.46000e+02,1.13485e+00
1.47000e+02,1.13337e+00
1.48000e+02,1.13601e+00
1.49000e+02,1.14317e+00
1.50000e+02,1.14251e+00
1.51000e+02,1.14900e+00
1.52000e+02,1.14594e+00
1.53000e+02,1.14771e+00
1.54000e+02,1.15755e+00
1.55000e+02,1.15299e+00
1.56000e+02,1.15671e+00
1.57000e+02,1.15851e+00
1.58000e+02,1.16039e+00
1.59000e+02,1.17439e+00
1.60000e+02,1.16881e+00
1.61000e+02,1.17154e+00
1.62000e+02,1.17340e+00
1.63000e+02,1.17720e+00
1.64000e+02,1.17966e+00
1.65000e+02,1.18181e+00
1.66000e+02,1.18553e+00
1.67000e+02,1.19214e+00
1.68000e+02,1.19260e+00
1.69000e+02,1.19879e+00
1.70000e+02,1.20351e+00
1.71000e+02,1.20222e+00
1.72000e+02,1.20946e+00
1.73000e+02,1.21501e+00
1.74000e+02,1.21851e+00
1.75000e+02,1.22163e+00
1.76000e+02,1.22889e+00
1.77000e+02,1.23046e+00
1.78000e+02,1.23309e+00
1.79000e+02,1.24151e+00
1.80000e+02,1.24720e+00
1.81000e+02,1.26009e+00
1.82000e+02,1.25887e+00
1.83000e+02,1.26297e+00
1.84000e+02,1.27196e+00
1.85000e+02,1.28416e+00
1.86000e+02,1.28137e+00
1.87000e+02,1.28768e+00
1.88000e+02,1.29633e+00
1.89000e+02,1.30004e+00
1.90000e+02,1.30921e+00
1.91000e+02,1.31330e+00
1.92000e+02,1.32466e+00
1.93000e+02,1.33107e+00
1.94000e+02,1.33471e+00
1.95000e+02,1.34573e+00
1.96000e+02,1.35147e+00
1.97000e+02,1.36631e+00
1.98000e+02,1.37026e+00
1.99000e+02,1.37794e+00
2.00000e+02,1.38960e+00
2.01000e+02,1.39940e+00
2.02000e+02,1.41127e+00
2.03000e+02,1.41927e+00
2.04000e+02,1.43116e+00
2.05000e+02,1.44692e+00
2.06000e+02,1.45889e+00
2.07000e+02,1.46489e+00
2.08000e+02,1.47605e+00
2.09000e+02,1.48865e+00
2.10000e+02,1.50414e+00
2.11000e+02,1.51615e+00
2.12000e+02,1.53293e+00
2.13000e+02,1.54322e+00
2.14000e+02,1.55889e+00
2.15000e+02,1.57181e+00
2.16000e+02,1.58824e+00
2.17000e+02,1.60066e+00
2.18000e+02,1.61671e+00
2.19000e+02,1.62995e+00
2.20000e+02,1.65008e+00
2.21000e+02,1.66543e+00
2.22000e+02,1.68044e+00
2.23000e+02,1.69813e+00
2.24000e+02,1.71823e+00
2.25000e+02,1.73451e+00
2.26000e+02,1.75030e+00
2.27000e+02,1.76637e+00
2.28000e+02,1.78291e+00
2.29000e+02,1.80189e+00
2.30000e+02,1.82271e+00
2.31000e+02,1.84178e+00
2.32000e+02,1.85640e+00
2.33000e+02,1.87452e+00
2.34000e+02,1.89137e+00
2.35000e+02,1.90861e+00
2.36000e+02,1.92223e+00
2.37000e+02,1.94058e+00
2.38000e+02,1.96292e+00
2.39000e+02,1.97826e+00
2.40000e+02,1.99080e+00
2.41000e+02,2.00853e+00
2.42000e+02,2.02864e+00
2.43000e+02,2.03871e+00
2.44000e+02,2.05662e+00
2.45000e+02,2.07078e+00
2.46000e+02,2.08682e+00
2.47000e+02,2.10312e+00
2.48000e+02,2.11238e+00
2.49000e+02,2.14026e+00
2.50000e+02,2.13986e+00
2.51000e+02,2.15186e+00
2.52000e+02,2.16586e+00
2.53000e+02,2.17425e+00
2.54000e+02,2.18891e+00
2.55000e+02,2.19924e+00
2.56000e+02,2.21073e+00
2.57000e+02,2.22093e+00
2.58000e+02,2.22810e+00
2.59000e+02,2.23664e+00
2.60000e+02,2.24877e+00
2.61000e+02,2.25550e+00
2.62000e+02,2.26110e+00
2.63000e+02,2.27151e+00
2.64000e+02,2.28096e+00
2.65000e+02,2.28672e+00
2.66000e+02,2.28874e+00
2.67000e+02,2.30095e+00
2.68000e+02,2.30111e+00
2.69000e+02,2.31120e+00
2.70000e+02,2.31704e+00
2.71000e+02,2.31744e+00
2.72000e+02,2.32126e+00
2.73000e+02,2.33544e+00
2.74000e+02,2.33290e+00
2.75000e+02,2.32775e+00
2.76000e+02,2.33477e+00
2.77000e+02,2.33623e+00
2.78000e+02,2.34092e+00
2.79000e+02,2.34427e+00
2.80000e+02,2.34486e+00
2.81000e+02,2.35213e+00
2.82000e+02,2.35141e+00
2.83000e+02,2.35458e+00
2.84000e+02,2.34850e+00
2.85000e+02,2.35492e+00
2.86000e+02,2.35298e+00
2.87000e+02,2.35944e+00
2.88000e+02,2.36126e+00
2.89000e+02,2.38384e+00
2.90000e+02,2.35857e+00
2.91000e+02,2.36133e+00
2.92000e+02,2.36776e+00
2.93000e+02,2.36495e+00
2.94000e+02,2.36721e+00
2.95000e+02,2.37820e+00
2.96000e+02,2.36202e+00
2.97000e+02,2.36929e+00
2.98000e+02,2.37149e+00
2.99000e+02,2.37968e+00
3.00000e+02,2.36707e+00
3.01000e+02,2.40145e+00
3.02000e+02,2.37213e+00
3.03000e+02,2.36692e+00
3.04000e+02,2.37232e+00
3.05000e+02,2.37037e+00
3.06000e+02,2.37426e+00
3.07000e+02,2.37167e+00
3.08000e+02,2.37123e+00
3.09000e+02,2.37416e+00
3.10000e+02,2.37163e+00
3.11000e+02,2.40704e+00
3.12000e+02,2.37222e+00
3.13000e+02,2.38129e+00
3.14000e+02,2.37006e+00
3.15000e+02,2.37527e+00
3.16000e+02,2.38395e+00
3.17000e+02,2.38445e+00
3.18000e+02,2.38226e+00
3.19000e+02,2.38329e+00
3.20000e+02,2.38472e+00
3.21000e+02,2.38538e+00
3.22000e+02,2.39166e+00
3.23000e+02,2.39373e+00
3.24000e+02,2.39060e+00
3.25000e+02,2.39625e+00
3.26000e+02,2.39306e+00
3.27000e+02,2.39974e+00
3.28000e+02,2.40441e+00
3.29000e+02,2.40718e+00
3.30000e+02,2.40887e+00
3.31000e+02,2.40953e+00
3.32000e+02,2.41116e+00
3.33000e+02,2.41502e+00
3.34000e+02,2.40875e+00
3.35000e+02,2.42158e+00
3.36000e+02,2.41859e+00
3.37000e+02,2.42553e+00
3.38000e+02,2.42705e+00
3.39000e+02,2.43530e+00
3.40000e+02,2.43164e+00
3.41000e+02,2.43398e+00
3.42000e+02,2.43337e+00
3.43000e+02,2.43950e+00
3.44000e+02,2.44175e+00
3.45000e+02,2.44277e+00
3.46000e+02,2.45036e+00
3.47000e+02,2.44941e+00
3.48000e+02,2.45251e+00
3.49000e+02,2.45236e+00
3.50000e+02,2.45760e+00
3.51000e+02,2.46421e+00
3.52000e+02,2.45975e+00
3.53000e+02,2.46648e+00
3.54000e+02,2.46569e+00
3.55000e+02,2.47168e+00
3.56000e+02,2.46964e+00
3.57000e+02,2.47290e+00
3.58000e+02,2.47649e+00
3.59000e+02,2.47769e+00
3.60000e+02,2.47838e+00
3.61000e+02,2.48029e+00
3.62000e+02,2.48018e+00
3.63000e+02,2.48695e+00
3.64000e+02,2.48351e+00
3.65000e+02,2.49253e+00
3.66000e+02,2.48887e+00
3.67000e+02,2.49061e+00
3.68000e+02,2.49515e+00
3.69000e+02,2.50051e+00
3.70000e+02,2.49018e+00
3.71000e+02,2.50311e+00
3.72000e+02,2.49495e+00
3.73000e+02,2.50112e+00
3.74000e+02,2.49875e+00
3.75000e+02,2.49898e+00
3.76000e+02,2.50260e+00
3.77000e+02,2.50522e+00
3.78000e+02,2.51147e+00
3.79000e+02,2.50199e+00
3.80000e+02,2.50760e+00
3.81000e+02,2.50885e+00
3.82000e+02,2.51020e+00
3.83000e+02,2.51259e+00
3.84000e+02,2.50934e+00
3.85000e+02,2.51071e+00
3.86000e+02,2.53142e+00
3.87000e+02,2.51766e+00
3.88000e+02,2.51487e+00
3.89000e+02,2.51151e+00
3.90000e+02,2.52037e+00
3.91000e+02,2.51881e+00
3.92000e+02,2.51483e+00
3.93000e+02,2.51802e+00
3.94000e+02,2.51655e+00
3.95000e+02,2.51902e+00
3.96000e+02,2.52171e+00
3.97000e+02,2.52366e+00
3.98000e+02,2.52097e+00
3.99000e+02,2.53178e+00
4.00000e+02,2.52585e+00
4.01000e+02,2.52916e+00
4.02000e+02,2.52536e+00
4.03000e+02,2.52374e+00
4.04000e+02,2.52546e+00
4.05000e+02,2.54048e+00
4.06000e+02,2.52803e+00
4.07000e+02,2.53090e+00
4.08000e+02,2.53556e+00
4.09000e+02,2.53093e+00
4.10000e+02,2.53574e+00
4.11000e+02,2.53486e+00
4.12000e+02,2.53900e+00
4.13000e+02,2.54169e+00
4.14000e+02,2.53710e+00
4.15000e+02,2.54186e+00
4.16000e+02,2.53800e+00
4.17000e+02,2.54297e+00
4.18000e+02,2.54246e+00
4.19000e+02,2.54559e+00
4.20000e+02,2.54807e+00
4.21000e+02,2.55106e+00
4.22000e+02,2.55336e+00
4.23000e+02,2.55235e+00
4.24000e+02,2.55141e+00
4.25000e+02,2.55195e+00
4.26000e+02,2.55752e+00
4.27000e+02,2.55932e+00
4.28000e+02,2.55944e+00
4.29000e+02,2.55729e+00
4.30000e+02,2.56526e+00
4.31000e+02,2.56431e+00
4.32000e+02,2.56244e+00
4.33000e+02,2.57747e+00
4.34000e+02,2.57187e+00
4.35000e+02,2.56391e+00
4.36000e+02,2.57082e+00
4.37000e+02,2.56816e+00
4.38000e+02,2.56881e+00
4.39000e+02,2.57019e+00
4.40000e+02,2.57183e+00
4.41000e+02,2.57845e+00
4.42000e+02,2.58099e+00
4.43000e+02,2.57730e+00
4.44000e+02,2.58367e+00
4.45000e+02,2.57813e+00
4.46000e+02,2.58476e+00
4.47000e+02,2.59031e+00
4.48000e+02,2.58245e+00
4.49000e+02,2.58805e+00
4.50000e+02,2.59174e+00
4.51000e+02,2.58984e+00
4.52000e+02,2.59656e+00
4.53000e+02,2.60212e+00
4.54000e+02,2.59667e+00
4.55000e+02,2.59581e+00
4.56000e+02,2.60098e+00
4.57000e+02,2.60459e+00
4.58000e+02,2.60639e+00
4.59000e+02,2.60682e+00
4.60000e+02,2.60765e+00
4.61000e+02,2.60518e+00
4.62000e+02,2.61097e+00
4.63000e+02,2.61070e+00
4.64000e+02,2.61382e+00
4.65000e+02,2.61359e+00
4.66000e+02,2.61313e+00
4.67000e+02,2.61214e+00
4.68000e+02,2.61270e+00
4.69000e+02,2.61729e+00
4.70000e+02,2.61748e+00
4.71000e+02,2.61787e+00
4.72000e+02,2.62233e+00
4.73000e+02,2.62074e+00
4.74000e+02,2.62394e+00
4.75000e+02,2.62241e+00
4.76000e+02,2.63701e+00
4.77000e+02,2.62173e+00
4.78000e+02,2.62530e+00
4.79000e+02,2.62681e+00
4.80000e+02,2.62771e+00
4.81000e+02,2.62817e+00
4.82000e+02,2.63028e+00
4.83000e+02,2.63498e+00
4.84000e+02,2.62992e+00
4.85000e+02,2.63363e+00
4.86000e+02,2.63478e+00
4.87000e+02,2.64065e+00
4.88000e+02,2.63622e+00
4.89000e+02,2.63859e+00
4.90000e+02,2.63184e+00
4.91000e+02,2.64179e+00
4.92000e+02,2.63859e+00
4.93000e+02,2.64372e+00
4.94000e+02,2.65631e+00
4.95000e+02,2.64584e+00
4.96000e+02,2.64864e+00
4.97000e+02,2.64461e+00
4.98000e+02,2.64643e+00
4.99000e+02,2.64685e+00
5.00000e+02,2.64563e+00
5.01000e+02,2.65367e+00
