Pixels #,Intensity (a.u.)
0.00000e+00,7.90296e-01
1.00000e+00,7.91005e-01
2.00000e+00,7.94668e-01
3.00000e+00,7.88215e-01
4.00000e+00,7.89831e-01
5.00000e+00,7.90782e-01
6.00000e+00,7.90410e-01
7.00000e+00,7.91191e-01
8.00000e+00,7.91655e-01
9.00000e+00,7.92320e-01
1.00000e+01,7.89230e-01
1.10000e+01,7.92513e-01
1.20000e+01,7.96007e-01
1.30000e+01,7.90326e-01
1.40000e+01,7.89031e-01
1.50000e+01,7.93906e-01
1.60000e+01,7.89848e-01
1.70000e+01,7.90797e-01
1.80000e+01,7.92803e-01
1.90000e+01,7.88693e-01
2.00000e+01,7.89346e-01
2.10000e+01,7.91077e-01
2.20000e+01,7.90244e-01
2.30000e+01,7.87569e-01
2.40000e+01,7.88526e-01
2.50000e+01,7.88937e-01
2.60000e+01,7.89547e-01
2.70000e+01,7.90720e-01
2.80000e+01,7.90343e-01
2.90000e+01,7.88686e-01
3.00000e+01,7.90185e-01
3.10000e+01,7.96338e-01
3.20000e+01,7.94870e-01
3.30000e+01,7.90743e-01
3.40000e+01,7.90223e-01
3.50000e+01,7.92047e-01
3.60000e+01,7.89817e-01
3.70000e+01,7.89979e-01
3.80000e+01,7.92444e-01
3.90000e+01,8.22348e-01
4.00000e+01,7.90723e-01
4.10000e+01,7.93147e-01
4.20000e+01,7.87810e-01
4.30000e+01,7.88635e-01
4.40000e+01,7.90632e-01
4.50000e+01,7.90414e-01
4.60000e+01,7.88392e-01
4.70000e+01,7.93126e-01
4.80000e+01,7.93368e-01
4.90000e+01,7.91593e-01
5.00000e+01,7.90468e-01
5.10000e+01,7.90950e-01
5.20000e+01,7.91755e-01
5.30000e+01,7.92089e-01
5.40000e+01,8.03339e-01
5.50000e+01,7.90879e-01
5.60000e+01,7.95274e-01
5.70000e+01,7.90761e-01
5.80000e+01,7.89580e-01
5.90000e+01,7.90284e-01
6.00000e+01,7.93264e-01
6.10000e+01,7.91790e-01
6.20000e+01,7.89960e-01
6.30000e+01,7.90021e-01
6.40000e+01,7.93198e-01
6.50000e+01,7.91701e-01
6.60000e+01,7.91408e-01
6.70000e+01,7.93345e-01
6.80000e+01,7.93687e-01
6.90000e+01,7.91800e-01
7.00000e+01,7.91562e-01
7.10000e+01,7.98530e-01
7.20000e+01,7.92751e-01
7.30000e+01,7.93409e-01
7.40000e+01,7.90836e-01
7.50000e+01,7.91344e-01
7.60000e+01,7.91649e-01
7.70000e+01,7.91351e-01
7.80000e+01,7.93185e-01
7.90000e+01,7.92356e-01
8.00000e+01,7.93236e-01
8.10000e+01,7.94971e-01
8.20000e+01,7.93171e-01
8.30000e+01,7.92363e-01
8.40000e+01,7.92996e-01
8.50000e+01,7.92686e-01
8.60000e+01,7.98376e-01
8.70000e+01,7.92565e-01
8.80000e+01,7.93271e-01
8.90000e+01,7.94442e-01
9.00000e+01,7.94409e-01
9.10000e+01,8.00227e-01
9.20000e+01,7.92493e-01
9.30000e+01,7.91603e-01
9.40000e+01,7.91807e-01
9.50000e+01,7.93500e-01
