Pixels #,Intensity (a.u.)
0.00000e+00,7.91391e-01
1.00000e+00,7.91221e-01
2.00000e+00,7.95817e-01
3.00000e+00,7.89792e-01
4.00000e+00,7.91239e-01
5.00000e+00,7.92244e-01
6.00000e+00,7.91637e-01
7.00000e+00,7.92210e-01
8.00000e+00,7.92746e-01
9.00000e+00,7.93287e-01
1.00000e+01,7.90475e-01
1.10000e+01,7.93264e-01
1.20000e+01,7.97275e-01
1.30000e+01,7.91006e-01
1.40000e+01,7.90131e-01
1.50000e+01,7.94572e-01
1.60000e+01,7.90911e-01
1.70000e+01,7.91936e-01
1.80000e+01,7.93665e-01
1.90000e+01,7.89595e-01
2.00000e+01,7.90015e-01
2.10000e+01,7.92594e-01
2.20000e+01,7.91340e-01
2.30000e+01,7.88822e-01
2.40000e+01,7.89307e-01
2.50000e+01,7.90075e-01
2.60000e+01,7.90887e-01
2.70000e+01,7.91705e-01
2.80000e+01,7.92276e-01
2.90000e+01,7.89976e-01
3.00000e+01,7.90932e-01
3.10000e+01,7.97180e-01
3.20000e+01,7.95278e-01
3.30000e+01,7.92309e-01
3.40000e+01,7.91265e-01
3.50000e+01,7.93924e-01
3.60000e+01,7.90850e-01
3.70000e+01,7.91315e-01
3.80000e+01,7.93021e-01
3.90000e+01,8.23606e-01
4.00000e+01,7.91936e-01
4.10000e+01,7.94119e-01
4.20000e+01,7.89212e-01
4.30000e+01,7.89543e-01
4.40000e+01,7.91790e-01
4.50000e+01,7.91959e-01
4.60000e+01,7.90312e-01
4.70000e+01,7.93778e-01
4.80000e+01,7.95003e-01
4.90000e+01,7.93422e-01
5.00000e+01,7.92063e-01
5.10000e+01,7.92386e-01
5.20000e+01,7.95114e-01
5.30000e+01,7.93145e-01
5.40000e+01,8.05907e-01
5.50000e+01,7.93635e-01
5.60000e+01,7.97977e-01
5.70000e+01,7.94922e-01
5.80000e+01,7.94390e-01
5.90000e+01,7.96253e-01
6.00000e+01,7.99770e-01
6.10000e+01,7.98195e-01
6.20000e+01,7.96974e-01
6.30000e+01,7.97584e-01
6.40000e+01,8.01322e-01
6.50000e+01,7.99691e-01
6.60000e+01,8.00817e-01
6.70000e+01,8.03118e-01
6.80000e+01,8.03525e-01
6.90000e+01,8.01775e-01
7.00000e+01,8.01692e-01
7.10000e+01,8.09327e-01
7.20000e+01,8.02142e-01
7.30000e+01,8.03409e-01
7.40000e+01,8.01370e-01
7.50000e+01,8.01747e-01
7.60000e+01,8.02608e-01
7.70000e+01,8.02279e-01
7.80000e+01,8.04381e-01
7.90000e+01,8.03986e-01
8.00000e+01,8.05097e-01
8.10000e+01,8.05440e-01
8.20000e+01,8.04121e-01
8.30000e+01,8.03794e-01
8.40000e+01,8.04181e-01
8.50000e+01,8.04216e-01
8.60000e+01,8.13043e-01
8.70000e+01,8.03987e-01
8.80000e+01,8.05111e-01
8.90000e+01,8.06810e-01
9.00000e+01,8.06143e-01
9.10000e+01,8.11646e-01
9.20000e+01,8.03989e-01
9.30000e+01,8.02971e-01
9.40000e+01,8.03795e-01
9.50000e+01,8.04926e-01
9.60000e+01,8.04709e-01
9.70000e+01,8.05497e-01
9.80000e+01,8.03583e-01
9.90000e+01,8.05466e-01
1.00000e+02,8.04545e-01
1.01000e+02,8.05770e-01
1.02000e+02,8.07007e-01
1.03000e+02,8.09476e-01
1.04000e+02,8.04284e-01
1.05000e+02,8.05905e-01
1.06000e+02,8.09888e-01
1.07000e+02,8.06034e-01
1.08000e+02,8.06018e-01
1.09000e+02,8.03995e-01
1.10000e+02,8.03384e-01
1.11000e+02,8.04175e-01
1.12000e+02,8.09984e-01
1.13000e+02,8.04518e-01
1.14000e+02,8.04110e-01
1.15000e+02,8.03808e-01
1.16000e+02,8.07261e-01
1.17000e+02,8.03864e-01
