Pixels #,Intensity (a.u.)
0.00000e+00,7.56966e+00
1.00000e+00,7.56757e+00
2.00000e+00,7.57138e+00
3.00000e+00,7.56586e+00
4.00000e+00,7.56795e+00
5.00000e+00,7.57064e+00
6.00000e+00,7.56970e+00
7.00000e+00,7.56753e+00
8.00000e+00,7.56775e+00
9.00000e+00,7.56962e+00
1.00000e+01,7.56731e+00
1.10000e+01,7.56862e+00
1.20000e+01,7.57481e+00
1.30000e+01,7.56881e+00
1.40000e+01,7.56702e+00
1.50000e+01,7.57268e+00
1.60000e+01,7.56751e+00
1.70000e+01,7.57028e+00
1.80000e+01,7.57105e+00
1.90000e+01,7.56924e+00
2.00000e+01,7.56555e+00
2.10000e+01,7.56912e+00
2.20000e+01,7.56604e+00
2.30000e+01,7.56995e+00
2.40000e+01,7.56734e+00
2.50000e+01,7.56957e+00
2.60000e+01,7.56941e+00
2.70000e+01,7.56858e+00
2.80000e+01,7.57036e+00
2.90000e+01,7.56513e+00
3.00000e+01,7.57094e+00
3.10000e+01,7.57433e+00
3.20000e+01,7.57046e+00
3.30000e+01,7.57402e+00
3.40000e+01,7.57222e+00
3.50000e+01,7.56979e+00
3.60000e+01,7.56934e+00
3.70000e+01,7.56998e+00
3.80000e+01,7.57142e+00
3.90000e+01,7.60396e+00
4.00000e+01,7.57322e+00
4.10000e+01,7.57514e+00
4.20000e+01,7.57168e+00
4.30000e+01,7.57315e+00
4.40000e+01,7.57775e+00
4.50000e+01,7.57824e+00
4.60000e+01,7.57858e+00
4.70000e+01,7.58578e+00
4.80000e+01,7.59070e+00
4.90000e+01,7.59724e+00
5.00000e+01,7.59788e+00
5.10000e+01,7.60908e+00
5.20000e+01,7.62764e+00
5.30000e+01,7.64355e+00
5.40000e+01,7.67460e+00
5.50000e+01,7.68768e+00
5.60000e+01,7.72808e+00
5.70000e+01,7.76049e+00
5.80000e+01,7.80473e+00
5.90000e+01,7.84774e+00
6.00000e+01,7.90331e+00
6.10000e+01,7.94698e+00
6.20000e+01,7.98594e+00
6.30000e+01,8.03590e+00
6.40000e+01,8.07573e+00
6.50000e+01,8.11638e+00
6.60000e+01,8.14420e+00
6.70000e+01,8.17941e+00
6.80000e+01,8.20515e+00
6.90000e+01,8.21784e+00
7.00000e+01,8.24531e+00
7.10000e+01,8.26947e+00
7.20000e+01,8.28587e+00
7.30000e+01,8.30596e+00
7.40000e+01,8.32192e+00
7.50000e+01,8.33093e+00
7.60000e+01,8.35586e+00
7.70000e+01,8.36387e+00
7.80000e+01,8.39147e+00
7.90000e+01,8.39979e+00
8.00000e+01,8.41771e+00
8.10000e+01,8.42991e+00
8.20000e+01,8.42995e+00
8.30000e+01,8.43740e+00
8.40000e+01,8.44944e+00
8.50000e+01,8.46041e+00
8.60000e+01,8.47697e+00
8.70000e+01,8.46640e+00
8.80000e+01,8.46553e+00
8.90000e+01,8.47915e+00
9.00000e+01,8.46708e+00
9.10000e+01,8.47915e+00
9.20000e+01,8.46606e+00
9.30000e+01,8.47522e+00
9.40000e+01,8.47074e+00
9.50000e+01,8.48730e+00
9.60000e+01,8.48532e+00
9.70000e+01,8.48305e+00
9.80000e+01,8.48008e+00
9.90000e+01,8.49220e+00
1.00000e+02,8.49766e+00
1.01000e+02,8.48751e+00
1.02000e+02,8.50762e+00
1.03000e+02,8.51173e+00
1.04000e+02,8.51209e+00
1.05000e+02,8.51848e+00
1.06000e+02,8.53522e+00
1.07000e+02,8.51506e+00
1.08000e+02,8.52314e+00
1.09000e+02,8.51614e+00
1.10000e+02,8.53089e+00
1.11000e+02,8.53603e+00
1.12000e+02,8.54724e+00
1.13000e+02,8.53604e+00
1.14000e+02,8.53341e+00
1.15000e+02,8.53811e+00
1.16000e+02,8.53228e+00
1.17000e+02,8.52976e+00
1.18000e+02,8.53718e+00
1.19000e+02,8.54096e+00
1.20000e+02,8.53240e+00
1.21000e+02,8.53566e+00
1.22000e+02,8.53654e+00
1.23000e+02,8.52601e+00
1.24000e+02,8.52489e+00
1.25000e+02,8.53099e+00
1.26000e+02,8.52267e+00
1.27000e+02,8.51723e+00
1.28000e+02,8.52533e+00
1.29000e+02,8.51880e+00
1.30000e+02,8.51494e+00
1.31000e+02,8.51248e+00
1.32000e+02,8.51375e+00
1.33000e+02,8.50750e+00
1.34000e+02,8.51557e+00
1.35000e+02,8.50724e+00
1.36000e+02,8.50442e+00
