Pixels #,Intensity (a.u.)
0.00000e+00,8.03214e-01
1.00000e+00,8.02583e-01
2.00000e+00,8.02339e-01
3.00000e+00,8.02401e-01
4.00000e+00,8.02578e-01
5.00000e+00,8.03301e-01
6.00000e+00,8.04025e-01
7.00000e+00,8.03770e-01
8.00000e+00,8.04486e-01
9.00000e+00,8.03202e-01
1.00000e+01,8.03498e-01
1.10000e+01,8.03665e-01
1.20000e+01,8.03348e-01
1.30000e+01,8.02881e-01
1.40000e+01,8.01990e-01
1.50000e+01,8.02594e-01
1.60000e+01,8.02773e-01
1.70000e+01,8.04192e-01
1.80000e+01,8.03661e-01
1.90000e+01,8.02780e-01
2.00000e+01,8.01491e-01
2.10000e+01,8.01800e-01
2.20000e+01,8.01903e-01
2.30000e+01,8.01015e-01
2.40000e+01,8.00977e-01
2.50000e+01,8.01241e-01
2.60000e+01,8.02429e-01
2.70000e+01,8.02990e-01
2.80000e+01,8.02871e-01
2.90000e+01,8.02560e-01
3.00000e+01,8.03242e-01
3.10000e+01,8.03420e-01
3.20000e+01,8.03996e-01
3.30000e+01,8.02528e-01
3.40000e+01,8.03635e-01
3.50000e+01,8.02906e-01
3.60000e+01,8.02855e-01
3.70000e+01,8.02322e-01
3.80000e+01,8.03323e-01
3.90000e+01,8.03312e-01
4.00000e+01,8.03644e-01
4.10000e+01,8.02318e-01
4.20000e+01,8.02079e-01
4.30000e+01,8.02284e-01
4.40000e+01,8.02800e-01
4.50000e+01,8.02176e-01
4.60000e+01,8.02387e-01
4.70000e+01,8.03592e-01
4.80000e+01,8.04338e-01
4.90000e+01,8.03997e-01
5.00000e+01,8.03949e-01
5.10000e+01,8.02986e-01
5.20000e+01,8.03102e-01
5.30000e+01,8.02257e-01
5.40000e+01,8.03018e-01
5.50000e+01,8.03432e-01
5.60000e+01,8.03395e-01
5.70000e+01,8.02990e-01
5.80000e+01,8.01546e-01
5.90000e+01,8.01626e-01
6.00000e+01,8.01615e-01
6.10000e+01,8.01905e-01
6.20000e+01,8.01326e-01
6.30000e+01,8.01784e-01
6.40000e+01,8.02744e-01
6.50000e+01,8.03696e-01
6.60000e+01,8.02874e-01
6.70000e+01,8.03484e-01
6.80000e+01,8.03134e-01
6.90000e+01,8.03398e-01
7.00000e+01,8.03269e-01
7.10000e+01,8.03885e-01
7.20000e+01,8.04172e-01
7.30000e+01,8.03466e-01
7.40000e+01,8.02572e-01
7.50000e+01,8.02695e-01
7.60000e+01,8.02878e-01
7.70000e+01,8.03841e-01
7.80000e+01,8.03360e-01
7.90000e+01,8.04089e-01
8.00000e+01,8.03183e-01
8.10000e+01,8.03552e-01
8.20000e+01,8.03426e-01
8.30000e+01,8.03803e-01
8.40000e+01,8.03273e-01
8.50000e+01,8.03753e-01
8.60000e+01,8.03308e-01
8.70000e+01,8.03244e-01
8.80000e+01,8.03285e-01
8.90000e+01,8.03273e-01
9.00000e+01,8.03769e-01
9.10000e+01,8.03217e-01
9.20000e+01,8.02708e-01
9.30000e+01,8.02462e-01
9.40000e+01,8.02925e-01
9.50000e+01,8.04171e-01
9.60000e+01,8.04172e-01
9.70000e+01,8.03060e-01
9.80000e+01,8.03270e-01
9.90000e+01,8.03121e-01
1.00000e+02,8.02901e-01
1.01000e+02,8.02637e-01
1.02000e+02,8.02971e-01
1.03000e+02,8.02996e-01
1.04000e+02,8.03746e-01
1.05000e+02,8.04675e-01
1.06000e+02,8.04734e-01
1.07000e+02,8.04853e-01
1.08000e+02,8.03300e-01
1.09000e+02,8.02835e-01
1.10000e+02,8.01966e-01
1.11000e+02,8.03084e-01
1.12000e+02,8.03574e-01
1.13000e+02,8.03159e-01
1.14000e+02,8.02255e-01
1.15000e+02,8.03277e-01
1.16000e+02,8.03044e-01
1.17000e+02,8.03195e-01
1.18000e+02,8.03566e-01
1.19000e+02,8.03735e-01
1.20000e+02,8.03652e-01
1.21000e+02,8.03135e-01
1.22000e+02,8.03256e-01
1.23000e+02,8.03639e-01
1.24000e+02,8.03904e-01
1.25000e+02,8.03626e-01
1.26000e+02,8.03269e-01
1.27000e+02,8.03334e-01
1.28000e+02,8.03846e-01
1.29000e+02,8.04630e-01
1.30000e+02,8.04703e-01
1.31000e+02,8.03536e-01
1.32000e+02,8.02058e-01
1.33000e+02,8.00797e-01
1.34000e+02,8.01895e-01
1.35000e+02,8.02972e-01
1.36000e+02,8.02925e-01
1.37000e+02,8.02062e-01
1.38000e+02,8.02182e-01
1.39000e+02,8.03312e-01
1.40000e+02,8.03548e-01
1.41000e+02,8.03646e-01
1.42000e+02,8.03219e-01
1.43000e+02,8.03888e-01
1.44000e+02,8.03388e-01
1.45000e+02,8.03931e-01
1.46000e+02,8.02644e-01
1.47000e+02,8.03403e-01
1.48000e+02,8.02351e-01
1.49000e+02,8.03530e-01
1.50000e+02,8.04104e-01
1.51000e+02,8.03933e-01
1.52000e+02,8.03403e-01
1.53000e+02,8.03442e-01
1.54000e+02,8.03294e-01
1.55000e+02,8.04081e-01
1.56000e+02,8.03863e-01
1.57000e+02,8.03077e-01
1.58000e+02,8.02847e-01
1.59000e+02,8.02837e-01
1.60000e+02,8.02303e-01
1.61000e+02,8.02617e-01
1.62000e+02,8.02358e-01
1.63000e+02,8.03828e-01
1.64000e+02,8.03642e-01
1.65000e+02,8.04078e-01
1.66000e+02,8.04645e-01
1.67000e+02,8.04974e-01
1.68000e+02,8.06216e-01
1.69000e+02,8.07991e-01
1.70000e+02,8.09568e-01
1.71000e+02,8.14930e-01
1.72000e+02,8.21426e-01
1.73000e+02,8.28215e-01
1.74000e+02,8.31452e-01
1.75000e+02,8.32933e-01
1.76000e+02,8.31692e-01
1.77000e+02,8.28591e-01
1.78000e+02,8.26099e-01
1.79000e+02,8.23928e-01
1.80000e+02,8.20859e-01
1.81000e+02,8.17626e-01
1.82000e+02,8.14193e-01
1.83000e+02,8.12071e-01
1.84000e+02,8.08163e-01
1.85000e+02,8.06122e-01
1.86000e+02,8.04437e-01
1.87000e+02,8.05073e-01
1.88000e+02,8.05361e-01
1.89000e+02,8.04808e-01
1.90000e+02,8.04527e-01
1.91000e+02,8.05340e-01
1.92000e+02,8.04798e-01
1.93000e+02,8.03956e-01
1.94000e+02,8.03602e-01
1.95000e+02,8.02963e-01
1.96000e+02,8.03213e-01
1.97000e+02,8.02995e-01
1.98000e+02,8.02234e-01
1.99000e+02,8.02824e-01
2.00000e+02,8.02083e-01
2.01000e+02,8.02938e-01
2.02000e+02,8.03174e-01
2.03000e+02,8.03511e-01
2.04000e+02,8.04048e-01
2.05000e+02,8.04475e-01
2.06000e+02,8.04070e-01
2.07000e+02,8.03169e-01
2.08000e+02,8.01970e-01
2.09000e+02,8.02065e-01
2.10000e+02,8.03276e-01
2.11000e+02,8.04612e-01
2.12000e+02,8.05680e-01
2.13000e+02,8.05454e-01
2.14000e+02,8.04427e-01
2.15000e+02,8.05044e-01
2.16000e+02,8.05677e-01
2.17000e+02,8.06651e-01
2.18000e+02,8.04971e-01
2.19000e+02,8.04041e-01
2.20000e+02,8.04031e-01
2.21000e+02,8.04371e-01
2.22000e+02,8.04392e-01
2.23000e+02,8.04099e-01
2.24000e+02,8.05706e-01
2.25000e+02,8.06291e-01
2.26000e+02,8.06903e-01
2.27000e+02,8.05978e-01
2.28000e+02,8.05643e-01
2.29000e+02,8.06241e-01
2.30000e+02,8.06210e-01
2.31000e+02,8.05357e-01
2.32000e+02,8.05474e-01
2.33000e+02,8.05977e-01
2.34000e+02,8.06730e-01
2.35000e+02,8.06243e-01
2.36000e+02,8.05482e-01
2.37000e+02,8.06460e-01
2.38000e+02,8.06612e-01
2.39000e+02,8.06334e-01
2.40000e+02,8.06076e-01
2.41000e+02,8.06437e-01
2.42000e+02,8.06865e-01
2.43000e+02,8.06701e-01
2.44000e+02,8.06945e-01
2.45000e+02,8.06958e-01
2.46000e+02,8.07494e-01
2.47000e+02,8.06207e-01
2.48000e+02,8.06045e-01
2.49000e+02,8.06119e-01
2.50000e+02,8.07316e-01
2.51000e+02,8.07285e-01
2.52000e+02,8.07309e-01
2.53000e+02,8.07402e-01
2.54000e+02,8.07098e-01
2.55000e+02,8.07435e-01
2.56000e+02,8.06655e-01
2.57000e+02,8.06863e-01
2.58000e+02,8.06628e-01
2.59000e+02,8.07084e-01
2.60000e+02,8.07999e-01
2.61000e+02,8.07543e-01
2.62000e+02,8.08108e-01
2.63000e+02,8.06867e-01
2.64000e+02,8.07601e-01
2.65000e+02,8.06937e-01
2.66000e+02,8.06967e-01
2.67000e+02,8.07823e-01
2.68000e+02,8.08127e-01
2.69000e+02,8.08284e-01
2.70000e+02,8.08306e-01
2.71000e+02,8.09005e-01
2.72000e+02,8.08268e-01
2.73000e+02,8.08625e-01
2.74000e+02,8.08047e-01
2.75000e+02,8.08616e-01
2.76000e+02,8.08086e-01
2.77000e+02,8.08528e-01
2.78000e+02,8.08703e-01
2.79000e+02,8.08622e-01
2.80000e+02,8.08894e-01
2.81000e+02,8.08608e-01
2.82000e+02,8.08788e-01
2.83000e+02,8.08474e-01
2.84000e+02,8.08408e-01
2.85000e+02,8.08990e-01
2.86000e+02,8.08634e-01
2.87000e+02,8.07995e-01
2.88000e+02,8.08129e-01
2.89000e+02,8.07566e-01
2.90000e+02,8.08565e-01
2.91000e+02,8.07864e-01
2.92000e+02,8.08888e-01
2.93000e+02,8.09505e-01
2.94000e+02,8.09439e-01
2.95000e+02,8.09491e-01
2.96000e+02,8.08797e-01
2.97000e+02,8.08926e-01
2.98000e+02,8.08938e-01
2.99000e+02,8.08465e-01
3.00000e+02,8.09118e-01
3.01000e+02,8.09079e-01
3.02000e+02,8.09601e-01
3.03000e+02,8.08810e-01
3.04000e+02,8.09473e-01
3.05000e+02,8.09517e-01
3.06000e+02,8.10132e-01
3.07000e+02,8.09441e-01
3.08000e+02,8.09344e-01
3.09000e+02,8.08285e-01
3.10000e+02,8.07540e-01
3.11000e+02,8.07303e-01
3.12000e+02,8.07828e-01
3.13000e+02,8.07709e-01
3.14000e+02,8.07746e-01
3.15000e+02,8.07667e-01
3.16000e+02,8.08230e-01
3.17000e+02,8.08315e-01
3.18000e+02,8.08804e-01
3.19000e+02,8.08180e-01
3.20000e+02,8.08198e-01
3.21000e+02,8.08518e-01
3.22000e+02,8.09216e-01
3.23000e+02,8.09475e-01
3.24000e+02,8.09381e-01
3.25000e+02,8.09394e-01
3.26000e+02,8.09850e-01
3.27000e+02,8.10139e-01
3.28000e+02,8.09991e-01
3.29000e+02,8.10208e-01
3.30000e+02,8.10262e-01
3.31000e+02,8.09865e-01
3.32000e+02,8.08898e-01
3.33000e+02,8.08233e-01
3.34000e+02,8.09435e-01
3.35000e+02,8.09865e-01
3.36000e+02,8.11174e-01
3.37000e+02,8.11768e-01
3.38000e+02,8.11654e-01
3.39000e+02,8.11569e-01
3.40000e+02,8.09903e-01
3.41000e+02,8.10328e-01
3.42000e+02,8.11794e-01
3.43000e+02,8.12801e-01
3.44000e+02,8.13766e-01
3.45000e+02,8.12941e-01
3.46000e+02,8.13902e-01
3.47000e+02,8.13545e-01
3.48000e+02,8.13649e-01
3.49000e+02,8.13757e-01
3.50000e+02,8.15010e-01
3.51000e+02,8.15161e-01
3.52000e+02,8.15297e-01
3.53000e+02,8.14328e-01
3.54000e+02,8.13635e-01
3.55000e+02,8.12815e-01
3.56000e+02,8.13152e-01
3.57000e+02,8.14065e-01
3.58000e+02,8.14813e-01
3.59000e+02,8.14617e-01
3.60000e+02,8.15441e-01
3.61000e+02,8.13996e-01
3.62000e+02,8.14195e-01
3.63000e+02,8.13566e-01
3.64000e+02,8.14655e-01
3.65000e+02,8.15398e-01
3.66000e+02,8.16074e-01
3.67000e+02,8.15747e-01
3.68000e+02,8.16226e-01
3.69000e+02,8.16652e-01
3.70000e+02,8.17633e-01
3.71000e+02,8.17510e-01
3.72000e+02,8.20021e-01
3.73000e+02,8.22280e-01
3.74000e+02,8.23965e-01
