Pixels #,Intensity (a.u.)
0.00000e+00,8.30876e-01
1.00000e+00,8.30478e-01
2.00000e+00,8.33676e-01
3.00000e+00,8.28714e-01
4.00000e+00,8.29808e-01
5.00000e+00,8.30821e-01
6.00000e+00,8.29951e-01
7.00000e+00,8.31393e-01
8.00000e+00,8.30478e-01
9.00000e+00,8.33062e-01
1.00000e+01,8.29862e-01
1.10000e+01,8.32078e-01
1.20000e+01,8.36082e-01
1.30000e+01,8.30636e-01
1.40000e+01,8.30417e-01
1.50000e+01,8.33575e-01
1.60000e+01,8.29595e-01
1.70000e+01,8.30140e-01
1.80000e+01,8.32485e-01
1.90000e+01,8.28664e-01
2.00000e+01,8.27983e-01
2.10000e+01,8.31362e-01
2.20000e+01,8.30806e-01
2.30000e+01,8.28873e-01
2.40000e+01,8.29186e-01
2.50000e+01,8.28886e-01
2.60000e+01,8.29824e-01
2.70000e+01,8.30563e-01
2.80000e+01,8.30544e-01
2.90000e+01,8.29075e-01
3.00000e+01,8.30764e-01
3.10000e+01,8.35615e-01
3.20000e+01,8.34758e-01
3.30000e+01,8.31646e-01
3.40000e+01,8.30136e-01
3.50000e+01,8.33416e-01
3.60000e+01,8.30101e-01
3.70000e+01,8.30532e-01
3.80000e+01,8.33375e-01
3.90000e+01,8.62691e-01
4.00000e+01,8.31554e-01
4.10000e+01,8.33094e-01
4.20000e+01,8.28785e-01
4.30000e+01,8.28707e-01
4.40000e+01,8.30343e-01
4.50000e+01,8.31091e-01
4.60000e+01,8.29786e-01
4.70000e+01,8.32523e-01
4.80000e+01,8.33171e-01
4.90000e+01,8.32030e-01
5.00000e+01,8.30703e-01
5.10000e+01,8.30658e-01
5.20000e+01,8.33565e-01
5.30000e+01,8.32107e-01
5.40000e+01,8.44024e-01
5.50000e+01,8.32152e-01
5.60000e+01,8.36489e-01
5.70000e+01,8.31200e-01
5.80000e+01,8.31487e-01
5.90000e+01,8.32101e-01
6.00000e+01,8.34092e-01
6.10000e+01,8.32622e-01
6.20000e+01,8.30810e-01
6.30000e+01,8.32465e-01
6.40000e+01,8.35061e-01
6.50000e+01,8.33508e-01
6.60000e+01,8.34092e-01
6.70000e+01,8.36049e-01
6.80000e+01,8.36683e-01
6.90000e+01,8.34048e-01
7.00000e+01,8.34417e-01
7.10000e+01,8.42448e-01
7.20000e+01,8.35665e-01
7.30000e+01,8.36475e-01
7.40000e+01,8.32767e-01
7.50000e+01,8.35286e-01
7.60000e+01,8.35458e-01
7.70000e+01,8.35118e-01
7.80000e+01,8.37010e-01
7.90000e+01,8.35480e-01
8.00000e+01,8.37375e-01
8.10000e+01,8.37891e-01
8.20000e+01,8.35750e-01
8.30000e+01,8.35872e-01
8.40000e+01,8.36151e-01
8.50000e+01,8.36334e-01
8.60000e+01,8.46520e-01
8.70000e+01,8.35658e-01
8.80000e+01,8.36198e-01
8.90000e+01,8.37501e-01
9.00000e+01,8.38728e-01
9.10000e+01,8.43692e-01
9.20000e+01,8.35933e-01
9.30000e+01,8.34377e-01
9.40000e+01,8.35948e-01
9.50000e+01,8.36403e-01
9.60000e+01,8.36125e-01
9.70000e+01,8.37172e-01
9.80000e+01,8.34331e-01
9.90000e+01,8.36640e-01
1.00000e+02,8.36354e-01
1.01000e+02,8.37296e-01
1.02000e+02,8.38449e-01
1.03000e+02,8.40636e-01
1.04000e+02,8.35612e-01
1.05000e+02,8.38096e-01
1.06000e+02,8.41279e-01
1.07000e+02,8.36659e-01
1.08000e+02,8.37432e-01
1.09000e+02,8.34953e-01
1.10000e+02,8.34890e-01
1.11000e+02,8.36088e-01
1.12000e+02,8.41470e-01
1.13000e+02,8.35637e-01
1.14000e+02,8.35425e-01
1.15000e+02,8.36356e-01
1.16000e+02,8.38684e-01
1.17000e+02,8.34665e-01
1.18000e+02,8.36081e-01
1.19000e+02,8.42742e-01
1.20000e+02,8.34464e-01
1.21000e+02,8.37537e-01
1.22000e+02,8.35938e-01
1.23000e+02,8.35643e-01
1.24000e+02,8.39888e-01
1.25000e+02,8.36623e-01
1.26000e+02,8.35639e-01
1.27000e+02,8.37829e-01
1.28000e+02,8.39083e-01
1.29000e+02,8.36125e-01
