Pixels #,Intensity (a.u.)
0.00000e+00,7.61461e+00
1.00000e+00,7.61461e+00
2.00000e+00,7.61638e+00
3.00000e+00,7.61013e+00
4.00000e+00,7.61394e+00
5.00000e+00,7.61131e+00
6.00000e+00,7.61475e+00
7.00000e+00,7.61348e+00
8.00000e+00,7.61383e+00
9.00000e+00,7.61535e+00
1.00000e+01,7.61270e+00
1.10000e+01,7.61241e+00
1.20000e+01,7.61563e+00
1.30000e+01,7.61257e+00
1.40000e+01,7.61039e+00
1.50000e+01,7.61513e+00
1.60000e+01,7.61210e+00
1.70000e+01,7.61347e+00
1.80000e+01,7.61478e+00
1.90000e+01,7.60911e+00
2.00000e+01,7.60911e+00
2.10000e+01,7.61300e+00
2.20000e+01,7.60788e+00
2.30000e+01,7.61008e+00
2.40000e+01,7.61120e+00
2.50000e+01,7.61221e+00
2.60000e+01,7.61120e+00
2.70000e+01,7.61004e+00
2.80000e+01,7.61179e+00
2.90000e+01,7.60910e+00
3.00000e+01,7.61232e+00
3.10000e+01,7.61473e+00
3.20000e+01,7.61401e+00
3.30000e+01,7.61403e+00
3.40000e+01,7.61034e+00
3.50000e+01,7.61312e+00
3.60000e+01,7.61094e+00
3.70000e+01,7.61126e+00
3.80000e+01,7.61276e+00
3.90000e+01,7.64210e+00
4.00000e+01,7.61119e+00
4.10000e+01,7.61214e+00
4.20000e+01,7.60745e+00
4.30000e+01,7.60702e+00
4.40000e+01,7.61178e+00
4.50000e+01,7.60956e+00
4.60000e+01,7.61006e+00
4.70000e+01,7.61166e+00
4.80000e+01,7.61449e+00
4.90000e+01,7.61067e+00
5.00000e+01,7.61173e+00
5.10000e+01,7.61134e+00
5.20000e+01,7.61178e+00
5.30000e+01,7.61139e+00
5.40000e+01,7.61920e+00
5.50000e+01,7.60889e+00
5.60000e+01,7.61229e+00
5.70000e+01,7.61047e+00
5.80000e+01,7.60846e+00
5.90000e+01,7.60841e+00
6.00000e+01,7.61227e+00
6.10000e+01,7.61050e+00
6.20000e+01,7.60586e+00
6.30000e+01,7.60872e+00
6.40000e+01,7.61012e+00
6.50000e+01,7.60759e+00
6.60000e+01,7.60886e+00
6.70000e+01,7.61086e+00
6.80000e+01,7.61112e+00
6.90000e+01,7.60982e+00
7.00000e+01,7.60987e+00
7.10000e+01,7.61577e+00
7.20000e+01,7.61079e+00
7.30000e+01,7.61280e+00
7.40000e+01,7.60564e+00
7.50000e+01,7.60905e+00
7.60000e+01,7.60908e+00
7.70000e+01,7.60845e+00
7.80000e+01,7.60964e+00
7.90000e+01,7.60635e+00
8.00000e+01,7.61371e+00
8.10000e+01,7.61267e+00
8.20000e+01,7.61319e+00
8.30000e+01,7.60749e+00
8.40000e+01,7.61027e+00
8.50000e+01,7.61196e+00
8.60000e+01,7.62719e+00
8.70000e+01,7.61125e+00
8.80000e+01,7.60749e+00
8.90000e+01,7.61305e+00
9.00000e+01,7.60982e+00
9.10000e+01,7.61694e+00
9.20000e+01,7.61036e+00
9.30000e+01,7.60825e+00
9.40000e+01,7.60656e+00
9.50000e+01,7.61054e+00
9.60000e+01,7.61022e+00
9.70000e+01,7.61117e+00
9.80000e+01,7.60704e+00
9.90000e+01,7.60879e+00
1.00000e+02,7.60921e+00
1.01000e+02,7.60760e+00
1.02000e+02,7.60951e+00
1.03000e+02,7.61189e+00
1.04000e+02,7.60741e+00
1.05000e+02,7.60950e+00
1.06000e+02,7.61591e+00
1.07000e+02,7.60778e+00
1.08000e+02,7.60791e+00
1.09000e+02,7.60273e+00
1.10000e+02,7.60342e+00
1.11000e+02,7.60500e+00
1.12000e+02,7.61348e+00
1.13000e+02,7.60923e+00
1.14000e+02,7.60746e+00
